
[00:00:00.000 --> 00:00:04.800]  親愛的,我們懇求祢的靈與我們同在
[00:00:04.800 --> 00:00:07.800]  願祢允許每一個相信祢的人
[00:00:07.800 --> 00:00:11.400]  祢的靈都內在我們裡面
[00:00:11.400 --> 00:00:18.000]  我們需要祢在我們的生命裡面發出力量
[00:00:18.000 --> 00:00:21.000]  也在我們教育當中運行
[00:00:21.000 --> 00:00:25.800]  讓我們經驗得到,讓我們感受得到
[00:00:25.800 --> 00:00:30.600]  想知道感官是不可靠的
[00:00:30.600 --> 00:00:33.200]  但去認識祢的開端的時候
[00:00:33.200 --> 00:00:36.000]  我們就去依靠這個感官
[00:00:36.000 --> 00:00:39.200]  讓上主祢親自與我們眾人同在
[00:00:39.200 --> 00:00:41.200]  運行在我們教育當中
[00:00:41.200 --> 00:00:46.200]  讓我們真知道祢是那位又活又真的上帝
[00:00:46.200 --> 00:00:51.800]  又願此刻說的和聽的都同蒙祢的願
[00:00:51.800 --> 00:00:55.800]  祈禱奉主耶穌基督的名求,阿們
[00:00:55.800 --> 00:00:58.800]  今天訂出的題目叫「雞肋的信仰」
[00:00:58.800 --> 00:01:00.800]  我相信大家都可能聽過一句說話
[00:01:00.800 --> 00:01:05.800]  「雞肋,食之無欲,氣之有味」
[00:01:05.800 --> 00:01:10.800]  原來這句話是出自楊修的一句說話
[00:01:10.800 --> 00:01:13.800]  不過我想大部分的人都好像我一樣
[00:01:13.800 --> 00:01:17.800]  我還以為這句說話叫「雞肋,食之無欲,氣之可食」
[00:01:17.800 --> 00:01:22.800]  翻查才知道原文叫「氣之有味」
[00:01:22.800 --> 00:01:24.800]  不過整句說話都表達了
[00:01:24.800 --> 00:01:28.800]  人是在一個進退維谷的境況裏
[00:01:28.800 --> 00:01:31.800]  不知道怎樣去做決定的意思
[00:01:31.800 --> 00:01:33.800]  各位靖姐妹
[00:01:33.800 --> 00:01:35.800]  你有沒有留意你家裏
[00:01:35.800 --> 00:01:39.800]  有沒有一些令你覺得很雞肋的東西
[00:01:39.800 --> 00:01:41.800]  不是很適合用的
[00:01:41.800 --> 00:01:44.800]  不過不是很捨得丟
[00:01:44.800 --> 00:01:48.800]  如果有的話,我邀請你去數點一下
[00:01:48.800 --> 00:01:51.800]  送來教會的陳虛
[00:01:51.800 --> 00:01:53.800]  又或者送去救世軍
[00:01:53.800 --> 00:01:57.800]  又或者你認為有需要你這些雞肋物品的人
[00:01:57.800 --> 00:02:01.800]  去激活一下這些物品本身的價值
[00:02:01.800 --> 00:02:03.800]  因為這些不是收藏品
[00:02:03.800 --> 00:02:06.800]  它本身有它自己用的時候才有價值
[00:02:06.800 --> 00:02:09.800]  換另一句說話來說
[00:02:09.800 --> 00:02:14.800]  你留在家裏其實都是在浪費你的土地資源
[00:02:14.800 --> 00:02:18.800]  大家知道現在香港的土地資源非常昂貴
[00:02:18.800 --> 00:02:20.800]  看看我們的信仰
[00:02:20.800 --> 00:02:22.800]  是不是都是雞肋來的呢?
[00:02:22.800 --> 00:02:25.800]  不是很捨得放棄
[00:02:25.800 --> 00:02:28.800]  不過又好像了無生氣
[00:02:28.800 --> 00:02:30.800]  可有可無這樣
[00:02:30.800 --> 00:02:32.800]  是不是呢?
[00:02:32.800 --> 00:02:36.800]  剛才楊嘉穎唐偉為我們讀出今天的宣導經文
[00:02:36.800 --> 00:02:43.800]  經文的背景大家可以打開唐人聖經新約382頁
[00:02:43.800 --> 00:02:48.800]  《約翰一書》的作者傳統認為是耶穌十二的門徒之一
[00:02:48.800 --> 00:02:51.800]  也是西比太的兒子
[00:02:51.800 --> 00:02:53.800]  雅各的兄弟
[00:02:53.800 --> 00:02:55.800]  他的名字叫約翰
[00:02:55.800 --> 00:02:59.800]  約翰同時是《約翰福音》和《啟示錄》的作者
[00:02:59.800 --> 00:03:02.800]  他寫《約翰一書》和《約翰二書》和《約翰三書》
[00:03:02.800 --> 00:03:04.800]  是鼓勵讀者
[00:03:04.800 --> 00:03:09.800]  要和上帝和耶穌基督保持一個很親密的關係
[00:03:09.800 --> 00:03:11.800]  記住是保持而不是建立
[00:03:11.800 --> 00:03:13.800]  你本身已經有一個關係
[00:03:13.800 --> 00:03:16.800]  不過你要保持這個親密的關係
[00:03:16.800 --> 00:03:19.800]  同時強調所有的信徒
[00:03:19.800 --> 00:03:23.800]  都要彼此相愛
[00:03:23.800 --> 00:03:26.800]  在楊方的第三章
[00:03:26.800 --> 00:03:30.800]  耶穌和尼哥德姆談論重生問題的時候
[00:03:30.800 --> 00:03:32.800]  尼哥德姆很難明白
[00:03:32.800 --> 00:03:35.800]  什麼重生?
[00:03:35.800 --> 00:03:39.800]  難道要鑽進我媽媽的肚子裡再出生嗎?
[00:03:39.800 --> 00:03:42.800]  沒錯,我們每一個人都要重生
[00:03:42.800 --> 00:03:45.800]  耶穌說如果不重生的話
[00:03:45.800 --> 00:03:48.800]  是不能夠見上帝的國
[00:03:48.800 --> 00:03:52.800]  不過不是肉身再一次出生
[00:03:52.800 --> 00:03:56.800]  再一次回到女人的肚子裡再出生一次
[00:03:56.800 --> 00:03:58.800]  而是從聖靈而生
[00:03:58.800 --> 00:04:03.800]  其實從我們憑信心相信耶穌是上帝的兒子那一刻開始
