
[00:00:00.000 --> 00:00:03.560]  今天跟大家分享一個耶穌的比喻
[00:00:03.560 --> 00:00:06.060]  這個比喻我們讀完之後
[00:00:06.060 --> 00:00:09.400]  就發覺會引來很多很多的爭議
[00:00:09.400 --> 00:00:11.200]  因為這個比喻很簡單
[00:00:11.200 --> 00:00:14.720]  提到一個很不義很不好的管家
[00:00:14.720 --> 00:00:17.480]  但是這個管家做錯事
[00:00:17.480 --> 00:00:21.400]  不僅沒有被主人責備罵他
[00:00:21.400 --> 00:00:23.320]  還去稱讚他
[00:00:23.320 --> 00:00:24.840]  為什麼呢?
[00:00:24.840 --> 00:00:29.360]  我們先讀《路加福音》第十六章第一到第十二節
[00:00:29.360 --> 00:00:31.360]  我們先有一個概念
[00:00:31.360 --> 00:00:34.040]  《路加福音》第十六章第一到第十二節
[00:00:34.040 --> 00:00:35.960]  我們一起讀出
[00:00:59.360 --> 00:01:04.360]  「道家心裡說:主人賜我,讓我再作管家」
[00:01:04.360 --> 00:01:06.360]  「我今天為了什麼?」
[00:01:06.360 --> 00:01:10.920]  「財力、紅利、寶藝、下手」
[00:01:10.920 --> 00:01:13.160]  「我這道咎香行」
[00:01:13.160 --> 00:01:16.600]  「我這個人在我這座管家之後」
[00:01:16.600 --> 00:01:19.440]  「自我道教大家對他」
[00:01:19.440 --> 00:01:22.440]  「依著那天他主人大憶」
[00:01:22.440 --> 00:01:24.920]  「在我一個地吊吊落」
[00:01:24.920 --> 00:01:29.080]  「下頭一個樹,給點我主人多少」
[00:01:29.080 --> 00:01:31.640]  「下樹,一百公斤」
[00:01:31.640 --> 00:01:37.240]  「管家說:財力力量太重了,寫不進」
[00:01:37.240 --> 00:01:41.080]  「又一個樹,給點我主人多少」
[00:01:41.080 --> 00:01:43.840]  「下樹,一百石墳紙」
[00:01:43.840 --> 00:01:47.720]  「管家說:財力力量太重了,寫不進」
[00:01:47.720 --> 00:01:52.600]  「主人就誇獎給他爭議的管家做事聰明」
[00:01:52.600 --> 00:01:56.520]  「因為今世之治,在世事之上」
[00:01:56.520 --> 00:01:59.960]  「教你光明之子更加聰明」
[00:01:59.960 --> 00:02:01.960]  「我又告訴你們」
[00:02:01.960 --> 00:02:06.120]  「挑剔著那不義的自財的家庭友」
[00:02:06.120 --> 00:02:08.920]  「到了自財無用的時候」
[00:02:08.920 --> 00:02:14.000]  「他們可以自你們到永存的帳篷裡去」
[00:02:14.000 --> 00:02:17.040]  「人在最小的自信中心」
[00:02:17.040 --> 00:02:19.480]  「在大自信也中心」
[00:02:19.480 --> 00:02:21.920]  「在最小的自信也不義」
[00:02:21.920 --> 00:02:24.320]  「在大自信也不義」
[00:02:24.320 --> 00:02:28.560]  「那日你們在不義的自財上不忠心」
[00:02:28.560 --> 00:02:33.040]  「誰還打壓真正的自財來保護你們呢?」
[00:02:33.040 --> 00:02:37.320]  「那日你們在別人的功績上不忠心」
[00:02:37.320 --> 00:02:41.560]  「誰還打壓你們自己的功績來保護你們呢?」
[00:02:41.560 --> 00:02:44.640]  這個比喻是《路加福音》裡面獨有的
[00:02:44.640 --> 00:02:46.440]  但是真的很難去解釋
[00:02:46.440 --> 00:02:48.000]  這個比喻其實很簡單
[00:02:48.000 --> 00:02:50.200]  就是一個很有錢的財主
[00:02:50.200 --> 00:02:51.680]  他有管家
[00:02:51.680 --> 00:02:54.760]  財主經常會去外地工作
[00:02:54.760 --> 00:02:58.480]  所以就將所有的職務交給這個管家
[00:02:58.480 --> 00:03:00.600]  誰知道這個管家
[00:03:00.600 --> 00:03:04.680]  沒有好好地為這個主人賺錢
[00:03:04.680 --> 00:03:07.720]  還往往會中飽私囊
[00:03:07.720 --> 00:03:09.560]  做得很不理想
[00:03:09.560 --> 00:03:12.800]  於是有人就向這個財主告密
[00:03:12.800 --> 00:03:16.600]  這個財主知道之後就跟管家說
[00:03:16.600 --> 00:03:20.040]  你竟然這樣
[00:03:20.040 --> 00:03:22.720]  你快點交代清楚
[00:03:22.720 --> 00:03:25.080]  交代好了之後你就要離職
[00:03:25.080 --> 00:03:27.680]  不可以再做我的管家了
[00:03:27.680 --> 00:03:29.280]  所以你要學到一件事
[00:03:29.280 --> 00:03:30.960]  大家知道現在出來社會工作
[00:03:30.960 --> 00:03:32.960]  特別是那些高層人士
[00:03:32.960 --> 00:03:35.200]  如果要解僱他的時候
[00:03:35.200 --> 00:03:36.680]  大家知道很絕的
[00:03:36.680 --> 00:03:38.680]  是突然之間通知你
[00:03:38.680 --> 00:03:39.640]  你要離職
[00:03:39.640 --> 00:03:42.120]  接著就找一些保安來看著你
[00:03:42.120 --> 00:03:42.840]  收拾東西
[00:03:42.840 --> 00:03:43.720]  馬上走
[00:03:43.720 --> 00:03:45.720]  就不讓你留下這麼久
[00:03:45.720 --> 00:03:47.680]  容不下你去做一些破壞工作
[00:03:47.680 --> 00:03:48.960]  無論在電腦裡面
[00:03:48.960 --> 00:03:51.640]  複製一些資料或者放一些病毒
