
[00:00:00.000 --> 00:00:09.000]  不同年紀的人,對於夢寐以求的生活有不同的想像
[00:00:09.000 --> 00:00:16.000]  年輕人,他們的想像就是未來,是在前面的
[00:00:16.000 --> 00:00:22.000]  今天的環境和他們的想像有一段距離
[00:00:22.000 --> 00:00:29.000]  所以他們就開始努力,要朝著自己的夢想來進發
[00:00:29.000 --> 00:00:38.000]  如果他想成為畫家,他今天就要來下苦功,鍛鍊他的筆功
[00:00:38.000 --> 00:00:45.000]  如果他想成為一個歌唱家,他今天又要下苦功
[00:00:45.000 --> 00:00:50.000]  練準他的音,鍛鍊他的聲線
[00:00:50.000 --> 00:00:55.000]  因為相信能夠有機會達成夢想
[00:00:55.000 --> 00:01:01.000]  所以今天就算是多辛苦,多多挑戰,都要堅持
[00:01:01.000 --> 00:01:05.000]  今天我們在社會裏面見到有很多年輕人
[00:01:05.000 --> 00:01:08.000]  他們為了自己的將來去努力
[00:01:08.000 --> 00:01:12.000]  不一定所有人都會認同他們所做的
[00:01:12.000 --> 00:01:16.000]  不過因為這是他們為自己設定的未來
[00:01:16.000 --> 00:01:23.000]  所以他們有自己的方法來達成這些夢想
[00:01:23.000 --> 00:01:30.000]  長者會很不同,長者都有自己夢寐以求的生活
[00:01:30.000 --> 00:01:36.000]  不過他們的想像可能是在過去,是他們的回憶
[00:01:36.000 --> 00:01:40.000]  因為他們經歷過很多美好的事物
[00:01:40.000 --> 00:01:45.000]  大部分其實都可能是在以前發生
[00:01:45.000 --> 00:01:52.000]  他們經歷過人情冷暖,覺得以前的人是有人情味得多的
[00:01:52.000 --> 00:01:56.000]  他們經歷過美好的時光
[00:01:56.000 --> 00:02:01.000]  因為他們是賽跑冠軍,不過是五十年前
[00:02:01.000 --> 00:02:06.000]  他們覺得真實的味道都是在以前的
[00:02:06.000 --> 00:02:08.000]  真的吃雞就有雞味
[00:02:08.000 --> 00:02:12.000]  即今天吃下去都可能只有雪藏的味道
[00:02:12.000 --> 00:02:16.000]  所以在記憶裏面找回很多很多的東西
[00:02:16.000 --> 00:02:19.000]  新是不如舊
[00:02:19.000 --> 00:02:22.000]  年輕人,長者
[00:02:22.000 --> 00:02:27.000]  大家夢寐以求想見到的東西都很不同
[00:02:27.000 --> 00:02:30.000]  過去可以有很多回味
[00:02:30.000 --> 00:02:33.000]  在未來有很多新的可能性
[00:02:33.000 --> 00:02:38.000]  站在人生中間的成年人是怎樣呢?
[00:02:38.000 --> 00:02:43.000]  是要回頭去看,還是要繼續向前呢?
[00:02:43.000 --> 00:02:49.000]  在《生命記》第八章,正正就是讓我們看到一幅圖畫
[00:02:49.000 --> 00:02:53.000]  站在一個選擇當中的以色列人
[00:02:53.000 --> 00:02:57.000]  他們這一班的人是成年人
[00:02:57.000 --> 00:03:02.000]  他們這一班的人是在曠野裏面成長的一代
[00:03:02.000 --> 00:03:06.000]  他們去想想過去的生活
[00:03:06.000 --> 00:03:12.000]  還是要想想在前面將來很多很多的可能性呢?
[00:03:12.000 --> 00:03:18.000]  我們看出埃及記,看《生靈記》,看《尼米記》
[00:03:18.000 --> 00:03:23.000]  我們就見到以色列人在曠野四十年的時間
[00:03:23.000 --> 00:03:27.000]  離開埃及的那一代已經是過去了
[00:03:27.000 --> 00:03:31.000]  包括他們最重要的領袖摩西
[00:03:31.000 --> 00:03:35.000]  新生的一代要準備進入這個應許之地
[00:03:35.000 --> 00:03:42.000]  但其實這些新生之一代在曠野裏面出生的
[00:03:42.000 --> 00:03:47.000]  他們已經不是年輕人,他們已經是成年人
[00:03:47.000 --> 00:03:50.000]  他們的心忐忑不安
[00:03:50.000 --> 00:03:54.000]  究竟在前面是禍還是福呢?
[00:03:54.000 --> 00:04:00.000]  究竟在前面會有好日子,還是繼續去捱世界呢?
[00:04:00.000 --> 00:04:07.000]  在前面是一個美麗的地方,還是仍然是一片荒涼的曠野呢?
[00:04:07.000 --> 00:04:12.000]  我們從《生命記》第八章第一至第六節
[00:04:12.000 --> 00:04:20.000]  可以看到作者讓以色列人去回顧他們在曠野的日子是怎樣
[00:04:20.000 --> 00:04:25.000]  告訴他們要去記得在這四十年裏面
[00:04:25.000 --> 00:04:29.000]  耶和華他們的上帝在曠野一直來引領他們
[00:04:29.000 --> 00:04:33.000]  為了要磨練他們、考驗他們
[00:04:33.000 --> 00:04:36.000]  要知道他們的心是怎樣
[00:04:36.000 --> 00:04:39.000]  究竟是他們真心來跟從上帝
[00:04:39.000 --> 00:04:43.000]  還是仍然有很多的異心
[00:04:43.000 --> 00:04:46.000]  他們是否願意來遵守上帝的誡命
[00:04:46.000 --> 00:04:49.000]  還是隨心所欲呢?
[00:04:49.000 --> 00:04:54.000]  在第四節裏面,第八章第四節裏面
[00:04:54.000 --> 00:04:56.000]  作者就說到
[00:04:56.000 --> 00:05:00.000]  以色列人去看看,在過去的四十年裏面
[00:05:00.000 --> 00:05:03.000]  他們身上的衣服是沒有穿破
[00:05:03.000 --> 00:05:06.000]  他們的腳也沒有走到腫了
[00:05:06.000 --> 00:05:10.000]  四十年的時間,即是簡單一句說話
[00:05:10.000 --> 00:05:12.000]  沒有穿、沒有爛
[00:05:12.000 --> 00:05:15.000]  本身已經是一個神蹟
[00:05:15.000 --> 00:05:20.000]  他們並沒有整個民族在這個曠野裏面消失了
[00:05:20.000 --> 00:05:23.000]  上帝仍然是來帶領他們
[00:05:23.000 --> 00:05:26.000]  他們這種集體的經驗
[00:05:26.000 --> 00:05:29.000]  是他們民族的歷史
[00:05:29.000 --> 00:05:32.000]  是他們民族很重要的見證
[00:05:32.000 --> 00:05:35.000]  而這些經驗和見證
[00:05:35.000 --> 00:05:38.000]  就是鼓勵他們要繼續前行
[00:05:38.000 --> 00:05:42.000]  和認真看待上帝的吩咐
[00:05:42.000 --> 00:05:47.000]  因為這兩者之間是有密切的關係
[00:05:47.000 --> 00:05:48.000]  他們繼續前行
[00:05:48.000 --> 00:05:52.000]  就是因為可以見到上帝的應許來實現
[00:05:52.000 --> 00:05:56.000]  他們繼續來遵守和上帝之間所納的約
[00:05:56.000 --> 00:05:59.000]  上帝也會將他講過
[00:05:59.000 --> 00:06:04.000]  會賜予的祝福淋到他們的子孫身上
[00:06:04.000 --> 00:06:06.000]  今時今日
[00:06:06.000 --> 00:06:10.000]  我們香港人有甚麼集體的經驗呢?
[00:06:10.000 --> 00:06:14.000]  我們集體的經驗對於上一輩來說
[00:06:14.000 --> 00:06:18.000]  就是我們經驗過一些窮苦的日子
[00:06:18.000 --> 00:06:20.000]  但是窮苦的日子當中
[00:06:20.000 --> 00:06:24.000]  我們又經驗到有守望相助的日子
[00:06:24.000 --> 00:06:26.000]  因為大家隔離左右
[00:06:26.000 --> 00:06:30.000]  街坊倫理都是彼此的認識
[00:06:30.000 --> 00:06:34.000]  大家的家庭環境都是差不多的
[00:06:34.000 --> 00:06:36.000]  大家都相信一件事
[00:06:36.000 --> 00:06:38.000]  我們堅守這個崗位
[00:06:38.000 --> 00:06:42.000]  就可以帶出新的可能
[00:06:42.000 --> 00:06:45.000]  教會在這個時候
[00:06:45.000 --> 00:06:48.000]  也都和很多的香港人一樣
[00:06:48.000 --> 00:06:52.000]  在艱苦的當中同步成長
[00:06:52.000 --> 00:06:56.000]  很多的教會都在艱難和缺乏的當中
[00:06:56.000 --> 00:06:59.000]  來繼續做很多的工作
[00:06:59.000 --> 00:07:02.000]  譬如教育的工作
[00:07:02.000 --> 00:07:04.000]  教育的工作
[00:07:04.000 --> 00:07:07.000]  特別我們看回現在的徐平邨
[00:07:07.000 --> 00:07:08.000]  以前叫做雞寮
[00:07:08.000 --> 00:07:12.000]  很多七層舊式的廉租屋
[00:07:12.000 --> 00:07:16.000]  在天台的上面有小學
[00:07:16.000 --> 00:07:20.000]  養基層的家庭
[00:07:20.000 --> 00:07:22.000]  兩夫婦都要出外工作
[00:07:22.000 --> 00:07:23.000]  有很多的子女
[00:07:23.000 --> 00:07:26.000]  子女就在天台上學
[00:07:26.000 --> 00:07:28.000]  去成長
[00:07:28.000 --> 00:07:31.000]  老一輩學校的校長
[00:07:31.000 --> 00:07:35.000]  他們可能都在天台學校受到教育
[00:07:35.000 --> 00:07:37.000]  然後繼續去奮鬥
[00:07:37.000 --> 00:07:42.000]  然後又投入在教育事業當中
[00:07:42.000 --> 00:07:46.000]  教會也都來做很多醫療的工作
[00:07:46.000 --> 00:07:48.000]  基層的衛生
[00:07:48.000 --> 00:07:50.000]  幫助那些市民
[00:07:50.000 --> 00:07:52.000]  也都有不同的社會服務
[00:07:52.000 --> 00:07:55.000]  來回應這個方眾的需要
[00:07:55.000 --> 00:07:57.000]  甚至我們教會的建立
[00:07:57.000 --> 00:07:59.000]  在六十年代的時候
[00:07:59.000 --> 00:08:00.000]  都是因為區會
[00:08:00.000 --> 00:08:03.000]  知道這個觀塘區有很多的工廠
[00:08:03.000 --> 00:08:04.000]  希望在這個地方
[00:08:04.000 --> 00:08:07.000]  能夠有一個社會服務的單位
[00:08:07.000 --> 00:08:10.000]  去幫助那些藍領的工人
[00:08:10.000 --> 00:08:13.000]  不過後來因為發展改變太快
[00:08:13.000 --> 00:08:16.000]  幼兒教育的服務更加重要
[00:08:16.000 --> 00:08:18.000]  所以社會服務的地方
[00:08:18.000 --> 00:08:21.000]  就變成了今天我們的幼稚園
[00:08:21.000 --> 00:08:25.000]  這些就是我們集體的回憶
[00:08:25.000 --> 00:08:29.000]  今天的社會比以前富裕很多
[00:08:29.000 --> 00:08:31.000]  方便很多
[00:08:31.000 --> 00:08:33.000]  大家我相信都經驗得到
[00:08:33.000 --> 00:08:36.000]  不過我們周圍和其他人
[00:08:36.000 --> 00:08:39.000]  我們隔離鄰舍的關係又怎麼樣呢
[00:08:39.000 --> 00:08:42.000]  還有沒有那種守望相助呢
[00:08:42.000 --> 00:08:43.000]  可能很少
[00:08:43.000 --> 00:08:47.000]  因為我們都只是越來越顧自己
[00:08:47.000 --> 00:08:50.000]  我們會視其他人
[00:08:50.000 --> 00:08:53.000]  為競爭資源的對手
[00:08:53.000 --> 00:08:55.000]  因為資源有限
[00:08:55.000 --> 00:08:56.000]  給了你
[00:08:56.000 --> 00:08:58.000]  我就會少了
[00:08:58.000 --> 00:08:59.000]  我們再不想到
[00:08:59.000 --> 00:09:02.000]  是我們要來互相幫助
[00:09:02.000 --> 00:09:03.000]  而我們想到
[00:09:03.000 --> 00:09:06.000]  因為是有其他人出現
[00:09:06.000 --> 00:09:09.000]  就來搶了很多資源
[00:09:09.000 --> 00:09:11.000]  教會又怎麼樣呢
[00:09:11.000 --> 00:09:14.000]  教會可能是關心自己的議程
[00:09:14.000 --> 00:09:18.000]  多於關心周圍的需要
[00:09:18.000 --> 00:09:20.000]  有時候當我靜下來的時候
[00:09:20.000 --> 00:09:21.000]  都會想一想
[00:09:21.000 --> 00:09:25.000]  香港如果沒有了教會的話
[00:09:25.000 --> 00:09:26.000]  會怎麼樣呢
[00:09:26.000 --> 00:09:28.000]  大家會覺得
[00:09:28.000 --> 00:09:30.000]  真是一個很大的損失
[00:09:30.000 --> 00:09:32.000]  很大的失落
[00:09:32.000 --> 00:09:35.000]  或者覺得其實都無所謂
[00:09:35.000 --> 00:09:37.000]  少了一些教會
[00:09:37.000 --> 00:09:40.000]  可能騰空了很多地方
[00:09:40.000 --> 00:09:42.000]  可能有很多服務
[00:09:42.000 --> 00:09:45.000]  其實今天其他地方都做得到
[00:09:45.000 --> 00:09:48.000]  教會還有什麼特色呢
[00:09:48.000 --> 00:09:50.000]  我記得我老師提過
[00:09:50.000 --> 00:09:53.000]  如果有一天
[00:09:53.000 --> 00:09:56.000]  教會在你的社區不見了
[00:09:56.000 --> 00:09:58.000]  所有的街坊倫理
[00:09:58.000 --> 00:10:00.000]  不覺得有什麼問題
[00:10:00.000 --> 00:10:02.000]  這個教會真的要好好想一想
[00:10:02.000 --> 00:10:05.000]  究竟他們在這個地方
[00:10:05.000 --> 00:10:07.000]  做了什麼見證
[00:10:07.000 --> 00:10:09.000]  如果只是一群教友
[00:10:09.000 --> 00:10:10.000]  覺得很可惜
[00:10:10.000 --> 00:10:13.000]  其他人覺得無所謂
[00:10:13.000 --> 00:10:15.000]  這個似乎並非
[00:10:15.000 --> 00:10:18.000]  教會在這個地上重要的目的
[00:10:18.000 --> 00:10:21.000]  我們不是為了自己的生存而生存
[00:10:21.000 --> 00:10:24.000]  我們有沒有履行上帝的使命呢
[00:10:24.000 --> 00:10:27.000]  以色人他們去這個應許之地
[00:10:27.000 --> 00:10:30.000]  是一個他們從未踏足過的地方
[00:10:30.000 --> 00:10:32.000]  這個是一個美好的地方
[00:10:32.000 --> 00:10:35.000]  不過是在想像的裏面
[00:10:35.000 --> 00:10:37.000]  這個想像的地方
[00:10:37.000 --> 00:10:41.000]  跟曠野是截然不同的
[00:10:41.000 --> 00:10:43.000]  是怎麼樣的呢
