
[00:00:00.000 --> 00:00:03.200]  各位夫婦區的弟兄姊妹平安
[00:00:03.200 --> 00:00:07.520]  很高興又和大家見面了
[00:00:07.520 --> 00:00:10.600]  我以為接下來這個星期六
[00:00:10.600 --> 00:00:12.600]  是可以實體崇拜
[00:00:12.600 --> 00:00:15.440]  不過這次都是預錄
[00:00:15.440 --> 00:00:20.600]  希望下一次真的在禮堂真正見到大家
[00:00:20.600 --> 00:00:24.360]  我們先開始我們一同低頭祈禱
[00:00:24.360 --> 00:00:26.360]  天父上帝
[00:00:26.360 --> 00:00:29.120]  我們在這個疫情蔓延的時候
[00:00:29.120 --> 00:00:31.120]  我們向祢求平安
[00:00:31.120 --> 00:00:34.240]  賜給我們每一個人有健康
[00:00:34.240 --> 00:00:36.240]  賜給我們出入
[00:00:36.240 --> 00:00:41.320]  要上學、要工作、要社交、要吃飯
[00:00:41.320 --> 00:00:44.280]  要辦事的時候不會感染
[00:00:44.280 --> 00:00:45.680]  有平安
[00:00:45.680 --> 00:00:46.680]  主啊
[00:00:46.680 --> 00:00:48.680]  我們也懇求祢
[00:00:48.680 --> 00:00:51.320]  讓我們夫婦區的弟兄姊妹
[00:00:51.320 --> 00:00:53.320]  都能夠在網上
[00:00:53.320 --> 00:00:58.240]  互相連結、互相抵禮、互相的代求
[00:00:58.240 --> 00:01:01.760]  以致我們能夠渡過這個疫情
[00:01:01.760 --> 00:01:03.760]  主啊,我們求祢
[00:01:03.760 --> 00:01:05.760]  藉著祢的話語
[00:01:05.760 --> 00:01:07.760]  今天來教導我們
[00:01:07.760 --> 00:01:09.760]  特別在這個復活節
[00:01:09.760 --> 00:01:11.760]  剛剛過的時候
[00:01:11.760 --> 00:01:14.440]  我們來到《思想聖經》裡面
[00:01:14.440 --> 00:01:20.440]  有關主耶穌向困惑、信心軟弱的門徒
[00:01:20.440 --> 00:01:24.440]  來顯現和做抵禮的工作
[00:01:24.440 --> 00:01:26.440]  求主都藉著這段經文
[00:01:26.440 --> 00:01:30.440]  對我們有所提醒、有所激勵
[00:01:30.440 --> 00:01:33.440]  我們禱告奉主耶穌基督
[00:01:33.440 --> 00:01:35.440]  從死裡復活
[00:01:35.440 --> 00:01:38.440]  得勝死亡權勢的明智祈求
[00:01:38.440 --> 00:01:40.440]  阿們
[00:01:40.440 --> 00:01:43.440]  今天是復活節後幾天
[00:01:43.440 --> 00:01:48.440]  我們來思想路加福音第24章的經文
[00:01:48.440 --> 00:01:50.440]  都是很有意思的
[00:01:50.440 --> 00:01:56.440]  這一章經文是路加很獨特的記載
[00:01:56.440 --> 00:01:59.440]  就好像約翰福音最後一章
[00:01:59.440 --> 00:02:03.440]  是約翰自己獨特的記載
[00:02:03.440 --> 00:02:07.440]  獨特的記載不是說聖經分歧
[00:02:07.440 --> 00:02:12.440]  也不是說每個人的神樂觀點有所不同
[00:02:12.440 --> 00:02:15.440]  我們應該看聖經是合一的
[00:02:15.440 --> 00:02:21.440]  新舊約他們的信息是統一指向耶穌基督
[00:02:21.440 --> 00:02:26.440]  四卷福音都是合一指向耶穌基督
[00:02:26.440 --> 00:02:30.440]  有時候我們跟隨世俗的研究
[00:02:30.440 --> 00:02:33.440]  對觀福音、合參福音有一類
[00:02:33.440 --> 00:02:38.440]  第四福音、約翰福音又一類
[00:02:38.440 --> 00:02:46.440]  我們作為相信聖經的信徒
[00:02:46.440 --> 00:02:48.440]  我們應該這樣看
[00:02:48.440 --> 00:02:52.440]  就是聖經他們同一樣東西有不同記載
[00:02:52.440 --> 00:02:55.440]  是代表這種屬靈經驗
[00:02:55.440 --> 00:02:58.440]  豐富到一個地步
[00:02:58.440 --> 00:03:01.440]  只有一個觀點不能夠包含
[00:03:01.440 --> 00:03:05.440]  就好像鑽石割切面越多
[00:03:05.440 --> 00:03:09.440]  光所顯出的光輝越多
[00:03:09.440 --> 00:03:12.440]  所以我就不會採取有些人說
[00:03:12.440 --> 00:03:17.440]  路加的神學思想、路加的觀點
[00:03:17.440 --> 00:03:20.440]  跟其他方書的作者有所不同
[00:03:20.440 --> 00:03:22.440]  所以他這樣記載
[00:03:22.440 --> 00:03:28.440]  我只能夠說路加在神面前領受的亮光是這樣
[00:03:28.440 --> 00:03:34.440]  他要contribute那些人對耶穌的認識
[00:03:34.440 --> 00:03:38.440]  就好像一個鑽石的割切面一樣
[00:03:38.440 --> 00:03:42.440]  我們都知道路加是一個外邦人
[00:03:42.440 --> 00:03:44.440]  他是在《士徒行傳》
[00:03:44.440 --> 00:03:47.440]  跟隨保羅出去傳道的時候才出現
[00:03:47.440 --> 00:03:49.440]  他是一個醫生
[00:03:49.440 --> 00:03:54.440]  有學識、有觀察能力、有研究的能力
[00:03:54.440 --> 00:03:57.440]  他未見過耶穌
[00:03:57.440 --> 00:03:59.440]  或者見過耶穌
[00:03:59.440 --> 00:04:03.440]  他都不是這個的相信
[00:04:03.440 --> 00:04:05.440]  耶穌復活之後
[00:04:05.440 --> 00:04:08.440]  在《士徒行傳》時期才相信
[00:04:08.440 --> 00:04:13.440]  甚至保羅都未必在肉身上見過耶穌
[00:04:13.440 --> 00:04:17.440]  他只不過在往大馬識路上見耶穌
[00:04:17.440 --> 00:04:20.440]  路加福音的記載從何而來呢?
[00:04:20.440 --> 00:04:24.440]  而且他有那麼多其他方書小記載的
[00:04:24.440 --> 00:04:26.440]  從何而來呢?
[00:04:26.440 --> 00:04:28.440]  我們從路加福音一開始
[00:04:28.440 --> 00:04:33.440]  講到他的考察、他的做research
[00:04:33.440 --> 00:04:35.440]  他去搜集資料
[00:04:35.440 --> 00:04:41.440]  以及跟教會裏面的士徒、信徒之間的交往裏面
[00:04:41.440 --> 00:04:43.440]  去聽他們的見證
[00:04:43.440 --> 00:04:45.440]  收集起來
[00:04:45.440 --> 00:04:50.440]  跟馬太是耶穌基督的門徒
[00:04:50.440 --> 00:04:55.440]  馬可也是跟隨耶穌基督很貼身的
[00:04:55.440 --> 00:04:58.440]  跟約翰三個不同
[00:04:58.440 --> 00:05:02.440]  三個因為他們對主的感受很深
[00:05:02.440 --> 00:05:06.440]  他們是從領袖的角度來寫
[00:05:06.440 --> 00:05:12.440]  但是路加從他的research、搜集資料
[00:05:12.440 --> 00:05:14.440]  傳聞加考察
