
[00:00:00.000 --> 00:00:03.000]  各位朋友姊妹晚安
[00:00:03.000 --> 00:00:10.000]  Jack 咁樣介紹呢 我都覺得係好感恩嘅
[00:00:10.000 --> 00:00:12.000]  咁我就會留返呢
[00:00:12.000 --> 00:00:14.000]  我最個人嘅啲嘢最後先講
[00:00:14.000 --> 00:00:17.000]  即係make sure 你哋要繼續留喺度聽㗎
[00:00:17.000 --> 00:00:21.000]  單身官 單身奴
[00:00:21.000 --> 00:00:24.000]  其實我一生呢好大嘅負擔
[00:00:24.000 --> 00:00:26.000]  都係要分享呢個題目
[00:00:26.000 --> 00:00:29.000]  因為喺我基督徒嘅人生呢
[00:00:30.000 --> 00:00:33.000]  呢個都係一個好大嘅掙扎
[00:00:33.000 --> 00:00:36.000]  不過我喺開始嗰陣時候呢
[00:00:36.000 --> 00:00:38.000]  預先要講
[00:00:38.000 --> 00:00:41.000]  就係如果你心目中諗住今晚
[00:00:41.000 --> 00:00:45.000]  我好似勝女愛作戰咁樣做人生教練
[00:00:45.000 --> 00:00:47.000]  你聽完之後呢
[00:00:47.000 --> 00:00:51.000]  就會教到你啲秘訣點樣搵到個Mr. Right
[00:00:51.000 --> 00:00:54.000]  咁呢你就會好失望㗎啦
[00:00:54.000 --> 00:00:56.000]  咁你就可以今晚唔喺度㗎啦
[00:00:56.000 --> 00:00:57.000]  因為我今晚呢
[00:00:57.000 --> 00:00:59.000]  就主要唔係教你點樣搵到
[00:00:59.000 --> 00:01:00.000]  你嘅配偶
[00:01:00.000 --> 00:01:02.000]  但係如果你話
[00:01:02.000 --> 00:01:04.000]  我好想嚟到去聽
[00:01:04.000 --> 00:01:06.000]  點樣能夠好開心
[00:01:06.000 --> 00:01:09.000]  好精彩咁樣過到單身生活
[00:01:09.000 --> 00:01:13.000]  同埋我又好想滿足神
[00:01:13.000 --> 00:01:15.000]  好想遵行祂既旨意
[00:01:15.000 --> 00:01:16.000]  好想榮耀祂
[00:01:16.000 --> 00:01:19.000]  咁呢我今晚就會講
[00:01:19.000 --> 00:01:22.000]  希望分享到呢一個嘅眾生
[00:01:22.000 --> 00:01:26.000]  所以我希望大家調教咗你嘅期望啦
[00:01:27.000 --> 00:01:30.000]  唔係因為呢我單身咗好多年最後結婚
[00:01:30.000 --> 00:01:34.000]  咁你就或者睇下有咩橋可以抄下咁
[00:01:34.000 --> 00:01:37.000]  希望今晚呢唔係咁嘅意思
[00:01:37.000 --> 00:01:39.000]  我哋一齊低頭祈禱
[00:01:39.000 --> 00:01:43.000]  天父正如頭先我哋所唱嘅詩歌
[00:01:43.000 --> 00:01:46.000]  其實你真係會帶領我哋人生一路
[00:01:46.000 --> 00:01:48.000]  你咁愛我哋
[00:01:48.000 --> 00:01:52.000]  連你最愛嘅獨生子都為我哋釘十字架
[00:01:52.000 --> 00:01:56.000]  仲有乜嘢你會唔捨得畀我哋嘅呢
[00:01:57.000 --> 00:01:59.000]  主求你畀我哋喺婚姻
[00:01:59.000 --> 00:02:02.000]  喺單身呢啲嘅事情上面
[00:02:02.000 --> 00:02:04.000]  我哋真係好放心
[00:02:04.000 --> 00:02:07.000]  知道主你會為我哋作主
[00:02:07.000 --> 00:02:09.000]  我哋盼望今晚所分享嘅
[00:02:09.000 --> 00:02:11.000]  都係將你自己嘅心腸
[00:02:11.000 --> 00:02:15.000]  特別你對一班單身肢體嘅心腸
[00:02:15.000 --> 00:02:17.000]  能夠更多嘅明白
[00:02:17.000 --> 00:02:19.000]  我哋恭敬將以下時間交畀你
[00:02:19.000 --> 00:02:21.000]  奉主耶穌基督嘅名
[00:02:21.000 --> 00:02:22.000]  Amen
[00:02:22.000 --> 00:02:26.000]  當然好多單身嘅肢體呢
[00:02:27.000 --> 00:02:29.000]  都會好快樂嘅
[00:02:29.000 --> 00:02:32.000]  不過亦都不得不承認
[00:02:32.000 --> 00:02:35.000]  其實好多單身嘅男影姊妹
[00:02:35.000 --> 00:02:37.000]  係好多眼淚
[00:02:37.000 --> 00:02:39.000]  我好明白
[00:02:39.000 --> 00:02:41.000]  因為我都經過呢個階段
[00:02:41.000 --> 00:02:43.000]  又或者呢
[00:02:43.000 --> 00:02:45.000]  我哋都好多掙扎
[00:02:45.000 --> 00:02:49.000]  而家呢香港平均嘅結婚年齡呢
[00:02:49.000 --> 00:02:50.000]  男嘅三十幾
[00:02:50.000 --> 00:02:52.000]  女就好似大概三十
[00:02:52.000 --> 00:02:54.000]  廿九到尾三十係咪
[00:02:54.000 --> 00:02:56.000]  以我嗰個年代呢
[00:02:57.000 --> 00:02:59.000]  我哋嘅老傳道講
[00:02:59.000 --> 00:03:01.000]  過咗聖誕就唔得㗎啦
[00:03:01.000 --> 00:03:03.000]  即係過咗廿五就唔得㗎啦
[00:03:03.000 --> 00:03:07.000]  我嗰個年代呢
[00:03:07.000 --> 00:03:09.000]  廿三廿四廿五呢
[00:03:09.000 --> 00:03:11.000]  就陸續收帖
[00:03:11.000 --> 00:03:13.000]  但係全部我啲同學㗎啦
[00:03:13.000 --> 00:03:16.000]  所以呢到到
[00:03:16.000 --> 00:03:19.000]  即係廿三四五呢
[00:03:19.000 --> 00:03:21.000]  我哋就開始好緊張
[00:03:21.000 --> 00:03:23.000]  咁我仲記得呢
[00:03:23.000 --> 00:03:27.000]  自己即係如科信主
[00:03:27.000 --> 00:03:30.000]  咁大學畢業咁出嚟做嘢咁
[00:03:30.000 --> 00:03:32.000]  咁都信咗幾年㗎啦
[00:03:32.000 --> 00:03:35.000]  我都自認自己都好乖好聽神話
[00:03:35.000 --> 00:03:37.000]  信與不信云不相配
[00:03:37.000 --> 00:03:41.000]  我教會呢成日都講得重複嘅
[00:03:41.000 --> 00:03:45.000]  即係你盡量搵信仰一樣嘅咁
[00:03:45.000 --> 00:03:47.000]  所以呢我就都好乖嘅
[00:03:47.000 --> 00:03:50.000]  如果有未信嘅嚟到追求呢
[00:03:50.000 --> 00:03:54.000]  咁我好早都唔畀機會佢發展㗎啦
[00:03:54.000 --> 00:03:58.000]  但係呢到到廿三廿四廿五
[00:03:58.000 --> 00:04:02.000]  等於即係今日嘅廿八廿九三十
[00:04:02.000 --> 00:04:04.000]  咁好難過嗰個關㗎嘛
[00:04:04.000 --> 00:04:08.000]  咁我就開始呢有裏面好多嘅掙扎
[00:04:08.000 --> 00:04:11.000]  因為我成世冇諗過自己唔結婚嘅
