
[00:00:00.000 --> 00:00:03.000]  好我們先講什麼是憐憫先
[00:00:03.000 --> 00:00:07.000]  那麼神的憐憫我們先讀出埃及記34章6節
[00:00:07.000 --> 00:00:10.000]  去年我們讀了一年出埃及記
[00:00:10.000 --> 00:00:12.000]  我們讀34章6節我們一起讀
[00:00:12.000 --> 00:00:15.000]  耶和華在他面前宣告說
[00:00:15.000 --> 00:00:19.000]  耶和華耶和華是有憐憫有恩典的神
[00:00:19.000 --> 00:00:24.000]  不輕易發怒並有豐盛的慈愛和誠實
[00:00:24.000 --> 00:00:28.000]  其實這裡當神他真的向摩西去宣告
[00:00:28.000 --> 00:00:31.000]  自己是一位怎樣的神的時候
[00:00:31.000 --> 00:00:34.000]  其實他第一樣東西說的就是憐憫
[00:00:34.000 --> 00:00:37.000]  他是一個有憐憫有恩典的神
[00:00:37.000 --> 00:00:40.000]  那麼這個其實當我們去看回聖經
[00:00:40.000 --> 00:00:41.000]  我們看聖經裏面
[00:00:41.000 --> 00:00:43.000]  舊約聖經新約聖經裏面
[00:00:43.000 --> 00:00:46.000]  都是有不同的字是來表達憐憫的
[00:00:46.000 --> 00:00:49.000]  那麼在舊約裏面是有三個希伯來文
[00:00:49.000 --> 00:00:50.000]  來表達的
[00:00:50.000 --> 00:00:53.000]  那麼就是第一個在這個table看到的
[00:00:53.000 --> 00:00:54.000]  第一個是Hazad
[00:00:54.000 --> 00:00:55.000]  第二個是Hana
[00:00:55.000 --> 00:00:56.000]  第三個是Raham
[00:00:56.000 --> 00:00:57.000]  這三個字
[00:00:57.000 --> 00:01:00.000]  那麼其實我們這裡也列出了一些解釋
[00:01:00.000 --> 00:01:03.000]  如果你在聖經裏面不同的翻譯的版本
[00:01:03.000 --> 00:01:05.000]  那麼你也會看到譬如Hazad
[00:01:05.000 --> 00:01:08.000]  那麼他就在說慈愛人慈恩典
[00:01:08.000 --> 00:01:11.000]  這個Kane James version是mercy的意思
[00:01:11.000 --> 00:01:15.000]  那麼Hana就是憐恤憐憫私恩
[00:01:15.000 --> 00:01:17.000]  又有mercy merciful
[00:01:17.000 --> 00:01:19.000]  然後Raham就在說也是憐憫
[00:01:19.000 --> 00:01:22.000]  憐恤慈悲憐憫 compassion
[00:01:22.000 --> 00:01:26.000]  那麼其實這個當你看回這幾個字的意思
[00:01:26.000 --> 00:01:30.000]  其實都是講的是憐憫的意思
[00:01:30.000 --> 00:01:32.000]  就是神不計較人的過犯
[00:01:32.000 --> 00:01:35.000]  就是不計較人的過犯
[00:01:35.000 --> 00:01:38.000]  並且因為我們知道神對人的忠誠
[00:01:38.000 --> 00:01:40.000]  就成為這份的憐憫
[00:01:40.000 --> 00:01:45.000]  還有憐憫是講神的歡宏的厚愛
[00:01:45.000 --> 00:01:49.000]  而這一份的愛是人不配得的
[00:01:49.000 --> 00:01:51.000]  而Raham這個字到最後講到
[00:01:51.000 --> 00:01:53.000]  其實我們所相信的上帝
[00:01:53.000 --> 00:01:55.000]  是一個充滿著情感的上帝
