
[00:00:00.000 --> 00:00:11.000]  今晚講到約書亞記講聚散有時,MAYE的訊息
[00:00:11.000 --> 00:00:17.000]  下星期就有阿南、壓軸、傑美
[00:00:17.000 --> 00:00:21.000]  不知道你還記不記得之前有分享不同的訊息
[00:00:21.000 --> 00:00:25.000]  今天我想跟你講的題目
[00:00:25.000 --> 00:00:28.000]  不知道你之前有沒有看過
[00:00:28.000 --> 00:00:32.000]  在微博上說當天氣不似預期
[00:00:32.000 --> 00:00:34.000]  我想跟大家講什麼呢?
[00:00:34.000 --> 00:00:37.000]  有時我們會遇到一些意想不到的事
[00:00:37.000 --> 00:00:39.000]  在人生當中
[00:00:39.000 --> 00:00:42.000]  當你遇到一些你沒有想過出現的事
[00:00:42.000 --> 00:00:44.000]  有些兩難的局面
[00:00:44.000 --> 00:00:47.000]  你會選擇秉行公義
[00:00:47.000 --> 00:00:50.000]  還是你會選擇私恩憐憫呢?
[00:00:50.000 --> 00:00:52.000]  拿一些例子
[00:00:52.000 --> 00:00:54.000]  當然是作的
[00:00:54.000 --> 00:00:56.000]  如果你的公司有個同事
[00:00:56.000 --> 00:00:58.000]  拿了公司的錢
[00:00:58.000 --> 00:01:01.000]  去幫一個急病的媽媽做手術
[00:01:01.000 --> 00:01:04.000]  想著之後填寫
[00:01:04.000 --> 00:01:07.000]  他最壞的就是他講了給你聽
[00:01:07.000 --> 00:01:09.000]  他不講給我聽就算了
[00:01:09.000 --> 00:01:12.000]  他講了給你聽
[00:01:12.000 --> 00:01:14.000]  那怎麼辦呢?那你怎麼辦?
[00:01:14.000 --> 00:01:17.000]  一個是在公司裡面很忠心地
[00:01:17.000 --> 00:01:19.000]  做了二十年的基層員工
[00:01:19.000 --> 00:01:21.000]  那些清潔阿姐
[00:01:21.000 --> 00:01:26.000]  她不小心把大老闆隨意放在公司
[00:01:26.000 --> 00:01:28.000]  掉到地上
[00:01:28.000 --> 00:01:32.000]  那份很重要的合約丟了
[00:01:32.000 --> 00:01:36.000]  你是她的頭兒
[00:01:36.000 --> 00:01:39.000]  她想著跟你說主動辭職
[00:01:39.000 --> 00:01:41.000]  那你怎麼辦呢?
[00:01:41.000 --> 00:01:43.000]  有時我們在人生當中
[00:01:43.000 --> 00:01:45.000]  有些事當然是作的
[00:01:45.000 --> 00:01:46.000]  你有兩難的
[00:01:46.000 --> 00:01:48.000]  你究竟應該是秉行公義
[00:01:48.000 --> 00:01:50.000]  還是私憐憫呢?
[00:01:50.000 --> 00:01:53.000]  我曾經想過一些情況
[00:01:53.000 --> 00:01:56.000]  就是香港的交通意外
[00:01:56.000 --> 00:01:59.000]  我真的想過
[00:01:59.000 --> 00:02:01.000]  如果有一個交通意外
[00:02:01.000 --> 00:02:06.000]  是有人不小心撞死了我的女兒
[00:02:06.000 --> 00:02:08.000]  那怎麼辦呢?
[00:02:08.000 --> 00:02:09.000]  你知道我有一個女兒
[00:02:09.000 --> 00:02:11.000]  我的女兒今年剛剛中一
[00:02:11.000 --> 00:02:13.000]  你知道我很疼她
[00:02:13.000 --> 00:02:14.000]  我最後告訴你
[00:02:14.000 --> 00:02:16.000]  我當時想過之後
[00:02:16.000 --> 00:02:20.000]  我現在告訴你
[00:02:20.000 --> 00:02:24.000]  今天是講聚散有時
[00:02:24.000 --> 00:02:25.000]  我們在講分地
[00:02:25.000 --> 00:02:28.000]  你記得我們還在講約書亞記
[00:02:28.000 --> 00:02:29.000]  在約書亞記裡面
