
[00:00:00.000 --> 00:00:02.840]  保羅是一個旅行報道家
[00:00:02.840 --> 00:00:04.400]  是一個宣教士
[00:00:04.400 --> 00:00:06.440]  我們正在看的就是
[00:00:06.440 --> 00:00:10.480]  他說要完成他第三次的旅行報道
[00:00:10.480 --> 00:00:12.960]  《小人傳》有記載第四次
[00:00:12.960 --> 00:00:15.600]  不過那個基本上是很被動的
[00:00:15.600 --> 00:00:18.560]  被人壓介到羅馬
[00:00:18.560 --> 00:00:23.200]  保羅既然是一個旅行報道的宣教士
[00:00:23.200 --> 00:00:26.280]  所以他不會在一個地方停留很久
[00:00:26.280 --> 00:00:30.080]  曾經說他停留最久的地方只不過是三年
[00:00:30.080 --> 00:00:34.080]  他有一個使命就是要去到不同的城市
[00:00:34.080 --> 00:00:38.080]  去傳福音、為耶穌作見證、建立教會
[00:00:38.080 --> 00:00:39.800]  然後他又會去另一個地市
[00:00:39.800 --> 00:00:41.600]  因為保羅自己理解
[00:00:41.600 --> 00:00:45.400]  他在大馬色路上領受的使命
[00:00:45.400 --> 00:00:47.960]  就是要去到君王的面前
[00:00:47.960 --> 00:00:49.960]  來為耶穌作見證
[00:00:49.960 --> 00:00:52.360]  所以他應該想去羅馬
[00:00:52.360 --> 00:00:56.440]  因為羅馬才是當時羅馬皇帝所在的地方
[00:00:56.440 --> 00:00:58.440]  在《羅馬書》又提到
[00:00:58.440 --> 00:00:59.960]  當他去羅馬的時候
[00:00:59.960 --> 00:01:03.320]  他也很想去到西班牙
[00:01:03.320 --> 00:01:06.000]  因為當時羅馬帝國的邊緣
[00:01:06.000 --> 00:01:07.800]  最盡的地方就是西班牙
[00:01:07.800 --> 00:01:09.800]  再過去就是大西洋
[00:01:09.800 --> 00:01:12.400]  所以意大利和西班牙
[00:01:12.400 --> 00:01:16.400]  都是兩個保羅希望能夠去的地方
[00:01:16.400 --> 00:01:19.120]  雖然這兩隊球隊今年都不太行
[00:01:19.120 --> 00:01:25.200]  但是那時候保羅也是很想去這兩個地方作見證
[00:01:25.200 --> 00:01:30.680]  所以保羅的生活就是一個經常都要面對離開
[00:01:30.680 --> 00:01:32.680]  面對別人寬鬆他
[00:01:32.680 --> 00:01:37.000]  以及要去面對一個新的環境的時候
[00:01:37.000 --> 00:01:39.720]  在這一次的過程裏面
[00:01:39.720 --> 00:01:42.840]  當保羅離開了以弗索在以弗索在蘇聯
[00:01:42.840 --> 00:01:46.320]  然後他就去到希臘的地方
[00:01:46.320 --> 00:01:47.720]  那裏住了三個月
[00:01:47.720 --> 00:01:49.320]  去了很多不同的城市
[00:01:49.320 --> 00:01:54.400]  他又準備沿途回到耶路撒冷
[00:01:54.400 --> 00:01:59.680]  所以我們看見保羅的生活就是經常離開一個地方
[00:01:59.680 --> 00:02:00.760]  跟那些人告別
[00:02:00.760 --> 00:02:02.320]  然後又去到一個地方
[00:02:02.320 --> 00:02:04.720]  又去認識一些新的人
[00:02:04.720 --> 00:02:05.720]  建立新的教會
[00:02:05.720 --> 00:02:06.720]  然後他又離開
[00:02:06.720 --> 00:02:08.280]  一直一直這樣
[00:02:08.280 --> 00:02:11.280]  直到他完成他的工作為止
[00:02:11.280 --> 00:02:16.080]  這種生活卻不是我們喜歡的生活
[00:02:16.080 --> 00:02:19.920]  中國人的傳統強調安居樂業
[00:02:19.920 --> 00:02:23.600]  就是我們找個地方我們可以落地生根
[00:02:23.600 --> 00:02:28.160]  我們始終受著這個農業社會的思想影響
[00:02:28.160 --> 00:02:31.640]  因為做農夫的當然要有個地方
[00:02:31.640 --> 00:02:33.200]  他可以種東西
[00:02:33.200 --> 00:02:35.720]  他可以在那裏有收成
[00:02:35.720 --> 00:02:37.680]  如果種米、種麥
[00:02:37.680 --> 00:02:39.040]  那是年年種的
[00:02:39.040 --> 00:02:40.320]  如果你種水果
[00:02:40.320 --> 00:02:42.360]  你又不可能年年種一次的
[00:02:42.360 --> 00:02:44.040]  你開葡萄園
[00:02:44.040 --> 00:02:45.320]  你開果樹
[00:02:45.320 --> 00:02:46.560]  那是要種開的
[00:02:46.560 --> 00:02:48.840]  長遠在那裏等收成
[00:02:48.840 --> 00:02:51.080]  所以我們培養了一種文化
[00:02:51.080 --> 00:02:53.680]  就是要找一個地方安居樂業的
[00:02:53.680 --> 00:02:55.320]  我們覺得有一個地方
[00:02:55.320 --> 00:02:57.280]  我們搞定我們的生活
[00:02:57.280 --> 00:03:00.080]  將所有事情都可以做得好之後
[00:03:00.080 --> 00:03:04.480]  我們就可以長期保持這種生活下去
[00:03:04.480 --> 00:03:06.720]  好像童話故事一樣
[00:03:06.720 --> 00:03:12.640]  公主王子永遠生活在一起
[00:03:13.200 --> 00:03:16.080]  但是這些叫做童話故事是不可能的
[00:03:16.080 --> 00:03:17.640]  他們會老的
[00:03:17.640 --> 00:03:19.280]  他們會死的
[00:03:19.280 --> 00:03:23.480]  那怎樣可以永遠快樂地生活在一起呢?
[00:03:23.480 --> 00:03:26.360]  我們香港人又有一個神話
[00:03:26.360 --> 00:03:27.920]  我們相信有一個神話叫做
[00:03:27.920 --> 00:03:30.600]  安定繁榮,五十年不變
[00:03:30.600 --> 00:03:33.480]  那就很難不變了
[00:03:33.480 --> 00:03:35.280]  每天都在變的
[00:03:35.280 --> 00:03:37.280]  哪有人可以說不變呢?
[00:03:37.280 --> 00:03:41.800]  這個背景是因為我們相信以前是好的
[00:03:41.800 --> 00:03:43.800]  97年的時候是最好的
[00:03:43.800 --> 00:03:46.040]  當然樓價還沒跌之前
[00:03:46.040 --> 00:03:50.640]  所以保持這個狀況是最好的
[00:03:50.640 --> 00:03:53.640]  但是這個世界沒有東西可以保持的
[00:03:53.640 --> 00:03:56.480]  我們人生是一個旅程
[00:03:56.480 --> 00:03:58.200]  我們一路向前走的
[00:03:58.200 --> 00:04:00.200]  我們每一天都會經過
[00:04:00.200 --> 00:04:02.720]  我們每一年都會經過
[00:04:02.720 --> 00:04:07.400]  所以我們是沒有辦法停留在原本的地方
[00:04:07.400 --> 00:04:10.320]  無論那個地方多吸引我們
[00:04:10.320 --> 00:04:12.320]  無論那個狀態多好
[00:04:12.320 --> 00:04:14.920]  無論我們覺得我們的生活多幸福
[00:04:14.920 --> 00:04:17.480]  我們都是要向前走的
[00:04:17.480 --> 00:04:20.120]  你不走,周圍的人就會走
[00:04:20.120 --> 00:04:23.320]  你不動,周圍的人就會動
[00:04:23.320 --> 00:04:26.200]  我們要知道我們應該怎樣走
[00:04:26.200 --> 00:04:28.200]  我們應該怎樣選擇呢?
[00:04:28.200 --> 00:04:30.520]  當我們繼續向前走的時候
[00:04:30.520 --> 00:04:33.320]  很容易又會遇到分岔路
[00:04:33.320 --> 00:04:37.640]  我們怎樣在分岔路裏面作選擇呢?
[00:04:37.640 --> 00:04:42.920]  我們怎樣來選擇真是上帝為我們預備的路呢?
[00:04:42.920 --> 00:04:44.120]  我們需要選擇的
[00:04:44.120 --> 00:04:47.120]  有時候我們因為怕選擇就停在那裏
[00:04:47.120 --> 00:04:49.640]  最好就不動,去到分岔路
[00:04:49.640 --> 00:04:51.640]  開椅子,開一把傘
[00:04:51.640 --> 00:04:53.920]  沖一杯奶茶,不是,沖一杯咖啡
[00:04:53.920 --> 00:04:57.920]  在那裏享受,等這個世界過去為止
[00:04:57.920 --> 00:05:00.920]  我們很容易停留不動的
[00:05:00.920 --> 00:05:04.320]  但是聖經告訴我們
