
[00:00:00.000 --> 00:00:06.000]  許多基督徒都聽說過戴德森這個人
[00:00:06.000 --> 00:00:15.000]  戴德森是英國宣教士
[00:00:15.000 --> 00:00:18.000]  他在十九年代來到中國
[00:00:18.000 --> 00:00:21.000]  他總共在中國五十一年的時間
[00:00:21.000 --> 00:00:23.000]  開了一百二十五間學校
[00:00:23.000 --> 00:00:27.000]  三百個福音據點
[00:00:27.000 --> 00:00:32.000]  和招聚了八百個外國宣教士來中國
[00:00:32.000 --> 00:00:35.000]  神很重用他
[00:00:35.000 --> 00:00:44.000]  他是第一個聘請單身女宣教士來中國傳福音
[00:00:44.000 --> 00:00:47.000]  他也要求所有宣教士在外國來
[00:00:47.000 --> 00:00:50.000]  穿上中國的衣服
[00:00:50.000 --> 00:00:55.000]  神這麼重用的牧人在一九零五年去世
[00:00:55.000 --> 00:00:58.000]  他的兒子在一九三二年為他寫傳記
[00:00:58.000 --> 00:01:00.000]  他提到早四十年
[00:01:00.000 --> 00:01:02.000]  戴德森大概六十歲的時候
[00:01:02.000 --> 00:01:08.000]  他仍然是內地會的總幹事
[00:01:08.000 --> 00:01:13.000]  他每天都遇見很多難題要處理
[00:01:13.000 --> 00:01:17.000]  他每天都有很多信寄到他的總部
[00:01:17.000 --> 00:01:25.000]  這些信都是從各個地方宣教基地寄來
[00:01:25.000 --> 00:01:27.000]  譬如有童工病逝
[00:01:27.000 --> 00:01:29.000]  或者辭職
[00:01:29.000 --> 00:01:33.000]  或者有宣教基地被賊來搶東西
[00:01:33.000 --> 00:01:34.000]  那時候有很多賊
[00:01:34.000 --> 00:01:37.000]  或者被暴民來騷擾
[00:01:37.000 --> 00:01:40.000]  經費嚴重不足等等
[00:01:40.000 --> 00:01:43.000]  他的兒子描寫自己的父親
[00:01:43.000 --> 00:01:45.000]  每天打開這些信
[00:01:45.000 --> 00:01:49.000]  他都能夠很平靜地去拆開那些信
[00:01:49.000 --> 00:01:52.000]  和處理每一個難題
[00:01:52.000 --> 00:01:53.000]  在他的臉上
[00:01:53.000 --> 00:01:55.000]  他的兒子寫傳記
[00:01:55.000 --> 00:01:58.000]  很多基督徒都聽過
[00:01:58.000 --> 00:02:00.000]  馬上發WhatsApp給旁邊的人
[00:02:00.000 --> 00:02:02.000]  喂喂,處理處理
[00:02:02.000 --> 00:02:06.000]  他描寫他的父親那種平靜安穩
[00:02:06.000 --> 00:02:08.000]  是很單純
[00:02:08.000 --> 00:02:09.000]  Pure
[00:02:09.000 --> 00:02:11.000]  很持續的
[00:02:11.000 --> 00:02:12.000]  Continuous
[00:02:12.000 --> 00:02:14.000]  很自然的
[00:02:14.000 --> 00:02:16.000]  很自由的
[00:02:16.000 --> 00:02:17.000]  很Free
[00:02:17.000 --> 00:02:20.000]  一種平靜安穩的心
[00:02:20.000 --> 00:02:26.000]  大德生為何有這種平靜安穩的內涵呢?
[00:02:26.000 --> 00:02:30.000]  你想不想有這種平靜安穩?
[00:02:30.000 --> 00:02:32.000]  突然可能在你的生命裏面
[00:02:32.000 --> 00:02:35.000]  都在面對很多狂風蟹浪
[00:02:35.000 --> 00:02:36.000]  我不知道
[00:02:36.000 --> 00:02:39.000]  可能你面對身體的問題
[00:02:39.000 --> 00:02:41.000]  關係的問題
[00:02:41.000 --> 00:02:42.000]  經濟的問題
[00:02:42.000 --> 00:02:43.000]  職業的問題
[00:02:43.000 --> 00:02:46.000]  這些問題
[00:02:46.000 --> 00:02:48.000]  你怎樣處理這些問題?
[00:02:48.000 --> 00:02:51.000]  你有沒有上帝給你的那種平靜安穩?
[00:02:51.000 --> 00:02:53.000]  為何大德生有呢?
[00:02:53.000 --> 00:02:56.000]  因為他有十五章耶穌所說
[00:02:56.000 --> 00:03:00.000]  「你常在我裏面」這個關係
[00:03:00.000 --> 00:03:02.000]  你想不想得到這個關係?
[00:03:02.000 --> 00:03:04.000]  今日,未來半個小時裏
