
[00:00:00.000 --> 00:00:03.000]  各位電視姊妹 早安
[00:00:03.000 --> 00:00:05.000]  上個星期我們開始了
[00:00:05.000 --> 00:00:09.000]  《珍言廣談》系列的第三個分題
[00:00:09.000 --> 00:00:13.000]  就是「智慧在家庭」
[00:00:13.000 --> 00:00:17.000]  今天我和大家一起去思想的經文
[00:00:17.000 --> 00:00:20.000]  其實就應該是要由第十節
[00:00:20.000 --> 00:00:23.000]  三十一章第十節開始
[00:00:23.000 --> 00:00:26.000]  是一路講到三十一節
[00:00:26.000 --> 00:00:32.000]  但我們不夠時間將整段二十二節的經文讀出
[00:00:32.000 --> 00:00:34.000]  請大家回去的時候
[00:00:34.000 --> 00:00:38.000]  也可以再看從第十節開始
[00:00:38.000 --> 00:00:40.000]  去到第三十一節
[00:00:40.000 --> 00:00:44.000]  究竟這段經文是講什麼的呢?
[00:00:44.000 --> 00:00:46.000]  相信有些弟兄姊妹都知道
[00:00:46.000 --> 00:00:51.000]  這段經文是講才德的婦人
[00:00:51.000 --> 00:00:55.000]  所以可能有人就會以為
[00:00:55.000 --> 00:00:59.000]  這段經文就是對那些做太太的講的
[00:00:59.000 --> 00:01:02.000]  我是男性我就不用聽
[00:01:02.000 --> 00:01:05.000]  又或者我未結婚
[00:01:05.000 --> 00:01:07.000]  我又不用聽
[00:01:07.000 --> 00:01:10.000]  如果你真的這樣想你就錯了
[00:01:10.000 --> 00:01:13.000]  上帝話語的能力
[00:01:13.000 --> 00:01:20.000]  是在於能夠給人一些不會改變的原則
[00:01:20.000 --> 00:01:24.000]  如果人願意去持守這些原則的時候
[00:01:24.000 --> 00:01:27.000]  品格就能夠被建立
[00:01:27.000 --> 00:01:30.000]  生命就能夠不再一樣
[00:01:30.000 --> 00:01:33.000]  就能夠跟智慧去同行
[00:01:33.000 --> 00:01:37.000]  真言三十一章第十至到三十一節
[00:01:37.000 --> 00:01:43.000]  就是幫助我們從才德的婦人的身上去學習
[00:01:43.000 --> 00:01:49.000]  與智慧同行的原則和品格
[00:01:49.000 --> 00:01:52.000]  所以是對所有的人講的
[00:01:52.000 --> 00:01:55.000]  不是單單對做太太的人講
[00:01:55.000 --> 00:01:59.000]  並且這些品格和原則
[00:01:59.000 --> 00:02:05.000]  無論在家庭在職場或者其他的處境
[00:02:05.000 --> 00:02:08.000]  都可以應用出來
[00:02:08.000 --> 00:02:14.000]  所以我想先請你和坐在你旁邊的弟兄姊妹講
[00:02:14.000 --> 00:02:17.000]  今天的經文是跟你講的
[00:02:23.000 --> 00:02:30.000]  好 另外一點大家需要留意的
[00:02:30.000 --> 00:02:34.000]  就是由第十節到第三十一節
[00:02:34.000 --> 00:02:38.000]  其實是一首叫做字母詩
