
[00:00:00.000 --> 00:00:01.040]  丙之輝平安
[00:00:01.040 --> 00:00:03.280]  今天想和大家一起分享的題目
[00:00:03.280 --> 00:00:05.760]  《叫我們與惡的距離》
[00:00:05.760 --> 00:00:11.720]  這個名其實是2019年所播出的一套台灣電視劇的名字
[00:00:11.720 --> 00:00:15.280]  當時播出引起了很大很大的討論
[00:00:15.280 --> 00:00:18.040]  因為這套劇有別於過往
[00:00:18.040 --> 00:00:21.920]  我們所熟悉的台灣那些情情塌塌的電視劇
[00:00:21.920 --> 00:00:24.840]  是一套社會寫實劇
[00:00:24.840 --> 00:00:29.640]  是討論一個無差別殺人事件之後
[00:00:29.640 --> 00:00:31.320]  整個社會的實況
[00:00:31.320 --> 00:00:33.560]  什麼是無差別殺人事件呢?
[00:00:33.560 --> 00:00:38.400]  就是沒有一些特定的殺人動機或者殺人對象
[00:00:38.400 --> 00:00:40.400]  而殺人之後亦都
[00:00:40.400 --> 00:00:42.960]  那個兇手是沒有任何益處的
[00:00:42.960 --> 00:00:48.400]  而很多時候最後我們發現那個兇手是有精神病的
[00:00:48.400 --> 00:00:51.640]  在台灣這幾年其實發生了好幾宗
[00:00:51.640 --> 00:00:55.840]  是引起全世界關注的事件的
[00:00:55.840 --> 00:00:59.240]  例如在捷運裏面的殺人事件
[00:00:59.240 --> 00:01:00.040]  等等
[00:01:00.040 --> 00:01:03.080]  其實我想身處在美國的大家
[00:01:03.080 --> 00:01:06.080]  對這些事情都有很多的感觸
[00:01:06.080 --> 00:01:09.360]  而這套劇特別的地方是什麼呢?
[00:01:09.360 --> 00:01:15.200]  是它不是只是從受害者或者受害者家屬的角度來出發
[00:01:15.200 --> 00:01:21.280]  它甚至是很特別地選取了從家害者
[00:01:21.280 --> 00:01:22.440]  就是兇手
[00:01:22.440 --> 00:01:24.640]  家害者家屬
[00:01:24.640 --> 00:01:29.200]  甚至為那個兇手辯護的律師的角度
[00:01:29.920 --> 00:01:37.080]  亦都會討論到在社會裏面有同樣精神病的病患者
[00:01:37.080 --> 00:01:42.640]  和他們的家屬的角度去討論這個那麼複雜的社會議題
[00:01:42.640 --> 00:01:47.360]  所以這套劇的名字叫《我們與惡的距離》
[00:01:47.360 --> 00:01:50.200]  的確我們很容易會定性
[00:01:50.200 --> 00:01:51.520]  那個兇手就是惡
[00:01:51.520 --> 00:01:53.760]  我們都不否認這件事
[00:01:53.760 --> 00:01:56.000]  但在同時的裏面
[00:01:56.920 --> 00:02:00.520]  其實當媒體例如大力去起底
[00:02:00.520 --> 00:02:03.880]  那個兇手的各樣的家庭背景
[00:02:03.880 --> 00:02:04.800]  他的學歷
