
[00:00:00.000 --> 00:00:04.280]  在大年初二可以和大家一起去敬拜神
[00:00:04.280 --> 00:00:06.200]  都是一個很大的福氣
[00:00:06.200 --> 00:00:08.880]  我們帶著從上帝而來的祝福
[00:00:08.880 --> 00:00:12.340]  令我們又平安盼望進入新的一年
[00:00:12.340 --> 00:00:15.000]  我們同心的祷告
[00:00:15.000 --> 00:00:16.660]  撐起甲巴府
[00:00:16.660 --> 00:00:18.440]  我們的主 我們的神
[00:00:18.440 --> 00:00:20.240]  今天是農曆新年
[00:00:20.240 --> 00:00:23.480]  我們第一次的晚堂崇拜
[00:00:23.480 --> 00:00:25.280]  我們一起帶著崇敬的心
[00:00:25.280 --> 00:00:26.480]  我們享受
[00:00:26.480 --> 00:00:29.200]  去召見我們的主 我們的神
[00:00:29.200 --> 00:00:32.160]  雖然我們知道客觀環境仍然面對
[00:00:32.160 --> 00:00:33.920]  大大小小的挑戰
[00:00:33.920 --> 00:00:35.640]  但是我們不忘記
[00:00:35.640 --> 00:00:39.120]  我們生命的根基是和上帝
[00:00:39.120 --> 00:00:42.720]  你納約的這份子民的關係
[00:00:42.720 --> 00:00:45.120]  而且你裏面找到最大的穩妥
[00:00:45.120 --> 00:00:46.920]  聖靈親自當中的教導
[00:00:46.920 --> 00:00:49.760]  無論講的 聽的和蒙福
[00:00:49.760 --> 00:00:50.840]  聽我們的禱告
[00:00:50.840 --> 00:00:53.080]  奉靠的救主 耶穌基督
[00:00:53.080 --> 00:00:55.680]  寶貴的聖靈 我們去呼求你
[00:00:55.680 --> 00:00:59.480]  我們一起去看一段
[00:00:59.480 --> 00:01:01.240]  我們暫時放下我們的《路加福音》
[00:01:01.240 --> 00:01:04.080]  我們去看一段新年的經文
[00:01:04.080 --> 00:01:07.800]  在教會放了一些揮春
[00:01:07.800 --> 00:01:10.800]  可以分開四份
[00:01:10.800 --> 00:01:12.800]  其中有兩句是這樣的
[00:01:12.800 --> 00:01:16.720]  叫做「蒙主盼故 仰望天恩」
[00:01:16.720 --> 00:01:19.760]  當我看這兩個觸頌句的時候
[00:01:19.760 --> 00:01:22.160]  其實就表達了人和神之間
[00:01:22.160 --> 00:01:24.560]  各種互動的關係
[00:01:24.560 --> 00:01:28.120]  上主願意去顧念人的需要
[00:01:28.120 --> 00:01:30.680]  但也要人願意去配合
[00:01:30.680 --> 00:01:33.640]  去仰望上帝的施恩
