
[00:00:00.000 --> 00:00:06.800]  今天很開心再次回來這裡跟大家講上帝的說話
[00:00:06.800 --> 00:00:09.920]  今天是社會關懷主日
[00:00:09.920 --> 00:00:15.200]  剛才在祈禱裏面我們都將這個內容講出來
[00:00:15.200 --> 00:00:17.880]  我們都將自己的心再次奉獻給上帝
[00:00:17.880 --> 00:00:22.240]  因為我們是再一次來到大齋祈
[00:00:22.240 --> 00:00:26.560]  神藉著大齋祈為我們洗滌我們的心靈
[00:00:26.560 --> 00:00:30.000]  以致流離失所的 灰心喪志的
[00:00:30.000 --> 00:00:33.200]  可以再一次面對我們的人生
[00:00:33.200 --> 00:00:35.200]  面對生活每一個處境
[00:00:35.200 --> 00:00:37.200]  其實有高有低
[00:00:37.200 --> 00:00:39.600]  但是我們都可以以一個有盼望
[00:00:39.600 --> 00:00:43.760]  充滿著希望 甚至是喜樂的心去面對 去回應
[00:00:43.760 --> 00:00:47.280]  今天選了一段詩篇去跟大家分享
[00:00:47.280 --> 00:00:49.280]  詩篇八十四篇
[00:00:49.280 --> 00:00:53.920]  一定是很簡單但很深刻的詩篇
[00:00:53.920 --> 00:00:55.920]  這篇詩篇提醒我們
[00:00:55.920 --> 00:00:57.920]  我們身為耶穌基督的門徒
[00:00:57.920 --> 00:01:03.600]  我們懷著甚麼的心去關懷 去行動
[00:01:03.600 --> 00:01:05.600]  我們先想一想
[00:01:05.600 --> 00:01:08.080]  其實我們很多時候在社會關懷
[00:01:08.080 --> 00:01:10.720]  我們付出一些行動之前
[00:01:10.720 --> 00:01:14.160]  我們或者沒有仔細去認清楚
[00:01:14.160 --> 00:01:16.160]  這些行動背後
[00:01:16.160 --> 00:01:18.960]  我們自己或者我們帶領著的人
[00:01:18.960 --> 00:01:23.760]  去思語是究竟出於一個謙卑的服事
[00:01:23.760 --> 00:01:27.120]  抑或出於一個驕傲的施捨
[00:01:27.120 --> 00:01:29.120]  大齋祈真是一個很好的日子
[00:01:29.120 --> 00:01:31.280]  讓我們再一次回到我們的內心
