
[00:00:00.000 --> 00:00:05.940]  不知道大家是否相信會有靈界的事物呢?
[00:00:05.940 --> 00:00:08.320]  經文提到靈這個字
[00:00:08.320 --> 00:00:18.380]  原文就是neuma 希臘文
[00:00:18.380 --> 00:00:21.160]  總共有七次那麼多
[00:00:21.160 --> 00:00:25.400]  連在第三節的下半節的代名詞總共有八次
[00:00:25.400 --> 00:00:28.800]  我們的中文聖經就將代名詞連出來
[00:00:28.800 --> 00:00:30.400]  所以大家都可以看到
[00:00:30.400 --> 00:00:33.600]  原來這個字在這段經文裡面很重要
[00:00:33.600 --> 00:00:35.940]  出現了八次
[00:00:35.940 --> 00:00:42.280]  到底靈是指靈魂、魂魄還是鬼魂呢?
[00:00:42.280 --> 00:00:45.320]  跟大家講一個小故事、我的經歷
[00:00:45.320 --> 00:00:48.320]  幾年前我在太古城住
[00:00:48.320 --> 00:00:51.280]  太古城一座大廈有28層
[00:00:51.280 --> 00:00:53.820]  總共每一層有八個單位
[00:00:53.820 --> 00:00:55.680]  所以有三部升降機
[00:00:55.680 --> 00:01:00.760]  其中一部升降機壞了
[00:01:00.760 --> 00:01:04.100]  壞了至少一個多月
[00:01:04.100 --> 00:01:05.700]  好像是一些零件的問題
[00:01:05.700 --> 00:01:07.840]  所以要等貨送來才去修理
[00:01:07.840 --> 00:01:10.600]  所以有28層的住戶
[00:01:10.600 --> 00:01:12.280]  每一層有八個單位
[00:01:12.280 --> 00:01:13.900]  所以就用兩部升降機
[00:01:13.900 --> 00:01:15.440]  不知道一次是否很幸運
[00:01:15.440 --> 00:01:18.380]  其中一部升降機又壞了
[00:01:18.380 --> 00:01:21.980]  所以這麼多住戶只用一部升降機
[00:01:21.980 --> 00:01:25.380]  我記得有一天早上上班時間
[00:01:25.380 --> 00:01:26.760]  大約很早
[00:01:26.760 --> 00:01:31.120]  我住在18樓等升降機
[00:01:31.120 --> 00:01:33.000]  看到升降機逐層逐層停下來
[00:01:33.000 --> 00:01:35.700]  就想想「糟了,上不到升降機怎麼辦?」
[00:01:35.700 --> 00:01:38.060]  「走18樓的人不是容易的」
[00:01:38.060 --> 00:01:40.960]  於是就很幸運
[00:01:40.960 --> 00:01:42.600]  18樓打開了升降機門後
[00:01:42.600 --> 00:01:43.940]  就剩下少許空間
[00:01:43.940 --> 00:01:45.780]  我和我的先生都沒有跳
[00:01:45.780 --> 00:01:49.280]  所以剛剛我進去後就關上升降機門
[00:01:49.280 --> 00:01:51.540]  到了9樓的時候
[00:01:51.540 --> 00:01:52.980]  升降機門又打開了
[00:01:52.980 --> 00:01:55.920]  有位女士和她的傭工就想進來
[00:01:55.920 --> 00:01:58.260]  動了一下就看到
[00:01:58.260 --> 00:02:00.580]  「吹!撞鬼了!」
[00:02:00.580 --> 00:02:02.460]  然後升降機門就關上了
[00:02:02.460 --> 00:02:04.360]  大家都趕時間
[00:02:04.360 --> 00:02:06.920]  我們又不敢在升降機上說話
[00:02:06.920 --> 00:02:08.060]  因為太擠迫了
[00:02:08.060 --> 00:02:09.960]  出去之後我和我的先生說
[00:02:09.960 --> 00:02:12.160]  「我們整個升降機都是人」
[00:02:12.160 --> 00:02:14.900]  「她撞了什麼鬼?」
[00:02:14.900 --> 00:02:17.380]  覺得她這麼沒禮貌
[00:02:17.380 --> 00:02:18.980]  坐不到升降機是有點生氣
[00:02:18.980 --> 00:02:21.340]  但不用這樣
[00:02:21.340 --> 00:02:24.980]  不知道大家有沒有這樣的經歷
[00:02:24.980 --> 00:02:26.980]  我們看看在這段經文中
[00:02:26.980 --> 00:02:29.240]  「靈」到底指什麼呢?
[00:02:29.240 --> 00:02:31.880]  作者想告訴我們什麼呢?
[00:02:31.880 --> 00:02:33.560]  想我們認識什麼呢?
[00:02:33.560 --> 00:02:34.920]  所以這次的講道
[00:02:34.920 --> 00:02:38.260]  我就會處理三個問題
[00:02:38.260 --> 00:02:39.220]  我會處理一下
[00:02:39.220 --> 00:02:40.360]  第一個問題是
[00:02:40.360 --> 00:02:42.060]  到底有沒有鬼?
[00:02:42.060 --> 00:02:45.060]  人死了之後是不是變鬼呢?
[00:02:45.060 --> 00:02:48.540]  第二就是靈界的正邪怎麼分?
[00:02:48.540 --> 00:02:49.740]  第三就是
