
[00:00:00.000 --> 00:00:04.040]  我們今天講的經文是尼加書的四章一到五節
[00:00:04.040 --> 00:00:08.960]  講題是《假使世界原來不像你預期》
[00:00:08.960 --> 00:00:14.720]  話說我聖誕節之後就去跟朋友去洛杉磯旅行
[00:00:14.720 --> 00:00:20.000]  我們通常幻想的加州就是陽光海灘是溫暖的
[00:00:20.000 --> 00:00:23.320]  誰知道我去到那兩個星期之後就發覺
[00:00:23.320 --> 00:00:26.800]  一下飛機就說天這麼陰暗
[00:00:26.800 --> 00:00:28.480]  說完全沒有太陽
[00:00:28.480 --> 00:00:32.800]  去到整個星期 風大到吹到頭都快要掉了
[00:00:32.800 --> 00:00:36.200]  就是去海灘都去不到 什麼都做不到的
[00:00:36.200 --> 00:00:38.200]  其中同行我們就有個朋友
[00:00:38.200 --> 00:00:42.240]  他們就說 為什麼加州會是這樣的
[00:00:42.240 --> 00:00:45.000]  這個都不是我想像中的加州那樣
[00:00:45.000 --> 00:00:48.880]  好像G.R.哥還好一點 這個時間
[00:00:48.880 --> 00:00:53.760]  他一路在旅行一路在講這件事的時候
[00:00:53.760 --> 00:00:56.480]  其實都影響到我的心情
[00:00:56.480 --> 00:01:00.280]  當加州原來不像我們預期那樣
[00:01:00.280 --> 00:01:02.920]  就會令到那些東西又不是那麼好吃
[00:01:02.920 --> 00:01:04.800]  那些東西又不是那麼好玩
[00:01:04.800 --> 00:01:08.760]  又想起那些塞車 塞到我快要瘋了
[00:01:08.760 --> 00:01:11.800]  我就說整個旅程都很低落
[00:01:11.800 --> 00:01:16.360]  令到最後覺得這個真的不是我想住的地方
[00:01:16.360 --> 00:01:19.920]  我想想如果一次這樣的旅行
[00:01:19.920 --> 00:01:23.480]  都可以這樣來影響我們心情的時候
[00:01:23.480 --> 00:01:27.120]  何況是我們每一天身處的環境呢
[00:01:27.120 --> 00:01:31.720]  假使世界原來不像我們預期的時候
[00:01:31.720 --> 00:01:33.400]  我們會怎樣選擇呢
[00:01:33.400 --> 00:01:37.400]  我們會選擇逃避 說我不再住在這個地方
[00:01:37.400 --> 00:01:42.400]  還是我們繼續以一個很負面的心態來應接呢
[00:01:42.400 --> 00:01:46.200]  在《離家書》四章一到五節當中說的是
[00:01:46.200 --> 00:01:50.040]  當世界不像上帝預期的時候
[00:01:50.040 --> 00:01:52.080]  上帝怎樣來回應
