
[00:00:00.000 --> 00:00:02.000]  頂姐妹平安!
[00:00:02.000 --> 00:00:08.000]  首領隊獻奏的曲目是「真光普照」
[00:00:08.000 --> 00:00:13.000]  但是英文沒有「真光」,用哪個字取代呢?
[00:00:13.000 --> 00:00:15.000]  耶穌,是不是?
[00:00:15.000 --> 00:00:19.000]  普照,或者照耀,耶穌照耀,直譯就是這樣,是不是?
[00:00:19.000 --> 00:00:24.000]  但是中文翻譯非常好,將耶穌本身的屬性,
[00:00:24.000 --> 00:00:28.000]  他說我就是世上的真光!
[00:00:28.000 --> 00:00:32.000]  頂姐妹,耶穌不單只是世上的真光,
[00:00:32.000 --> 00:00:34.000]  祂更是獨一的真神,
[00:00:34.000 --> 00:00:39.000]  約翰福音也告訴我們,祂是那位獨一的真正的牧者,
[00:00:39.000 --> 00:00:41.000]  是我們的王,是我們的主,
[00:00:41.000 --> 00:00:45.000]  是我們的活水,是我們生命的糧,
[00:00:45.000 --> 00:00:48.000]  更加是我們真正的葡萄樹!
[00:00:48.000 --> 00:00:51.000]  看看這幅圖!
[00:00:56.000 --> 00:00:59.000]  大家買過這件衣服了嗎?
[00:00:59.000 --> 00:01:03.000]  如果買了,祝你好運還是不好運!
[00:01:03.000 --> 00:01:08.000]  這件衣服有個很好的名稱,叫做仿製品,
[00:01:08.000 --> 00:01:13.000]  它不算無牌的,因為它不是P,
[00:01:13.000 --> 00:01:15.000]  你不可以說它無牌,
[00:01:15.000 --> 00:01:20.000]  你可以說很有美麗的名稱,叫做仿製品,
[00:01:20.000 --> 00:01:25.000]  就好像有個紙巾,叫做TAMPO,
[00:01:25.000 --> 00:01:32.000]  大家知道它是仿製TAMPO的名牌紙巾,
[00:01:32.000 --> 00:01:35.000]  不過你買了不要緊,就不要用來抹嘴,
[00:01:35.000 --> 00:01:38.000]  用來抹手抹桌子也不要緊,
[00:01:38.000 --> 00:01:44.000]  今天的題目叫做要小心提防假冒,
[00:01:44.000 --> 00:01:47.000]  仿製品如果你買是你的事,
[00:01:47.000 --> 00:01:51.000]  最糟糕的就是那些人不是仿製,
[00:01:51.000 --> 00:01:54.000]  而是完全的假冒,
[00:01:54.000 --> 00:01:59.000]  北京有完全假冒的全罪得烤鴨,
[00:01:59.000 --> 00:02:04.000]  後來被北京政府取締,罰了50萬人民幣,
[00:02:04.000 --> 00:02:08.000]  即是連整間店舖都拿了別人的名字,一模一樣的,
[00:02:08.000 --> 00:02:12.000]  假冒或者偽劣產品,
[00:02:12.000 --> 00:02:13.000]  什麼意思呢?
[00:02:13.000 --> 00:02:20.000]  意思是不法商人利用正牌註冊商標來取利,
[00:02:20.000 --> 00:02:26.000]  因為正牌或者通常名牌的聲譽和卓越價值,
[00:02:26.000 --> 00:02:31.000]  是值得去模仿,可以帶來很多利益,
[00:02:31.000 --> 00:02:37.000]  當然無牌貨品質不一定很差,
[00:02:37.000 --> 00:02:43.000]  不過一定不及正牌產品所列明,
[00:02:43.000 --> 00:02:46.000]  或者消費者所期盼的質素,
[00:02:46.000 --> 00:02:49.000]  這已經是不幸中的大幸,
[00:02:49.000 --> 00:02:51.000]  對於買了無牌貨的人來說,
[00:02:51.000 --> 00:02:57.000]  但最糟糕的就是那些無牌產品所採用的物料,
[00:02:57.000 --> 00:03:00.000]  可能是一些不能吃不能用,
[00:03:00.000 --> 00:03:03.000]  傷害人身體的劣質產品,
[00:03:03.000 --> 00:03:09.000]  帶來人身體的健康和生命受到威脅,
[00:03:09.000 --> 00:03:15.000]  甚至會帶來正牌商的聲譽和金錢上的損失。
[00:03:15.000 --> 00:03:23.000]  商業上的假冒,最多帶來消費者的損失,
[00:03:23.000 --> 00:03:27.000]  或者作為一種人生的學習,
[00:03:27.000 --> 00:03:30.000]  看清楚才買東西,不要貪便宜。
[00:03:30.000 --> 00:03:35.000]  但如果信仰和教義上出現了假冒,
[00:03:35.000 --> 00:03:39.000]  請問帶來的後果又會是怎樣呢?
[00:03:39.000 --> 00:03:44.000]  宗教上的假冒,我們基督教稱它為異端,
[00:03:44.000 --> 00:03:47.000]  異端簡單的定義是,
[00:03:47.000 --> 00:03:49.000]  他們掛著基督教的名義,
[00:03:49.000 --> 00:03:52.000]  傳講非基督教或者聖經裏面的真理,
[00:03:52.000 --> 00:03:55.000]  這些教會,這些教派,我們可以統稱它為異端,
[00:03:55.000 --> 00:03:58.000]  通常它的教會名字是基督的,
[00:03:58.000 --> 00:04:00.000]  所以甚麼都有基督的,小心!
[00:04:00.000 --> 00:04:04.000]  不要因為基督,你就當它是正統的教會。
[00:04:04.000 --> 00:04:10.000]  最重要,這些異端,它不是真正傳講聖經的真理,
[00:04:10.000 --> 00:04:13.000]  就算它講,它都會隨意曲解,
[00:04:13.000 --> 00:04:17.000]  甚至以他們的始創人所寫的書,
[00:04:17.000 --> 00:04:24.000]  奉為經典,甚至凌駕於聖經的權威和地位。
[00:04:24.000 --> 00:04:28.000]  所以在哥羅西書2章8至15節,
[00:04:28.000 --> 00:04:33.000]  保羅毫不客氣,直接攻擊當時的哥羅西教會異端,
[00:04:33.000 --> 00:04:39.000]  以一個很嚴重警告的語氣,來警告當時的信徒,
[00:04:39.000 --> 00:04:41.000]  要小心留意這些異端。
[00:04:41.000 --> 00:04:46.000]  當時哥羅西教會異端部分的教訓是,
[00:04:46.000 --> 00:04:50.000]  人要得救,除了需要相信基督之外,
[00:04:50.000 --> 00:04:53.000]  還要加上一些秘密知識,
[00:04:53.000 --> 00:04:56.000]  甚至人為的規條,
[00:04:56.000 --> 00:04:59.000]  要實行一些身體或外表方面的事,
[00:04:59.000 --> 00:05:01.000]  譬如你要行國禮,
[00:05:01.000 --> 00:05:03.000]  你在飲食上要注意什麼,
[00:05:03.000 --> 00:05:05.000]  要吃什麼,不吃什麼,
[00:05:05.000 --> 00:05:08.000]  要守宗教的儀式和訓令,
[00:05:08.000 --> 00:05:11.000]  否則簡單來說,你不算得救。
[00:05:11.000 --> 00:05:15.000]  這就是當時哥羅西教會異端一部分的教訓。
[00:05:15.000 --> 00:05:20.000]  當然,當時哥羅西教會的周邊,
[00:05:20.000 --> 00:05:24.000]  或者當時的時代的異端,還有很多很多的。
[00:05:24.000 --> 00:05:28.000]  哥羅西書的目的不是要介紹異端,
[00:05:28.000 --> 00:05:31.000]  而是要透過這封書信,
