
[00:00:00.000 --> 00:00:04.000]  今晚很高興和大家分享神的說話
[00:00:04.000 --> 00:00:07.000]  今天想和大家分享的是
[00:00:07.000 --> 00:00:09.000]  這個系列
[00:00:09.000 --> 00:00:11.000]  回應時代的呼聲
[00:00:11.000 --> 00:00:15.000]  最後一個訊息
[00:00:15.000 --> 00:00:18.000]  之前有阿南和Sandy
[00:00:18.000 --> 00:00:20.000]  上星期有談過
[00:00:20.000 --> 00:00:23.000]  分享了不同的人物
[00:00:23.000 --> 00:00:28.000]  今天想和大家分享一個故事
[00:00:28.000 --> 00:00:33.000]  我想大家對他的故事應該聽過不少
[00:00:33.000 --> 00:00:37.000]  舊約的以色列
[00:00:37.000 --> 00:00:40.000]  由它立國到亡國
[00:00:40.000 --> 00:00:44.000]  歷史大概只有500年左右
[00:00:44.000 --> 00:00:47.000]  公元前大約1000年多一點
[00:00:47.000 --> 00:00:50.000]  到586年亡國
[00:00:50.000 --> 00:00:52.000]  大約500年
[00:00:52.000 --> 00:00:56.000]  當中只有三個皇帝
[00:00:56.000 --> 00:00:59.000]  在一個聯合亡國的時候
[00:00:59.000 --> 00:01:03.000]  其他三個全部都是南北國
[00:01:03.000 --> 00:01:05.000]  三個就是
[00:01:05.000 --> 00:01:08.000]  數羅、大衛、所羅門
[00:01:08.000 --> 00:01:12.000]  他們分別作亡大概有40年
[00:01:12.000 --> 00:01:15.000]  有人說過這三個皇帝
[00:01:15.000 --> 00:01:17.000]  他們對上帝的心
[00:01:17.000 --> 00:01:19.000]  有人這樣形容
[00:01:19.000 --> 00:01:24.000]  他說數羅王對上帝沒有心
[00:01:24.000 --> 00:01:28.000]  大衛對上帝有心
[00:01:28.000 --> 00:01:33.000]  數羅對上帝有半個心
[00:01:33.000 --> 00:01:35.000]  為什麼呢
[00:01:35.000 --> 00:01:37.000]  聽下去就會知道
[00:01:37.000 --> 00:01:41.000]  這三個聯合亡國的皇帝
[00:01:41.000 --> 00:01:44.000]  用這樣的角度去看
[00:01:44.000 --> 00:01:48.000]  今天我選了一個經文
[00:01:48.000 --> 00:01:50.000]  就是《薩姆爾紀》上
[00:01:50.000 --> 00:01:54.000]  其實是一兩節
[00:01:54.000 --> 00:01:58.000]  聖經怎樣形容大衛呢
[00:01:58.000 --> 00:02:00.000]  是絕無僅有的
[00:02:00.000 --> 00:02:03.000]  用了一個詞語叫合臣心意
[00:02:03.000 --> 00:02:06.000]  但它最初是立了數羅做皇帝
[00:02:06.000 --> 00:02:08.000]  然後就大衛
[00:02:08.000 --> 00:02:09.000]  數羅本來是
[00:02:09.000 --> 00:02:10.000]  如果你有看過故事
[00:02:10.000 --> 00:02:12.000]  在盤子裡頭突出來
[00:02:12.000 --> 00:02:14.000]  即是高大威那些
[00:02:14.000 --> 00:02:16.000]  即是後面那些高大威那些
[00:02:16.000 --> 00:02:17.000]  即是你坐在那裡
[00:02:17.000 --> 00:02:20.000]  突出半個頭出來那些
[00:02:20.000 --> 00:02:22.000]  很難隱藏
[00:02:22.000 --> 00:02:23.000]  跟我們這些不同
[00:02:23.000 --> 00:02:24.000]  我們這些去到亡國的時候
[00:02:24.000 --> 00:02:25.000]  一個石頭打下來
[00:02:25.000 --> 00:02:27.000]  打成一打那些
[00:02:27.000 --> 00:02:28.000]  即是很平凡的
[00:02:28.000 --> 00:02:29.000]  但有些不是
[00:02:29.000 --> 00:02:30.000]  數羅是那些來的
[00:02:30.000 --> 00:02:32.000]  看起來是很打得
