
[00:00:00.000 --> 00:00:03.900]  在《創世紀》第二十二章一到十四節
[00:00:03.900 --> 00:00:06.980]  阿伯拉罕獻以撒這個記載
[00:00:06.980 --> 00:00:08.900]  相信大家都很熟悉
[00:00:08.900 --> 00:00:11.620]  這裏是經文講述上帝吩咐阿伯拉罕
[00:00:11.620 --> 00:00:14.380]  帶着他唯一的兒子以撒
[00:00:14.380 --> 00:00:18.080]  去到山上然後將以撒當繁祭
[00:00:18.080 --> 00:00:20.380]  這樣獻給上帝
[00:00:20.380 --> 00:00:22.220]  在經文開始的那一刻
[00:00:22.220 --> 00:00:23.880]  阿伯拉罕獻以撒
[00:00:23.880 --> 00:00:26.780]  是因爲他想要帶着他唯一的兒子以撒
[00:00:26.780 --> 00:00:30.060]  這樣獻給上帝
[00:00:30.060 --> 00:00:31.660]  在經文開始的時候
[00:00:31.660 --> 00:00:36.220]  讓我們看到上帝是一個試驗人的上帝
[00:00:36.220 --> 00:00:37.700]  但是到了最後
[00:00:37.700 --> 00:00:40.740]  上帝原來已經爲阿伯拉罕預備了一隻
[00:00:40.740 --> 00:00:45.940]  可以用來替代以撒作爲獻物的供養
[00:00:45.940 --> 00:00:47.900]  試驗人的上帝
[00:00:47.900 --> 00:00:51.660]  原來又是一個供應最適切的上帝
[00:00:51.660 --> 00:00:53.500]  這段經文描述一個人
[00:00:53.500 --> 00:00:55.100]  在上帝的主權
[00:00:55.100 --> 00:00:59.460]  向上帝信服兩者之間一個激烈的掙扎
[00:00:59.460 --> 00:01:00.780]  經文提醒我們
[00:01:00.780 --> 00:01:03.060]  上帝有絕對的主權
[00:01:03.060 --> 00:01:05.180]  祂要試驗我們
[00:01:05.180 --> 00:01:08.660]  但是同時間祂有無限的恩典
[00:01:08.660 --> 00:01:13.180]  祂會按着自己的時間去供應給我們
[00:01:13.180 --> 00:01:17.300]  我們要絕對相信上帝是唯一的上帝
[00:01:17.300 --> 00:01:19.940]  祂要求我們遇到任何的事
[00:01:19.940 --> 00:01:21.860]  只要是相信祂
[00:01:21.860 --> 00:01:25.140]  耶利米哀歌三章二十二節說
[00:01:25.140 --> 00:01:26.820]  「我們不致消滅
[00:01:26.820 --> 00:01:30.500]  是出於耶和華諸般的慈愛
[00:01:30.500 --> 00:01:34.660]  因祂的憐憫不致斷絕」
[00:01:34.660 --> 00:01:38.260]  當我們聽到上帝呼召我們去獻祭的時候
[00:01:38.260 --> 00:01:40.700]  可能我們都不知道獻什麼
[00:01:40.700 --> 00:01:43.020]  我們就憑信心去回應
[00:01:43.020 --> 00:01:47.060]  知道上帝必定有最美好的預備
[00:01:51.860 --> 00:01:54.860]  由 Amara.org 社羣提供的字幕
