
[00:00:00.000 --> 00:00:05.000]  弟子們,二千多年前耶穌復活之後
[00:00:05.000 --> 00:00:09.000]  當時的門徒們因為怕猶太人
[00:00:09.000 --> 00:00:12.000]  所以關門聚集
[00:00:12.000 --> 00:00:15.000]  復活的主就站在他們中間
[00:00:15.000 --> 00:00:19.000]  對他們說:願你們平安
[00:00:19.000 --> 00:00:21.000]  說了這話
[00:00:21.000 --> 00:00:26.000]  就把他的手和肋旁給他們看
[00:00:26.000 --> 00:00:32.000]  門徒看見主就喜樂了
[00:00:32.000 --> 00:00:37.000]  約翰福音20章19-20節
[00:00:37.000 --> 00:00:40.000]  今天我們來到教會聚集
[00:00:40.000 --> 00:00:45.000]  敬拜誰?
[00:00:45.000 --> 00:00:48.000]  焦點在哪裡?
[00:00:48.000 --> 00:00:50.000]  你看見主嗎?
[00:00:50.000 --> 00:00:53.000]  有沒有喜樂?
[00:00:53.000 --> 00:00:59.000]  當時耶穌給你看的就是釘人的手和肋旁
[00:00:59.000 --> 00:01:03.000]  這是上帝公義的表號
[00:01:03.000 --> 00:01:08.000]  也是上帝慈愛的表徵
[00:01:08.000 --> 00:01:13.000]  所有的真理就在十字架上
[00:01:13.000 --> 00:01:18.000]  沒有十字架,沒有真理
[00:01:18.000 --> 00:01:22.000]  為這個緣故,今早我覺得
[00:01:22.000 --> 00:01:26.000]  神給我一個很特別的機會
[00:01:26.000 --> 00:01:33.000]  做牧師講到什麼特別機會?
[00:01:33.000 --> 00:01:36.000]  我不知道為什麼
[00:01:36.000 --> 00:01:39.000]  會在5月20日
[00:01:39.000 --> 00:01:41.000]  在那天早上決定
[00:01:41.000 --> 00:01:48.000]  不坐飛機離開香港
[00:01:48.000 --> 00:01:51.000]  師母不適宜坐長途飛機
[00:01:51.000 --> 00:01:53.000]  要留下來
[00:01:53.000 --> 00:01:56.000]  我一定要陪她留下來
[00:01:56.000 --> 00:02:00.000]  雖然兩個兒女都安排好了
[00:02:00.000 --> 00:02:02.000]  但到今天
[00:02:02.000 --> 00:02:04.000]  我有些明白
[00:02:04.000 --> 00:02:06.000]  不是因為我會講到
[00:02:06.000 --> 00:02:08.000]  而是原來三個星期前
[00:02:08.000 --> 00:02:11.000]  那天早上我做最難決定的時候
[00:02:11.000 --> 00:02:13.000]  那個人滋餓到不得了
[00:02:13.000 --> 00:02:16.000]  那些時間已經成為歷史了
[00:02:16.000 --> 00:02:18.000]  過了
[00:02:18.000 --> 00:02:20.000]  在這三個星期裡
[00:02:20.000 --> 00:02:23.000]  學習、經歷、體會
[00:02:23.000 --> 00:02:27.000]  很多東西是我以前沒有學過的
[00:02:27.000 --> 00:02:28.000]  弟兄姊妹
[00:02:28.000 --> 00:02:31.000]  我以下有幾段經文
[00:02:31.000 --> 00:02:32.000]  我告訴你
[00:02:32.000 --> 00:02:34.000]  為什麼我可以靠著這個恩典
[00:02:34.000 --> 00:02:36.000]  到今天
[00:02:36.000 --> 00:02:39.000]  仍然帶著喜樂的心
[00:02:39.000 --> 00:02:42.000]  來到神的面前
[00:02:42.000 --> 00:02:44.000]  我真的要問
[00:02:44.000 --> 00:02:47.000]  你有盼望,有信,有望,有愛
[00:02:47.000 --> 00:02:49.000]  沒錯,你看到周圍的東西
[00:02:49.000 --> 00:02:52.000]  如果有人知道我的情況
[00:02:52.000 --> 00:02:57.000]  我應該是愁眉苦臉的
[00:02:57.000 --> 00:03:00.000]  我告訴你,不是我超人
[00:03:00.000 --> 00:03:02.000]  是因為一件事
[00:03:02.000 --> 00:03:04.000]  有整個話語
[00:03:04.000 --> 00:03:06.000]  整個靈在我心中
[00:03:06.000 --> 00:03:10.000]  將我所有東西化解了
[00:03:10.000 --> 00:03:12.000]  今天早上我想用幾段經文
[00:03:12.000 --> 00:03:16.000]  但這些經文我只是打了經節出來
[00:03:16.000 --> 00:03:21.000]  就沒有打到經文
[00:03:21.000 --> 00:03:23.000]  原因是我不想你
[00:03:23.000 --> 00:03:26.000]  因為你叫我看,我就看
[00:03:26.000 --> 00:03:27.000]  你有興趣就自己看
[00:03:27.000 --> 00:03:29.000]  如果這是潔聖經,你當然要學潔聖經
[00:03:29.000 --> 00:03:31.000]  我會讀給你聽
[00:03:31.000 --> 00:03:36.000]  為什麼我心中有平安與喜樂
[00:03:36.000 --> 00:03:37.000]  第一段經文
[00:03:37.000 --> 00:03:41.000]  耶穌基督在約翰福音十六章三十三節說
[00:03:41.000 --> 00:03:46.000]  我張姐姐是告訴你們,是要叫你們在我裡面有平安
[00:03:46.000 --> 00:03:52.000]  在世上你們有苦難
[00:03:52.000 --> 00:03:55.000]  但你們可以放心
[00:03:55.000 --> 00:03:59.000]  我已經勝了世界
[00:03:59.000 --> 00:04:02.000]  有苦難,很多人不放心
[00:04:02.000 --> 00:04:05.000]  但你相信整個話語的人
[00:04:05.000 --> 00:04:09.000]  知道有苦難,仍然要放心
[00:04:09.000 --> 00:04:15.000]  第二段經文是我們的信仰
[00:04:15.000 --> 00:04:17.000]  如果有人告訴你明天會更好
[00:04:17.000 --> 00:04:21.000]  我會相信永恆會更好
[00:04:21.000 --> 00:04:22.000]  我不知道你
[00:04:22.000 --> 00:04:26.000]  我的明天,我會走一步
[00:04:26.000 --> 00:04:27.000]  好像昔日我講道的時候
[00:04:27.000 --> 00:04:28.000]  很多坐在這裡的第二段經文
[00:04:28.000 --> 00:04:31.000]  現在不坐在這裡了
[00:04:31.000 --> 00:04:33.000]  你會嗎?
[00:04:33.000 --> 00:04:36.000]  但感謝神,我有永恆的盼望
[00:04:36.000 --> 00:04:38.000]  我不會多講解這些經文
[00:04:38.000 --> 00:04:39.000]  我只是略解釋
[00:04:39.000 --> 00:04:43.000]  否則一查解經就要爭論很久
[00:04:43.000 --> 00:04:46.000]  要等神學院的人去講
[00:04:46.000 --> 00:04:48.000]  第二段經文
[00:04:48.000 --> 00:04:54.000]  哥羅太書第五章二十五到二十六節
[00:04:54.000 --> 00:04:59.000]  你們若是靠著聖靈得生
[00:04:59.000 --> 00:05:04.000]  不是用仁義,不是用仁性來得到永生
[00:05:04.000 --> 00:05:08.000]  是借著聖靈,神的話語得到永生的話
[00:05:08.000 --> 00:05:16.000]  就應當靠聖靈,神的話語來行事
[00:05:16.000 --> 00:05:20.000]  什麼叫做行事?你們自己去理解
[00:05:20.000 --> 00:05:21.000]  我的理解就是
[00:05:21.000 --> 00:05:25.000]  我生活起居,飲食就是我的行事
[00:05:25.000 --> 00:05:28.000]  我要做這個,不做那個都是我的行事
[00:05:28.000 --> 00:05:38.000]  下面說,不要貪圖虛名,彼此惹氣,互相嫉妒
[00:05:38.000 --> 00:05:40.000]  你們不知道什麼叫做嫉妒
[00:05:40.000 --> 00:05:43.000]  我處理過一個團機構的問題
[00:05:43.000 --> 00:05:46.000]  就是兩個帶領人嫉妒
[00:05:46.000 --> 00:05:50.000]  搞到兩幫人在教會庫堂裡開會
[00:05:50.000 --> 00:05:52.000]  開到最後幾乎開遍
[00:05:52.000 --> 00:05:54.000]  你不相信的
[00:05:54.000 --> 00:05:56.000]  師傅問我,要不要打電話報警
[00:05:56.000 --> 00:06:02.000]  報警很大件事,我經歷過
