
[00:00:00.000 --> 00:00:02.240]  今日同大家一齊嚟到繼續去睇
[00:00:02.240 --> 00:00:04.040]  提波太后書嘅訊息
[00:00:04.040 --> 00:00:06.520]  上兩次我都唔知兩次上
[00:00:06.520 --> 00:00:10.000]  四次呢就都講咗第一章到第三章嘅大部分
[00:00:10.000 --> 00:00:12.240]  特別喺第三章嘅時候我哋提到呢個嘅
[00:00:12.240 --> 00:00:16.920]  社會呢個世界正正都係喺一個末世嘅危機裏面
[00:00:16.920 --> 00:00:22.360]  如果我哋仍然喺當中嚟到去被呢個嘅世界影響
[00:00:22.360 --> 00:00:24.720]  我哋會好容易嚟到墮崖
[00:00:24.720 --> 00:00:27.800]  我哋更加要立定我哋自己一個嘅志願
[00:00:27.800 --> 00:00:30.160]  就係敬虔靠主
[00:00:30.160 --> 00:00:33.400]  上次我提到喺前提後以至提多裏面都係
[00:00:33.400 --> 00:00:37.680]  以敬虔作為一個好重要嘅訊息
[00:00:37.680 --> 00:00:40.840]  今日我哋會繼續嚟到睇提波太后書嘅三章
[00:00:40.840 --> 00:00:42.640]  剩返有四節嘅經文
[00:00:42.640 --> 00:00:45.000]  從十四節到第十七節
[00:00:45.000 --> 00:00:48.920]  呢啲經文其實可能對一啲弟兄姊妹嚟講都好熟嘅
[00:00:48.920 --> 00:00:53.200]  特別我哋有時喺信仰班浸禮班嘅教導嘅時候
[00:00:53.200 --> 00:00:56.960]  都一定要求弟兄姊妹你記唔曬咁多聖經
[00:00:56.960 --> 00:00:58.600]  你都至少記一節經文
[00:00:58.600 --> 00:01:02.360]  喺信仰班浸禮班裏面就一定要求佢哋背一節經文
[00:01:02.360 --> 00:01:06.600]  大家唔知有冇試過被你嘅老師要求過去背
[00:01:06.600 --> 00:01:08.120]  嗰節經文係咩?
[00:01:08.120 --> 00:01:11.200]  若翰福音嘅三章十六節
[00:01:11.200 --> 00:01:15.080]  我哋就話喺聖經裏面呢個係一個好重要嘅三章十六節
[00:01:15.080 --> 00:01:18.120]  你記唔到成全本聖經都至少記一節
[00:01:18.120 --> 00:01:21.040]  但另外再慢慢我哋又會話畀弟兄姊妹知
[00:01:21.040 --> 00:01:23.720]  其實另外仲有一個三章十六節好重要嘅
[00:01:23.720 --> 00:01:26.520]  唔知有幾多個弟兄姊妹你都可以背到
[00:01:26.520 --> 00:01:30.400]  我哋浸禮班後我都期望佢可以再繼續背多一節
[00:01:30.400 --> 00:01:33.920]  呢一節就係一陣間我哋會讀嘅提摩太后書三章十六節
[00:01:33.920 --> 00:01:37.120]  如果大家你未背到嘅話
[00:01:37.120 --> 00:01:38.360]  我畀個功課大家
[00:01:38.360 --> 00:01:41.560]  希望今年之內背咗佢好唔好?
[00:01:41.560 --> 00:01:42.320]  好唔好?
[00:01:42.320 --> 00:01:45.000]  冇反應即係唔好啦
[00:01:45.000 --> 00:01:47.520]  梗係啦因為我嘅今年就唔係話
[00:01:47.520 --> 00:01:49.920]  等到你十二月三十一號先交功課畀我
[00:01:49.920 --> 00:01:53.440]  今年就係等你過農曆年前你好背咗佢啦
[00:01:53.440 --> 00:01:56.800]  你至少過年前背一背經文
[00:01:56.800 --> 00:02:00.320]  其實有啲經文背咗係對我哋嘅生命
[00:02:00.320 --> 00:02:02.000]  對我哋嘅信仰都係好嘅
[00:02:02.000 --> 00:02:04.400]  所以希望如果你真係可以試下呢幾日
[00:02:04.400 --> 00:02:07.080]  背埋呢個另外一個三章十六節
[00:02:07.080 --> 00:02:08.880]  提摩太后書嘅三章十六節
[00:02:08.880 --> 00:02:10.960]  我哋不如先讀下呢幾節經文啦
[00:02:10.960 --> 00:02:12.680]  由提摩太后書嘅三章
[00:02:12.680 --> 00:02:15.720]  十四節到第十七節我哋一齊嚟到讀呢幾節經文
[00:02:15.720 --> 00:02:16.920]  預備起
[00:02:16.920 --> 00:02:20.160]  但你所學習的所確信的
[00:02:20.160 --> 00:02:21.920]  要存在心裡
[00:02:21.920 --> 00:02:25.080]  因為你知道是跟誰學的
[00:02:25.080 --> 00:02:28.800]  並且知道你是從小明白聖經
[00:02:28.800 --> 00:02:32.480]  這聖經能使你因信基督耶穌
[00:02:32.480 --> 00:02:35.200]  有得救的智慧
