
[00:00:00.000 --> 00:00:04.800]  在公元前九世紀
[00:00:04.800 --> 00:00:12.920]  神的選民以色列人的國家
[00:00:12.920 --> 00:00:21.440]  經過了大衛王和所羅門王多年的統治之後
[00:00:21.440 --> 00:00:25.240]  分裂成為兩個國家
[00:00:25.240 --> 00:00:30.400]  北國叫以色列國
[00:00:30.400 --> 00:00:35.040]  南國叫猶大國
[00:00:35.040 --> 00:00:42.880]  到了公元前八百六十年左右
[00:00:42.880 --> 00:00:50.600]  當時北國以色列的皇帝叫阿哈
[00:00:50.600 --> 00:00:59.720]  他娶了一個西頓公主叫耶西比做妻子
[00:00:59.720 --> 00:01:10.440]  耶西比因為信奉偶像巴力和亞瑟拉
[00:01:10.440 --> 00:01:17.480]  令耶和華神非常憤怒
[00:01:17.480 --> 00:01:23.960]  神興起了一個先知叫做以利亞
[00:01:23.960 --> 00:01:28.040]  他奉神的名起誓
[00:01:28.040 --> 00:01:33.160]  如果我以利亞不祈禱
[00:01:33.160 --> 00:01:37.360]  未來幾年將不會下雨
[00:01:37.360 --> 00:01:45.720]  果然以色列發生了一場很大的旱災
[00:01:45.720 --> 00:01:49.000]  一年三年多都沒有雨
[00:01:49.000 --> 00:01:51.560]  一年三年多都沒有下雨
[00:01:51.560 --> 00:01:58.560]  直到當以利亞在一個加密山上
[00:01:58.560 --> 00:02:09.440]  他就公開和當時百多位敬拜偶像的先知去比拼
[00:02:09.440 --> 00:02:15.880]  他就公開和當時百多位敬拜偶像的先知去比拼
[00:02:15.880 --> 00:02:24.760]  大家要比的是誰能將祭壇上的祭物燒乾
[00:02:24.760 --> 00:02:26.360]  那個就是真神
[00:02:26.360 --> 00:02:30.200]  他們比拼的是誰能把祭壇上的祭物燒乾
[00:02:30.200 --> 00:02:31.640]  誰就是真神
[00:02:31.640 --> 00:02:35.160]  是完全焚燒
[00:02:35.160 --> 00:02:37.560]  最後神施行神蹟
[00:02:37.560 --> 00:02:39.880]  最後神施行神蹟
[00:02:39.880 --> 00:02:43.600]  耶和華在天上降下天火
[00:02:43.600 --> 00:02:46.600]  耶和華在天上降下天火
[00:02:46.600 --> 00:02:50.600]  燒去所有祭壇上的祭身
[00:02:50.600 --> 00:02:54.200]  燒毀了所有祭壇上的祭身
[00:02:54.200 --> 00:02:56.640]  證明耶和華就是真神
[00:02:56.640 --> 00:02:59.800]  證明了耶和華就是真神
[00:02:59.800 --> 00:03:02.520]  在殺死了這幾百位先知之後
[00:03:02.520 --> 00:03:06.360]  在殺死了這幾百位先知之後
[00:03:06.360 --> 00:03:11.080]  這三年半的大旱就結束了
[00:03:11.080 --> 00:03:14.280]  這三年半的大旱就結束了
[00:03:14.280 --> 00:03:17.200]  天降大雨
[00:03:17.200 --> 00:03:20.240]  伊利亞就變成了一個得勝者
[00:03:20.240 --> 00:03:22.560]  伊利亞就變成了一個得勝者
[00:03:22.560 --> 00:03:26.240]  但是在今天我們聖經的記載裡面
[00:03:26.240 --> 00:03:28.720]  但是在今天我們聖經的記載裡面
[00:03:28.720 --> 00:03:33.280]  我們看到這個得勝者轉眼間成為了一個失敗者
[00:03:33.280 --> 00:03:37.400]  我們看到這個得勝者轉眼間成為了一個失敗者
[00:03:37.400 --> 00:03:39.080]  為什麼呢?
