
[00:00:00.000 --> 00:00:02.300]  (主席)我們一同低頭禱告
[00:00:02.300 --> 00:00:06.300]  天父感謝祢讓我們有生命氣息
[00:00:06.300 --> 00:00:08.300]  讓我們在還活的時候
[00:00:08.300 --> 00:00:11.300]  可以到祢面前來歌頌讚美
[00:00:11.300 --> 00:00:14.300]  主也求祢讓我們的心思意念
[00:00:14.300 --> 00:00:16.300]  讓我們的口中言語
[00:00:16.300 --> 00:00:18.300]  都能夠在祢面前蒙原諒
[00:00:18.300 --> 00:00:20.300]  隨地我們的禱告
[00:00:20.300 --> 00:00:22.300]  恩待每一個親近祢的人
[00:00:22.300 --> 00:00:25.300]  主也祢的恩典福氣臨到他們
[00:00:25.300 --> 00:00:28.300]  每一個等候祢的人都能夠重新得力
[00:00:28.300 --> 00:00:30.300]  我們這樣的祈禱
[00:00:30.300 --> 00:00:32.300]  奉靠耶穌明智祈求
[00:00:58.300 --> 00:01:00.300]  得過且過
[00:01:00.300 --> 00:01:02.300]  在地域上的推瓦推拉
[00:01:02.300 --> 00:01:04.300]  其實大家看這兩幅圖
[00:01:04.300 --> 00:01:06.300]  我想上次都看過了
[00:01:06.300 --> 00:01:08.300]  這個是在歐洲地中海
[00:01:08.300 --> 00:01:10.300]  一隻靴子那裡是意大利
[00:01:10.300 --> 00:01:11.300]  過來是希臘
[00:01:11.300 --> 00:01:14.300]  再過去大家的右手邊
[00:01:14.300 --> 00:01:16.300]  就是土耳其
[00:01:16.300 --> 00:01:18.300]  土耳其那裡有七個教會
[00:01:18.300 --> 00:01:20.300]  地方教會
[00:01:20.300 --> 00:01:22.300]  下一張是
[00:01:22.300 --> 00:01:24.300]  大家看到這裡
[00:01:24.300 --> 00:01:28.300]  基督所、士滿拿、別加摩、推瓦推拉在這裡
[00:01:28.300 --> 00:01:30.300]  上次說到三個城市的時候
[00:01:30.300 --> 00:01:32.300]  都有些突出的
[00:01:32.300 --> 00:01:36.300]  有些軍事基地
[00:01:36.300 --> 00:01:38.300]  有些重要的海港城
[00:01:38.300 --> 00:01:40.300]  這個推瓦推拉
[00:01:40.300 --> 00:01:42.300]  其實在地域上沒有什麼特別
[00:01:42.300 --> 00:01:46.300]  只不過是一個很繁榮的商業城市
[00:01:46.300 --> 00:01:48.300]  有很多行業在那裡
[00:01:48.300 --> 00:01:50.300]  這個繁榮的商業城市
[00:01:50.300 --> 00:01:54.300]  其實有當地的商業活動
[00:01:54.300 --> 00:01:56.300]  有些工業製成品等等
[00:01:56.300 --> 00:02:01.300]  這個城市在這個地方
[00:02:01.300 --> 00:02:03.300]  之所以能夠存在
