
[00:00:00.000 --> 00:00:04.560]  在剛過去的星期四,即是9月3日
[00:00:04.560 --> 00:00:11.400]  就是我們中國慶祝抗日戰爭勝利70週年的紀念日
[00:00:11.400 --> 00:00:17.880]  是全香港的學生和打工仔都可以額外多一天假期
[00:00:17.880 --> 00:00:22.120]  在這一天我們除了放假之外
[00:00:22.120 --> 00:00:25.400]  在北京還有隆重的閱兵儀式
[00:00:25.400 --> 00:00:33.200]  這次也是中國首次在國慶日以外的時間進行閱兵
[00:00:33.200 --> 00:00:40.320]  也是第一次閱兵慶祝抗戰勝利
[00:00:40.320 --> 00:00:46.920]  抗日戰爭其實已經是70年前的事
[00:00:46.920 --> 00:00:52.160]  不過雖然是這樣,但因為這場戰爭造成大量的人命傷亡
[00:00:52.160 --> 00:01:01.520]  帶來的傷痛即使是70年也無法完全磨滅
[00:01:01.520 --> 00:01:05.920]  據資料顯示,在這8年的抗戰之中
[00:01:05.920 --> 00:01:14.040]  所造成的中國人命傷亡總數是超過3500萬
[00:01:14.040 --> 00:01:20.280]  而造成的直接的經濟損失也是超過1000億美元
[00:01:20.280 --> 00:01:26.120]  有人認為在這個紀念抗戰勝利的日子
[00:01:26.120 --> 00:01:29.320]  是很應該放下所有的武器
[00:01:29.320 --> 00:01:34.760]  來好好反省一下戰爭的殘酷
[00:01:34.760 --> 00:01:39.800]  和來宣揚和平的訊息
[00:01:39.800 --> 00:01:44.680]  也有人認為我們的國家終於站起來了
[00:01:44.680 --> 00:01:50.960]  我們作為人民也應該和我們的國家同榮共尊
[00:01:50.960 --> 00:01:56.200]  一起來向世界展示我們的軍事力量
[00:01:56.200 --> 00:02:02.280]  也值此向那些別有用心的國家提醒他們不要輕舉妄動
[00:02:02.280 --> 00:02:10.680]  如果你是被選中去出席參觀這次閱兵儀式的
[00:02:10.680 --> 00:02:14.000]  你會不會應邀出席呢?
[00:02:14.000 --> 00:02:23.120]  如果你去,你會以什麼樣的態度和心態去參觀這次閱兵呢?
[00:02:23.120 --> 00:02:26.440]  處身在現在這個越來越複雜的社會
[00:02:26.440 --> 00:02:30.400]  我們作為基督徒,我們的一言一行
[00:02:30.400 --> 00:02:34.840]  很多時候都會受到社會上很多的言論來左右
[00:02:34.840 --> 00:02:38.840]  人人都說得好像是頭頭是道,說得好像很對
[00:02:38.840 --> 00:02:42.400]  到底哪些才是合乎真理的,我們才要去聽
[00:02:42.400 --> 00:02:47.240]  到底我們應該怎樣在這個社會上面去面對各樣的挑戰
[00:02:47.240 --> 00:02:53.360]  以至我們真的能夠打贏這場得勝的仗呢?
[00:02:53.360 --> 00:02:57.640]  今天我就很想藉著提摩太前書的第一章
[00:02:57.640 --> 00:03:03.600]  來和大家一起去看看保羅的祝福對我們有什麼樣的提醒
[00:03:03.600 --> 00:03:07.400]  由這個星期開始,我們本堂的教務同工
[00:03:07.400 --> 00:03:13.120]  就會一直講解提摩太前書、後書和提多書
[00:03:13.120 --> 00:03:17.480]  這幾卷書一般稱為教務書信
[00:03:17.480 --> 00:03:23.000]  原因就是在聖經裏面其實有十幾卷的書信
[00:03:23.000 --> 00:03:28.520]  但大部份寫信的對象都是寫給那些教會的
[00:03:28.520 --> 00:03:32.120]  唯獨這幾封書信的對象是個人
[00:03:32.120 --> 00:03:34.280]  他們就是提摩太和提多
[00:03:34.280 --> 00:03:39.240]  他們都是在教會裏面負責牧羊工作的人
[00:03:39.240 --> 00:03:44.080]  而這幾卷書信裏面其實也講了很多
[00:03:44.080 --> 00:03:51.160]  是有關怎樣去管治教會的一些方法
[00:03:51.160 --> 00:03:55.360]  所以這三封書信就被稱為教務書信
[00:03:55.360 --> 00:04:02.200]  傳統一般都認為這三封書信就好像教務手冊一樣
[00:04:02.200 --> 00:04:07.960]  去教導年青的提摩太和提多怎樣來治理教會
[00:04:07.960 --> 00:04:11.800]  但其實近代有一些不同的看法
[00:04:11.800 --> 00:04:14.280]  也是值得我們參考的
[00:04:14.280 --> 00:04:17.840]  他們的觀點就認為提摩太和提多
[00:04:17.840 --> 00:04:28.440]  其實都是長期來和保羅一起去不同的地方宣教和建立教會
[00:04:28.440 --> 00:04:32.360]  他們這麼長期和保羅一起去同宮的時候
[00:04:32.360 --> 00:04:36.800]  他們很應該清楚保羅是怎樣治理教會的
[00:04:36.800 --> 00:04:41.240]  而保羅也不會派他的同宮空窗上陣
[00:04:41.240 --> 00:04:44.520]  不懂的就去管理教會
[00:04:44.520 --> 00:04:51.440]  還要保羅隔空寫信去教導他們怎樣來治理教會
[00:04:51.440 --> 00:04:53.960]  他們覺得這個不是很合理
[00:04:53.960 --> 00:04:57.640]  還有一件事就是這三封書信的結尾
[00:04:57.640 --> 00:05:00.200]  有一個共同點就是
[00:05:00.200 --> 00:05:06.080]  他們在結尾的問安上寫著那個對象是你們的
[00:05:06.080 --> 00:05:09.360]  如果這封信寫的對象是一個人的話
[00:05:09.360 --> 00:05:12.400]  就不會寫你們這個眾數
[00:05:12.400 --> 00:05:15.400]  所以根據這些理由
[00:05:15.400 --> 00:05:18.680]  我們有理由相信這幾本書
[00:05:18.680 --> 00:05:23.760]  其實對象不單單是提摩太和提多這些個人
[00:05:23.760 --> 00:05:28.200]  也是寫給當時的教會的
[00:05:28.200 --> 00:05:33.680]  而提摩太前書就是寫給當時的耳筆所教會
[00:05:33.680 --> 00:05:36.640]  我們可以說保羅的用意就是
[00:05:36.640 --> 00:05:39.000]  「寒裝暮見,志在沛公」
[00:05:39.000 --> 00:05:40.240]  不單止是寫給提摩太
[00:05:40.240 --> 00:05:42.920]  這封信也可以在教會裡面傳閱
[00:05:42.920 --> 00:05:45.160]  或者甚至是宣讀
[00:05:45.160 --> 00:05:49.480]  其實對象就是希望信徒看到
[00:05:49.480 --> 00:05:54.160]  知道自己所行的和保羅的教導有不符
[00:05:54.160 --> 00:05:57.600]  於是就悔改 跪靜
[00:05:57.600 --> 00:06:01.360]  這是保羅的用意
[00:06:01.360 --> 00:06:04.560]  而另一個用意就是
[00:06:04.560 --> 00:06:06.800]  他希望藉著這封信
[00:06:06.800 --> 00:06:10.480]  就好像一封授權書那樣
[00:06:10.480 --> 00:06:13.840]  賦予他的同工有權柄
[00:06:13.840 --> 00:06:19.240]  來按照保羅的意思來執行他的教導
[00:06:19.240 --> 00:06:21.600]  他給同工藉著這封信
[00:06:21.600 --> 00:06:25.560]  有權柄來教導教會
[00:06:25.560 --> 00:06:27.880]  去落實他的教導
[00:06:27.880 --> 00:06:32.560]  剛才主席和我們讀的提摩太前書第一章
[00:06:32.560 --> 00:06:35.600]  這段經文可以說是
[00:06:35.600 --> 00:06:38.320]  全卷提摩太前書的一個引言
[00:06:38.320 --> 00:06:42.520]  而第一、二節也可以說是引言中的引言
[00:06:42.520 --> 00:06:46.920]  而這兩節的聖經是按照著一般書信的格式
[00:06:46.920 --> 00:06:49.960]  介紹寫信人、修信人
[00:06:49.960 --> 00:06:52.960]  也有文案語
[00:06:52.960 --> 00:06:55.040]  我們一起來讀這兩節經文
[00:06:55.040 --> 00:06:57.160]  「奉我們救主神
