
[00:00:00.000 --> 00:00:05.280]  今天又再次跟大家一起分享一些關於聖經裏面的故事
[00:00:05.280 --> 00:00:07.880]  以及上帝給我們的訊息
[00:00:07.880 --> 00:00:10.380]  12月當年是聖誕節
[00:00:10.380 --> 00:00:15.120]  我們都看到大堆的佈置在我們這裏
[00:00:15.120 --> 00:00:22.000]  但是12月其實更加重要是一個在教會的傳統裏面
[00:00:22.000 --> 00:00:24.400]  一個叫做「張臨期」
[00:00:24.400 --> 00:00:25.800]  Edwin的日子
[00:00:25.800 --> 00:00:27.300]  我不知道你聽到Edwin這個字
[00:00:27.300 --> 00:00:30.000]  你們會想到些什麼
[00:00:30.000 --> 00:00:31.800]  其實我都是在這幾年
[00:00:31.800 --> 00:00:38.200]  我都是先知原來現在Edwin想到的東西是這樣的
[00:00:38.200 --> 00:00:41.000]  有問家裏有這件事嗎 現在有
[00:00:41.000 --> 00:00:42.800]  我見人家家裏有問家裏有這件事
[00:00:42.800 --> 00:00:46.100]  知不知這是什麼來的
[00:00:46.100 --> 00:00:47.000]  是那些朱古力
[00:00:47.000 --> 00:00:49.700]  即是你知就應該 即是我不知道是不是吃過
[00:00:49.700 --> 00:00:52.100]  即是我都是幾年前才知的
[00:00:52.100 --> 00:00:58.200]  原來現在其實香港走的超級市場都有很多
[00:00:58.200 --> 00:01:01.000]  即是一講到Edwin 他整個counter是Edwin
[00:01:01.000 --> 00:01:03.400]  不過就不會有耶穌的像
[00:01:03.400 --> 00:01:04.200]  當然沒有
[00:01:04.200 --> 00:01:06.700]  他那個Edwin就是這些賣朱古力的
[00:01:06.700 --> 00:01:10.500]  即是誰吃過這些朱古力的 又吃過
[00:01:10.500 --> 00:01:12.600]  都幾多
[00:01:12.600 --> 00:01:16.100]  即是你吃過應該知點吃法的
[00:01:16.100 --> 00:01:19.300]  有問一次過吃光的 有問一次過走去
[00:01:19.300 --> 00:01:21.400]  有啊 後面有啊 真的一次過吃光
[00:01:21.400 --> 00:01:22.600]  我都估到那些
[00:01:22.600 --> 00:01:27.400]  我估他的意思是等人家逐次吃 逐日去數的
[00:01:27.400 --> 00:01:29.400]  不過我都估多數我們有些人的習慣
[00:01:29.400 --> 00:01:32.400]  肯定吃光它 即是朱古力
[00:01:32.400 --> 00:01:34.200]  所以我不知道你吃完之後
[00:01:34.200 --> 00:01:37.600]  你的盒子拿來做什麼 我不知道
[00:01:37.600 --> 00:01:42.200]  即是特別我上個禮拜跟人家逛街的時候
[00:01:42.200 --> 00:01:44.600]  見到街上已經設定好那些counter
[00:01:44.600 --> 00:01:46.200]  即是如果你去超級市場
[00:01:46.200 --> 00:01:47.400]  賣很多這些的
[00:01:47.400 --> 00:01:50.000]  原來有很多花款的日子才發現
[00:01:50.000 --> 00:01:51.900]  不過我就不太吃朱古力的
[00:01:51.900 --> 00:01:53.500]  即是我喜歡吃 但又不會這樣買
[00:01:53.500 --> 00:01:56.300]  所以我就沒有買到
[00:01:56.300 --> 00:01:59.400]  Edwin可能在今天我們的環境裏面
[00:01:59.400 --> 00:02:03.300]  其實變了一個這樣的模式
[00:02:03.300 --> 00:02:05.300]  當年吃朱古力是開心的
[00:02:05.300 --> 00:02:06.500]  即是我不是叫大家不要買
[00:02:06.500 --> 00:02:07.300]  我不是這個意思
[00:02:07.300 --> 00:02:09.000]  即是 同時都幾靚
[00:02:09.000 --> 00:02:10.200]  我發現有很多真是幾
[00:02:10.200 --> 00:02:12.400]  即是做裝飾都幾靚
[00:02:12.400 --> 00:02:15.000]  我想吃朱古力
[00:02:15.000 --> 00:02:17.700]  即是我不討論那些一次過吃光那些
[00:02:17.700 --> 00:02:19.000]  可能你每日這樣吃
[00:02:19.000 --> 00:02:20.200]  其實都是一種
[00:02:20.200 --> 00:02:21.200]  你會覺得好期待
[00:02:21.200 --> 00:02:22.000]  即是好開心
[00:02:22.000 --> 00:02:23.500]  即是每日都有朱古力吃
[00:02:23.500 --> 00:02:24.700]  即是吃到聖誕節
[00:02:24.700 --> 00:02:28.400]  不知道聖誕節之後有沒有機會吃
[00:02:28.400 --> 00:02:31.300]  是的 聖誕節前這樣吃
[00:02:31.300 --> 00:02:33.900]  喜樂是一個的感受
[00:02:33.900 --> 00:02:35.500]  或者一個情緒是正常的
[00:02:35.500 --> 00:02:37.300]  即是我們對耶穌的降生
[00:02:37.300 --> 00:02:40.900]  即是當年我們會跟朱古力去到掛
[00:02:40.900 --> 00:02:42.200]  但是在聖經裏面
