
[00:00:00.000 --> 00:00:03.820]  我們2014年新的主題在這裡唸出來
[00:00:03.820 --> 00:00:08.020]  我們一起去很大聲地讀出來,好嗎?
[00:00:08.020 --> 00:00:12.720]  「剛強壯膽守主導,擴張警戒遣帶」
[00:00:12.720 --> 00:00:14.700]  我們在第一季的一至三月份
[00:00:14.700 --> 00:00:19.060]  我們會用《藥書下記》去講解「剛強壯膽」的問題
[00:00:19.060 --> 00:00:21.560]  「剛強壯膽」兩個字加在一起
[00:00:21.560 --> 00:00:23.500]  在舊約裏面是一個命令式來的
[00:00:23.500 --> 00:00:29.460]  這個命令式是對將軍或者對將領的一個很重要的宣言
[00:00:29.460 --> 00:00:31.820]  這個宣言就是要讓他能夠「剛強壯膽」
[00:00:31.820 --> 00:00:35.960]  帶領整個百姓去打一場很激烈的戰爭
[00:00:35.960 --> 00:00:42.100]  我們要回想在創世紀初一紀利美紀民數紀生命紀講了什麼
[00:00:42.100 --> 00:00:44.460]  摩西帶領以色列出了埃及之後
[00:00:44.460 --> 00:00:46.400]  是原本要進入迦南地
[00:00:46.400 --> 00:00:51.600]  但是很可惜他拆敗了12個探子進入到迦南地裏面
[00:00:51.600 --> 00:00:54.520]  有10個是反對攻打的
[00:00:54.520 --> 00:00:57.860]  剩下兩個,這兩個人就是後來能夠再進入迦南地的
[00:00:57.860 --> 00:01:02.760]  包括了迦納和我們今天所說的約書亞記的作者約書亞本身
[00:01:02.760 --> 00:01:08.420]  我們看到第一代的以色列民是38年在曠野裏面
[00:01:08.420 --> 00:01:09.600]  他們是怎樣度過的呢
[00:01:09.600 --> 00:01:14.360]  第一包括了他們每一天不需要說中午吃什麼
[00:01:14.360 --> 00:01:16.100]  晚上吃什麼,明天吃什麼
[00:01:16.100 --> 00:01:21.000]  因為中午吃的是麻辣,晚上吃的是麻辣,明天都是吃麻辣
[00:01:21.000 --> 00:01:24.800]  只可以傾談的就是究竟是炆、燉、煎還是焗
[00:01:24.800 --> 00:01:29.300]  即是烹調方法,那個素材只是麻辣,沒有其他的
[00:01:29.300 --> 00:01:32.960]  我們看到上帝很大的恩典給他們在寧盤石的
[00:01:32.960 --> 00:01:37.060]  隨著他們的水源是很充足的,他們不需要去找水
[00:01:37.060 --> 00:01:40.700]  我們看到雲柱、火柱和他們同在
[00:01:40.700 --> 00:01:44.320]  為什麼呢?因為在以色列幾個沙漠地裏面,日間是很曬的
[00:01:44.320 --> 00:01:47.020]  他們在曝曬的情況下很容易有事
[00:01:47.020 --> 00:01:49.360]  所以有雲柱擋住這個太陽
[00:01:49.360 --> 00:01:52.740]  也有火柱在晚上出現,因為在以色列地
[00:01:52.740 --> 00:01:57.840]  如果去過以色列的地點就會知道太陽一落山是雙七十至二十度,很恐怖
[00:01:57.840 --> 00:02:00.560]  這個火柱成為一個天然的暖爐
[00:02:00.560 --> 00:02:03.600]  你看看上帝愛這一班子民是無微不至
[00:02:03.600 --> 00:02:06.880]  縱使這班人是背逆的
[00:02:06.880 --> 00:02:10.820]  我們看到這三十八年裏面這一班人,他們沒有人有病
[00:02:10.820 --> 00:02:15.000]  最奇妙的,他說連鞋都沒有破,不知道哪間廠做的,這麼厲害
[00:02:15.000 --> 00:02:16.640]  三十八年都沒有破過
[00:02:16.640 --> 00:02:21.880]  我們看到在三十八年之後,杜約書亞出現的時候
[00:02:21.880 --> 00:02:23.660]  我們看到最大的問題在哪裏呢?
[00:02:23.660 --> 00:02:26.560]  第一代已經死了,他們沒有信心再去迦南地
[00:02:26.560 --> 00:02:30.120]  約書亞要帶領一個新生代進入迦南地,所以需要生命計
[00:02:30.120 --> 00:02:36.500]  生命計就是摩西同一班新生代要宣講上帝的歷史,上帝的作為
