
[00:00:00.000 --> 00:00:04.000]  本聖前輩讓我們預備我們心思意念去聆聽主的說話
[00:00:04.000 --> 00:00:07.240]  讓我們一起再次低頭同心的禱告
[00:00:07.240 --> 00:00:14.160]  父神多謝你給了我們再次回到你寶貴說話的根前
[00:00:14.160 --> 00:00:16.400]  在你的啟示當中去認識
[00:00:16.400 --> 00:00:19.720]  怎樣作一個合神心意的基督徒的生命
[00:00:19.720 --> 00:00:22.400]  我們為此再次獻上禱告
[00:00:22.400 --> 00:00:24.880]  特別當我們打開你的啟示的時候
[00:00:24.880 --> 00:00:32.840]  求聖靈幫助我們準確去拿捏上主你當中的教訓
[00:00:32.840 --> 00:00:37.520]  也都讓我們當認識主你的真道的時候
[00:00:37.520 --> 00:00:42.720]  能夠在平日的生活上面辨別諸靈
[00:00:42.720 --> 00:00:47.360]  有很多的誤導錯誤的訊息
[00:00:47.360 --> 00:00:50.760]  影響到我們在屬靈生命上面成長的事
[00:00:50.760 --> 00:00:54.120]  都求主你積著我們對你的認知
[00:00:54.120 --> 00:00:59.360]  而且更加能夠準確透析到當中他們的錯誤
[00:00:59.360 --> 00:01:05.600]  也都從而讓我們看到我們在信的上面種種的挑戰
[00:01:05.600 --> 00:01:14.840]  好使我們鍛煉出一個能夠常常明白主你的真道的觸覺
[00:01:14.840 --> 00:01:16.960]  在每一天的生命生活上面
[00:01:16.960 --> 00:01:20.920]  能夠活出一個有智慧的屬靈人的樣式
[00:01:20.920 --> 00:01:25.360]  禱告奉靠主耶穌基督得聖的名字以求
[00:01:25.360 --> 00:01:26.920]  阿們
[00:01:26.920 --> 00:01:31.840]  在開始今天的講座的時候
[00:01:31.840 --> 00:01:34.720]  我先問大家一條問題
[00:01:34.720 --> 00:01:41.600]  大家還有多少的時候是在你吃飯之前
[00:01:41.600 --> 00:01:46.880]  有這個謝飯禱告呢
[00:01:46.880 --> 00:01:51.680]  還有多少個啊
[00:01:51.680 --> 00:01:55.360]  會不會你在公眾的地方的時候
[00:01:55.360 --> 00:01:57.000]  你就說不要了
[00:01:57.000 --> 00:01:59.560]  在公眾地方只有我一個人
[00:01:59.560 --> 00:02:01.400]  又沒有人看見
[00:02:01.400 --> 00:02:03.320]  牧師又不在場
[00:02:03.320 --> 00:02:07.480]  所以我就不祈禱了
[00:02:07.480 --> 00:02:10.360]  或者會不會是說當你出街的時候
[00:02:10.360 --> 00:02:16.640]  和一班未信的朋友或者家人聚餐的時候
[00:02:16.640 --> 00:02:20.240]  如果我說臨聚餐之前要祈禱的話
[00:02:20.240 --> 00:02:25.360]  會不會不太好意思呢
[00:02:25.360 --> 00:02:29.120]  或者甚至可能當你在公司的時候
[00:02:29.120 --> 00:02:33.040]  吃中午飯pack了個lunch box
[00:02:33.040 --> 00:02:36.280]  又沒有同事在身邊
[00:02:36.280 --> 00:02:40.160]  那我祈禱也都沒有人知道而已
[00:02:40.160 --> 00:02:45.160]  那就沒有人知道就得過且過囉
[00:02:45.160 --> 00:02:50.280]  在這種情況種種的情形
[00:02:50.280 --> 00:02:56.400]  都很多基督徒在今天吃飯之前都沒有禱告
[00:02:56.400 --> 00:03:02.040]  問題是是不是吃飯一定要禱告呢
[00:03:02.040 --> 00:03:05.680]  為什麼你吃飯之前會謝飯呢
[00:03:05.680 --> 00:03:08.760]  我用英文講比較好一點
[00:03:08.760 --> 00:03:14.000]  英文叫做say grace
[00:03:14.000 --> 00:03:18.040]  你是帶著感恩的心來去領受
[00:03:18.040 --> 00:03:20.920]  其實這種心智
[00:03:20.920 --> 00:03:25.480]  不只是在宗教的層面上才有
[00:03:25.480 --> 00:03:29.880]  如果大家喜歡看日劇的話
[00:03:29.880 --> 00:03:33.400]  你們都有一句經常見到日本人去吃飯
[00:03:33.400 --> 00:03:35.440]  就算在公眾地方
[00:03:35.440 --> 00:03:37.720]  他都仍然講那句
[00:03:37.720 --> 00:03:40.720]  就是叫做Itadakimasu
[00:03:40.720 --> 00:03:44.520]  或者我的日文不是很好
[00:03:44.520 --> 00:03:49.880]  很多香港人去到日本旅行
[00:03:49.880 --> 00:03:51.880]  或者去到日本餐廳吃東西
[00:03:51.880 --> 00:03:54.480]  都一樣照這個傳統去做的
[00:03:54.480 --> 00:03:57.880]  從來不覺得有尷尬的
[00:03:57.880 --> 00:04:01.600]  不過為什麼基督徒就覺得
[00:04:01.600 --> 00:04:06.760]  吃飯祈禱是一種很尷尬的事情呢
