
[00:00:00.000 --> 00:00:03.000]  (主席)好,在我領袖神的話語之先,我們再一次低頭,我們禱告
[00:00:03.000 --> 00:00:06.500]  (主席)父親求祢自己妻子用孩子,叫我所講的信息
[00:00:06.500 --> 00:00:09.000]  (主席)不單成為弟兄姊妹的幫助
[00:00:09.000 --> 00:00:11.000]  (主席)更加成為孩子的幫助
[00:00:11.000 --> 00:00:13.500]  (主席)神求祢有公報孩子所講的道
[00:00:13.500 --> 00:00:17.000]  (主席)也願意祢的能力,在我的軟弱上彌大顯得完全
[00:00:17.000 --> 00:00:20.000]  (主席)打領二十的時間,祈禱拉奉主德聖的名
[00:00:20.000 --> 00:00:21.000]  (主席)Amen
[00:00:21.000 --> 00:00:24.000]  (主席)我們一直有聽彼得的教導的時候
[00:00:24.000 --> 00:00:27.000]  (主席)我們知道上一次我們看到彼得提醒我們
[00:00:27.000 --> 00:00:30.500]  (主席)當我們信主的時候,我們絕對不會事事亨通的
[00:00:30.500 --> 00:00:33.500]  (主席)相反地,因為我們要堅守我們的信仰
[00:00:33.500 --> 00:00:37.000]  (主席)所以很多時候我們會遇到很多的衝擊,有很多的困難
[00:00:37.000 --> 00:00:39.500]  (主席)但是彼得提醒我們
[00:00:39.500 --> 00:00:43.000]  (主席)耶穌基督成為我們一個很好的榜樣
[00:00:43.000 --> 00:00:47.000]  (主席)祂為了我們的緣故而受苦受死
[00:00:47.000 --> 00:00:51.500]  (主席)而祂受苦的果效,是帶給我們得到救贖
[00:00:51.500 --> 00:00:54.500]  (主席)因為祂十字架上面所受的痛苦
[00:00:54.500 --> 00:00:59.000]  (主席)代替了我們面對這個罪的刑罰
[00:00:59.000 --> 00:01:02.000]  (主席)所以我們因信而得救
[00:01:02.000 --> 00:01:05.000]  (主席)大家可以聽回上一次所說的
[00:01:05.000 --> 00:01:07.000]  (主席)彼得去有養學養
[00:01:07.000 --> 00:01:09.500]  (主席)今天彼得繼續地提醒我們
[00:01:09.500 --> 00:01:13.500]  (主席)我們需要有一個具備受苦的心智
[00:01:13.500 --> 00:01:16.500]  (主席)這樣我們才能夠抗拒罪惡的誘惑
[00:01:16.500 --> 00:01:18.500]  (主席)這個受苦的心智是怎樣呢?
[00:01:18.500 --> 00:01:22.500]  (主席)我們一起彼得去先讀彼得前書第四章
[00:01:22.500 --> 00:01:26.500]  (主席)第一、第二兩節,我們一起來讀出
[00:01:26.500 --> 00:01:34.500]  (記者)基督既在肉身受苦,你們也當將這樣的心智作為兵器
