
[00:00:00.000 --> 00:00:02.160]  我們的那種友情直接的關係
[00:00:02.160 --> 00:00:04.840]  我們也不渴望天長地久
[00:00:04.840 --> 00:00:08.560]  在這個時代裡面很少再出現
[00:00:08.560 --> 00:00:15.800]  像桃園三結義這樣的一個美好的一種友情
[00:00:15.800 --> 00:00:20.160]  或者說一種朋友直接感情的一種真實的體現
[00:00:20.160 --> 00:00:23.000]  你看過去很多的人都怎麼樣
[00:00:23.000 --> 00:00:25.680]  為了朋友兩肋插刀
[00:00:25.680 --> 00:00:31.440]  我們今天很多的人為了利益來插朋友兩刀
[00:00:31.440 --> 00:00:34.960]  這就說明了我們發現這個時代的人
[00:00:34.960 --> 00:00:40.080]  雖然天長地久這四個字他並不陌生
[00:00:40.080 --> 00:00:43.880]  但是這種真正的天長地久的實現
[00:00:43.880 --> 00:00:49.280]  這種天長地久的關係以及對天長地久的理解
[00:00:49.280 --> 00:00:54.280]  已經遠遠的遠離天長地久這四個字
[00:00:54.280 --> 00:00:57.360]  真正的所包含的涵義
[00:00:57.360 --> 00:00:59.400]  非常感謝神的是
[00:00:59.400 --> 00:01:02.480]  上帝賜給我們這一本寶貝的聖經
[00:01:02.480 --> 00:01:05.400]  在這一本寶貝的聖經裡面
[00:01:05.400 --> 00:01:12.000]  他告訴我們很多關於天長地久的那種關係的體現
[00:01:12.000 --> 00:01:15.120]  可以讓我們今天的人能透過聖經
[00:01:15.120 --> 00:01:19.040]  一起去反思和一起去思考
[00:01:19.040 --> 00:01:21.640]  特別我們看到在《路德記》中
[00:01:21.640 --> 00:01:25.720]  他記載了一個非常溫馨感人的故事
[00:01:25.720 --> 00:01:29.560]  這裡我們可以看到記載的是主要是三個人
[00:01:29.560 --> 00:01:35.200]  是路德、波阿斯和拿爾彌的一些故事的情節
[00:01:35.200 --> 00:01:39.920]  雖然我們從路德記第一章一直到最後一章
[00:01:39.920 --> 00:01:43.920]  你沒有發現什麼驚心動魄
[00:01:43.920 --> 00:01:48.520]  或者說蕩氣迴腸的一些高潮
[00:01:48.520 --> 00:01:51.320]  但是我們從整本聖經裡面
[00:01:51.320 --> 00:01:55.920]  我們卻可以看到很純樸的那種情感
[00:01:55.920 --> 00:01:59.120]  很純樸的那種關係
[00:01:59.120 --> 00:02:01.880]  那種很真摯的情感
[00:02:01.880 --> 00:02:04.880]  就是表現在我們的面前
[00:02:04.880 --> 00:02:07.880]  並且從《路德記》中
[00:02:07.880 --> 00:02:12.800]  他描繪出很多的是信仰的執著
[00:02:12.800 --> 00:02:15.000]  以及一些倫理的定位
[00:02:15.000 --> 00:02:19.520]  往往多於那種浪漫的情懷
[00:02:19.520 --> 00:02:22.520]  那麼為什麼說《路德記》中
[00:02:22.520 --> 00:02:27.960]  他有很多信仰的執著以及倫理的定位
[00:02:27.960 --> 00:02:31.240]  他多於浪漫的情節呢
[00:02:31.240 --> 00:02:33.080]  因為往往你知道
[00:02:33.080 --> 00:02:36.280]  《路德記》發生在一個什麼時代
[00:02:36.280 --> 00:02:38.920]  《路德記》剛剛是發生在
[00:02:38.920 --> 00:02:44.840]  四十世代那一段以色列歷史上面最黑暗的時期
[00:02:44.840 --> 00:02:46.920]  《四十記》裡面怎麼記載
[00:02:46.920 --> 00:02:49.920]  《四十記》裡面記載的那些人怎麼樣
[00:02:49.920 --> 00:02:52.920]  道德敗壞 遠離上帝
[00:02:52.920 --> 00:02:56.920]  在那個黑暗的時代裡面
[00:02:56.920 --> 00:03:00.920]  突然讓我們看到了一束亮光
[00:03:00.920 --> 00:03:02.920]  就是《路德記》
[00:03:02.920 --> 00:03:05.920]  所以《路德記》裡面讓我們可以看到
[00:03:05.920 --> 00:03:08.920]  以色列經歷了那一段黑暗的時期之後
[00:03:08.920 --> 00:03:12.920]  他重新回歸到上帝的面前
[00:03:12.920 --> 00:03:14.920]  對這個信仰的執著
[00:03:14.920 --> 00:03:23.920]  才能體現出他們彼此之間那種關係的天長地久
[00:03:23.920 --> 00:03:26.920]  不僅僅他們都把目光轉向上帝
[00:03:26.920 --> 00:03:30.920]  並且他們各自在每一個人的身上
[00:03:30.920 --> 00:03:33.920]  都對自己該做什麼
[00:03:33.920 --> 00:03:37.920]  我們彼此之間該盡一些什麼樣的義務
[00:03:37.920 --> 00:03:39.920]  我們該做一些什麼樣的事情
[00:03:39.920 --> 00:03:45.920]  他對自己都有一個非常重要的人理上的定位
[00:03:45.920 --> 00:03:48.920]  各位 這難道不是我們今天
[00:03:48.920 --> 00:03:52.920]  這一個失序和敗壞的時代
[00:03:52.920 --> 00:03:58.920]  需要學習的榜樣和深深反省的嗎
[00:03:58.920 --> 00:04:01.920]  你看我們這個時代
[00:04:01.920 --> 00:04:05.920]  很多的時候
[00:04:05.920 --> 00:04:09.920]  我們慢慢的在遠離上帝
[00:04:09.920 --> 00:04:11.920]  在這個時代的裡面
[00:04:11.920 --> 00:04:14.920]  很多的時候我們並不知道
[00:04:14.920 --> 00:04:16.920]  我該做什麼
[00:04:16.920 --> 00:04:19.920]  我彼此之間
[00:04:19.920 --> 00:04:22.920]  我該去承擔什麼樣的義務
