
[00:00:00.000 --> 00:00:01.820]  或者我們禱告預備
[00:00:01.820 --> 00:00:04.820]  準備聆聽上帝的說話
[00:00:04.820 --> 00:00:06.640]  愛我的主 求祢幫助我們
[00:00:06.640 --> 00:00:09.140]  明白祢從天上來的訊息
[00:00:09.140 --> 00:00:10.540]  祢是生命的糧
[00:00:10.540 --> 00:00:12.880]  我們是怎樣得到的永生
[00:00:12.880 --> 00:00:16.200]  是怎樣在今世今日可以去實現
[00:00:16.200 --> 00:00:18.620]  求主祢幫助我們 叫我們明白
[00:00:18.620 --> 00:00:19.540]  我們這樣禱告
[00:00:19.540 --> 00:00:21.120]  是奉主耶穌名字祈求
[00:00:21.120 --> 00:00:23.880]  阿們
[00:00:23.880 --> 00:00:28.280]  今日的經課是接續著上星期的經課
[00:00:28.280 --> 00:00:29.720]  福音書的經課
[00:00:29.720 --> 00:00:31.040]  最後一句
[00:00:31.040 --> 00:00:33.080]  我就是生命的糧
[00:00:33.080 --> 00:00:37.560]  六章三十五節
[00:00:37.560 --> 00:00:38.880]  接下來
[00:00:38.880 --> 00:00:41.000]  你會發覺
[00:00:41.000 --> 00:00:45.440]  猶太人對耶穌所說的話
[00:00:45.440 --> 00:00:48.120]  有一些議論
[00:00:48.120 --> 00:00:50.000]  其實約翰福音
[00:00:50.000 --> 00:00:54.240]  是一本很難讀得通的福音書
[00:00:54.240 --> 00:00:56.840]  約翰福音難讀得通
[00:00:56.840 --> 00:00:59.960]  主要原因是福音書每個段落
[00:00:59.960 --> 00:01:05.680]  經文都糾結著很多不同的主題
[00:01:05.680 --> 00:01:08.680]  好像一條很粗壯的鋼纜
[00:01:08.680 --> 00:01:10.880]  不知道大家見過沒有
[00:01:10.880 --> 00:01:16.880]  通常是由無數的鋼索纏繞來組成
[00:01:16.880 --> 00:01:20.120]  或者你看到一些人奔鞭
[00:01:20.120 --> 00:01:24.840]  就是將很多不同的主題糾纏在一起
[00:01:24.840 --> 00:01:28.480]  好像我們今日經課的福音書選段
[00:01:28.480 --> 00:01:30.720]  如果你仔細看內容
[00:01:30.720 --> 00:01:35.240]  你會發覺內容是非常非常豐富的
[00:01:35.240 --> 00:01:38.160]  而且每一個主題不是單一出現
[00:01:38.160 --> 00:01:41.440]  是貫穿整個的約翰福音
[00:01:41.440 --> 00:01:44.120]  如果要掌握約翰福音的神學信息
[00:01:44.120 --> 00:01:46.960]  其實不是一件容易的事
[00:01:46.960 --> 00:01:52.040]  譬如你看看我們今日福音書選段的主題
[00:01:52.040 --> 00:01:56.920]  裏面有耶穌「我就是」的宣稱
[00:01:56.920 --> 00:02:00.360]  主題包括生命的糧
[00:02:00.360 --> 00:02:02.840]  有些人會叫生命麵包
[00:02:02.840 --> 00:02:05.720]  因為原文是麵包
[00:02:05.720 --> 00:02:08.200]  裏面有講到不饑不餓
