
[00:00:00.000 --> 00:00:04.500]  祝願各位處內平安、身體健康、靈明長進
[00:00:04.500 --> 00:00:06.500]  好,我們一齊有個禱告
[00:00:06.500 --> 00:00:13.000]  親愛的主,我們感謝祢從歲首到年終
[00:00:13.000 --> 00:00:16.000]  給我們無間斷的引導、護佑
[00:00:16.000 --> 00:00:19.500]  我知道祢的恩典真的夠我們用
[00:00:19.500 --> 00:00:23.000]  雖然我們過去一年,我們面對很大的挑戰
[00:00:23.000 --> 00:00:27.500]  我們又不知道前頭有什麼事要我們去學習去面對
[00:00:27.500 --> 00:00:31.500]  我們深信上帝不會撇下我們,不理會,要我們同在
[00:00:31.500 --> 00:00:35.500]  求聖靈繼續去加能、賜力,要我們同在
[00:00:35.500 --> 00:00:39.500]  使用今天的這篇信息,以致無論講的、聽的
[00:00:39.500 --> 00:00:42.500]  一同去蒙福,聽我們的禱告
[00:00:42.500 --> 00:00:46.500]  奉教我救主,耶穌基督,寶貴聖名去求,阿門
[00:00:46.500 --> 00:00:51.500]  通常大拔歲首,常常會有一些立志
[00:00:51.500 --> 00:00:56.500]  記得去年你立志要做什麼嗎?
[00:00:57.500 --> 00:01:00.500]  會不會年年立志,年年如是?
[00:01:00.500 --> 00:01:05.500]  以我自己為例,我都不止一年立志要做運動
[00:01:05.500 --> 00:01:10.500]  通常都是這樣,不過我不是沒有做,是隨意的
[00:01:10.500 --> 00:01:16.500]  因為不想負代價,做運動固之然要負代價
[00:01:16.500 --> 00:01:20.500]  但如果你沒有做,其實都要負代價
[00:01:20.500 --> 00:01:24.500]  腰部就多了一個圈,遮一遮
[00:01:24.500 --> 00:01:26.500]  我對經濟學的認識很少
[00:01:26.500 --> 00:01:32.500]  讀書時為了滿足基本要求,讀了一點學分
[00:01:32.500 --> 00:01:38.500]  但仍然記得要學機會成本
[00:01:38.500 --> 00:01:44.500]  簡單來說,將人力物力用在某一件事
[00:01:44.500 --> 00:01:48.500]  例如看電影,放棄了其他機會
[00:01:48.500 --> 00:01:50.500]  例如看書、睡覺
[00:01:50.500 --> 00:01:55.500]  其他機會就是看電影的機會成本
[00:01:55.500 --> 00:02:01.500]  另一個說法是,為了看電影而犧牲了做其他事的代價
[00:02:01.500 --> 00:02:02.500]  不難明白吧?
[00:02:02.500 --> 00:02:06.500]  在信仰上,我們比較多說
[00:02:06.500 --> 00:02:11.500]  我好像很偉大,我為跟從主負上代價
[00:02:11.500 --> 00:02:15.500]  因為即使你覺得做這件事有點不容易
