
[00:00:00.000 --> 00:00:05.280]  今天我們要來向以利沙學習
[00:00:05.280 --> 00:00:07.960]  第一樣我想和大家分享
[00:00:07.960 --> 00:00:13.160]  我們要學習以利沙那份堅定的跟隨
[00:00:13.160 --> 00:00:16.680]  他堅定地跟隨他的師父以利亞
[00:00:16.680 --> 00:00:20.000]  更加堅定地跟隨神
[00:00:20.000 --> 00:00:22.200]  所以這個跟隨的焦點
[00:00:22.200 --> 00:00:25.400]  不只是在人以利亞身上
[00:00:25.400 --> 00:00:27.560]  而是更加在神的身上
[00:00:27.560 --> 00:00:29.560]  我們如何能夠看到這件事呢?
[00:00:29.560 --> 00:00:33.320]  當我們回看《鑷王紀相》第19章時
[00:00:33.320 --> 00:00:36.240]  其實之前鄭牧師也有和我們分享過
[00:00:36.240 --> 00:00:40.720]  當以利亞來遇見以利沙
[00:00:40.720 --> 00:00:45.840]  以利沙將他象徵着一個先知職份的外衣
[00:00:45.840 --> 00:00:49.120]  披在以利沙身上的時候
[00:00:49.120 --> 00:00:51.800]  以利沙就知道以利亞的意思
[00:00:51.800 --> 00:00:56.760]  就是他領受到神要將先知的職份
[00:00:56.760 --> 00:01:01.800]  從以利亞身上承傳下來
[00:01:01.800 --> 00:01:03.880]  來接受這個任務
[00:01:03.880 --> 00:01:07.320]  所以他知道神對他有一個呼召的時候
[00:01:07.320 --> 00:01:12.080]  他沒有和神推遲任務
[00:01:12.080 --> 00:01:15.600]  反而他很甘心樂意地
[00:01:15.600 --> 00:01:19.600]  安排自己離開安逸的生活
[00:01:19.600 --> 00:01:23.680]  來跟隨先知服侍神
[00:01:23.680 --> 00:01:28.520]  當我們看到經文記載他領受了這個呼召之後
[00:01:28.520 --> 00:01:32.120]  之後就沒有特別說他做了什麼
[00:01:32.120 --> 00:01:36.800]  直到今天我們要看的經文《鑷王紀相》二章
[00:01:36.800 --> 00:01:39.480]  一章十四節
[00:01:39.480 --> 00:01:41.600]  其實就去到一個時候
[00:01:41.600 --> 00:01:46.160]  就是當他的師父以利亞要被接昇天
[00:01:46.160 --> 00:01:48.160]  即是離開他的時候
[00:01:48.160 --> 00:01:54.720]  所以我們見到以利沙是一個溫和謙卑的人
[00:01:54.720 --> 00:01:57.360]  他接受了這個呼召之後
[00:01:57.360 --> 00:01:58.680]  他沒有直接說
[00:01:58.680 --> 00:02:01.880]  哇 以利亞你走開點 現在到我來了
[00:02:01.880 --> 00:02:04.560]  他沒有急於做第二個以利亞
[00:02:04.560 --> 00:02:08.600]  他只是一路默默地做一個助手
[00:02:08.600 --> 00:02:14.080]  跟着 看着以利亞如何去服侍神
[00:02:14.080 --> 00:02:17.880]  做一個先知 和他一起
[00:02:17.880 --> 00:02:20.240]  但其實去到這一刻
[00:02:20.240 --> 00:02:22.840]  他跟着以利亞 跟到這一刻
[00:02:22.840 --> 00:02:25.760]  以利亞知道自己
[00:02:25.760 --> 00:02:28.440]  神和他說我要接你昇天
[00:02:28.440 --> 00:02:30.320]  其實是什麼意思
[00:02:30.320 --> 00:02:33.600]  真的是交棒和接棒的時候
[00:02:33.600 --> 00:02:36.640]  真的來到了
[00:02:36.640 --> 00:02:38.160]  其實在這個時候
[00:02:38.160 --> 00:02:40.760]  以利亞就做了一件很特別的事
[00:02:40.760 --> 00:02:43.160]  以利沙一路跟着他
[00:02:43.160 --> 00:02:47.920]  他和他由吉甲這個地方 大家認識吉甲這個地方
[00:02:47.920 --> 00:02:49.680]  是心靈角的地方
[00:02:49.680 --> 00:02:53.400]  然後他們就經過了伯特利
[00:02:53.400 --> 00:02:56.560]  去耶利哥 然後去約旦河
[00:02:56.560 --> 00:02:58.400]  其實特別的事就是
[00:02:58.400 --> 00:03:02.040]  當他們一起走到每一個站
[00:03:02.040 --> 00:03:05.960]  以利亞都會和以利沙說
[00:03:05.960 --> 00:03:09.240]  他說 你就可以停留在這裏了
[00:03:09.240 --> 00:03:11.600]  你不用再跟我走下去下一站了
[00:03:11.600 --> 00:03:15.080]  你每次走一站就這樣說一次
[00:03:15.080 --> 00:03:17.360]  其實那時候除了以利沙之外
[00:03:17.360 --> 00:03:20.640]  還有其他的先知門徒是隨行的
[00:03:20.640 --> 00:03:23.000]  其實那些人都收到消息
[00:03:23.000 --> 00:03:25.600]  他就和以利沙說
[00:03:25.600 --> 00:03:28.600]  喂 你師父就要走了
[00:03:28.600 --> 00:03:31.640]  聽聞要接昇天了
[00:03:31.640 --> 00:03:34.440]  你是不是還跟着
[00:03:34.440 --> 00:03:38.840]  但以利沙每一次的回答都是很堅定的
[00:03:38.840 --> 00:03:41.120]  他和以利亞說
[00:03:41.120 --> 00:03:43.720]  我必不離開你的
[00:03:43.720 --> 00:03:45.040]  我不會揹負你
[00:03:45.040 --> 00:03:48.000]  我一定會跟着你的
[00:03:48.000 --> 00:03:53.120]  其實以利亞這個勸勉 叫他留下來
[00:03:53.120 --> 00:03:55.560]  其實都挺不尋常的
[00:03:55.560 --> 00:03:58.560]  其實明明是接班人
[00:03:58.560 --> 00:04:01.040]  跟着他去接班 怎麼會呢
[00:04:01.040 --> 00:04:04.120]  其實他每次都叫他
[00:04:04.120 --> 00:04:05.920]  你不用再走了 停留在這裏
[00:04:05.920 --> 00:04:08.200]  其實什麼原因呢
[00:04:08.200 --> 00:04:10.280]  其實都是一個考驗
[00:04:10.280 --> 00:04:13.760]  你跟了我這麼久
[00:04:13.760 --> 00:04:15.680]  你看到我所做的事
[00:04:15.680 --> 00:04:17.680]  其實你會不會再跟下去
[00:04:17.680 --> 00:04:20.280]  你會不會夠膽再做下去
[00:04:20.280 --> 00:04:26.440]  其實我們見到以利沙很堅定地和他說
[00:04:26.440 --> 00:04:28.400]  師父 我是不會離開你的
[00:04:28.400 --> 00:04:31.320]  不會被人 這個消息
[00:04:31.320 --> 00:04:33.480]  我不會被環境的轉變
[00:04:33.480 --> 00:04:36.560]  是你都讓我去離開
[00:04:36.560 --> 00:04:41.640]  好了 如果你是以利亞的徒弟
[00:04:41.640 --> 00:04:43.760]  這麼堅定地跟隨
[00:04:43.760 --> 00:04:45.320]  你會怎樣呢
[00:04:45.320 --> 00:04:47.080]  都挺開心的
[00:04:47.080 --> 00:04:48.640]  你不會說
[00:04:48.640 --> 00:04:51.680]  不聽我的話 明明叫你留下來
[00:04:51.680 --> 00:04:54.800]  我是你師父 我說什麼你就做什麼
[00:04:54.800 --> 00:04:57.280]  不是的 這個徒弟
[00:04:57.280 --> 00:04:58.760]  他不聽我的話
[00:04:58.760 --> 00:05:01.240]  就一直跟着他
[00:05:01.240 --> 00:05:04.800]  但是呢 我想以利亞很開心
[00:05:04.800 --> 00:05:07.400]  第一 因爲有一個徒弟
[00:05:07.400 --> 00:05:09.320]  這麼忠心地跟着你
[00:05:09.320 --> 00:05:12.680]  其實都表示他很愛你
[00:05:12.680 --> 00:05:15.240]  他很願意一輩子跟着你
[00:05:15.240 --> 00:05:17.320]  他對你很忠心
[00:05:17.320 --> 00:05:18.800]  你作爲一個師父
[00:05:18.800 --> 00:05:19.960]  你都會很開心
[00:05:19.960 --> 00:05:21.520]  是嗎 這樣的徒弟
[00:05:21.520 --> 00:05:23.200]  但是我相信
[00:05:23.200 --> 00:05:25.440]  以利亞更加開心
[00:05:25.440 --> 00:05:28.360]  甚至覺得老懷安慰的就是
[00:05:28.360 --> 00:05:31.240]  其實你知道一個偉大的先知
[00:05:31.240 --> 00:05:34.400]  其實他必定是一個很好的師父
[00:05:34.400 --> 00:05:35.800]  一個好的師父
