
[00:00:00.000 --> 00:00:03.540]  啟示第一章其實很主要是擺在
[00:00:03.540 --> 00:00:06.860]  關於耶穌基督的復活
[00:00:06.860 --> 00:00:09.260]  升天之後的形象
[00:00:09.260 --> 00:00:12.000]  或者用另一個說法就是
[00:00:12.000 --> 00:00:15.040]  主人坐在地上的時候
[00:00:15.040 --> 00:00:19.080]  有一個形象就是祂很柔和謙卑
[00:00:19.080 --> 00:00:23.820]  柔和謙卑不等於祂好像
[00:00:23.820 --> 00:00:27.440]  我們以前初信主一直讀神學
[00:00:27.440 --> 00:00:30.240]  因為我也是在加拿大信主在加拿大讀神學
[00:00:30.240 --> 00:00:33.300]  在加拿大侍奉才回流回到香港
[00:00:33.300 --> 00:00:36.980]  外國的弟兄姊妹很喜歡說
[00:00:36.980 --> 00:00:39.580]  你們不要把耶穌當成是一張
[00:00:39.580 --> 00:00:41.900]  入門口的door mat
[00:00:41.900 --> 00:00:45.060]  大家知道入屋之前
[00:00:45.060 --> 00:00:47.480]  門外當然有一張地毯
[00:00:47.480 --> 00:00:49.860]  擦擦腳 特別是在外國一定要的
[00:00:49.860 --> 00:00:52.820]  為什麼呢 很多時候譬如我住多倫多是下雪
[00:00:52.820 --> 00:00:54.900]  你穿著一雙靴子
[00:00:54.900 --> 00:00:57.920]  進別人的屋子 腳上又
[00:00:57.920 --> 00:01:00.640]  有些雪 有些泥 走進去
[00:01:00.640 --> 00:01:03.300]  很不舒服的 就算我進屋脫鞋
[00:01:03.300 --> 00:01:05.800]  也要先擦兩下
[00:01:05.800 --> 00:01:09.260]  所以很多時候人們有一個錯誤的觀念
[00:01:09.260 --> 00:01:11.940]  就是主耶穌是怎樣的呢
[00:01:11.940 --> 00:01:15.800]  主耶穌就好像地毯被人踩
[00:01:15.800 --> 00:01:18.780]  完全沒有什麼威嚴
[00:01:18.780 --> 00:01:21.520]  為什麼呢 因為形容一句說話
[00:01:21.520 --> 00:01:25.260]  祂自己說 我心裡柔和謙卑
[00:01:25.260 --> 00:01:29.040]  柔和謙卑 如果用英文說就是meek and mild
[00:01:29.040 --> 00:01:30.740]  meek
[00:01:30.740 --> 00:01:32.700]  meek 大家知道是meek and
[00:01:32.700 --> 00:01:33.620]  不是meet 你的meet
[00:01:33.620 --> 00:01:35.260]  meek and ek meek
[00:01:35.260 --> 00:01:38.260]  就是有humble的意思
[00:01:38.260 --> 00:01:39.820]  mild 大家也知道
[00:01:39.820 --> 00:01:42.300]  吸煙的人也明白什麼叫mild
[00:01:42.300 --> 00:01:45.000]  我聽到有些煙是叫mild的
[00:01:45.000 --> 00:01:48.180]  就是沒有那麼辣的 是不是
[00:01:48.180 --> 00:01:51.860]  或者喝咖啡有些是很稀的
[00:01:51.860 --> 00:01:53.900]  有些是很特濃的 是不是
[00:01:53.900 --> 00:01:56.200]  所以有時候我們會有一個錯誤的觀念
[00:01:56.200 --> 00:01:59.500]  以為耶穌就是一個這樣的人物
[00:01:59.500 --> 00:02:00.960]  祂是meek and mild
[00:02:00.960 --> 00:02:02.740]  你喜歡踩祂 罵祂
[00:02:02.740 --> 00:02:07.120]  打不還手 罵不還口 是不是
[00:02:07.120 --> 00:02:09.740]  但是你看回四福音裡面
[00:02:09.740 --> 00:02:11.600]  聖經說的主耶穌基督
[00:02:11.600 --> 00:02:12.960]  是不是這樣的呢
[00:02:12.960 --> 00:02:14.960]  是不是這樣的呢
[00:02:14.960 --> 00:02:16.960]  大家想一想
[00:02:16.960 --> 00:02:20.620]  很多時候祂真的是很謙卑
[00:02:20.620 --> 00:02:22.120]  祂和門徒洗腳
[00:02:22.120 --> 00:02:24.500]  一說謙卑大家就會想起
[00:02:24.500 --> 00:02:28.860]  主耶穌居然為門徒洗腳
[00:02:28.860 --> 00:02:30.960]  甚至說我來不是要被人服侍
[00:02:30.960 --> 00:02:32.400]  乃是要服侍人
[00:02:32.400 --> 00:02:36.340]  並且要捨命作多人的贖價
[00:02:36.340 --> 00:02:38.260]  哇 耶穌基督真的是
[00:02:38.260 --> 00:02:39.860]  將自己降卑
[00:02:39.860 --> 00:02:43.280]  就算祂是老闆
[00:02:43.280 --> 00:02:47.220]  但是祂的門徒在群眾當中
[00:02:47.220 --> 00:02:52.440]  其實祂真的好像一個
[00:02:52.440 --> 00:02:54.940]  倒垃圾
[00:02:54.940 --> 00:02:56.680]  倒茶 倒水
[00:02:56.680 --> 00:02:59.460]  頭垂垂那種人
[00:02:59.460 --> 00:03:03.000]  其實就算你看四福音都不是的
[00:03:03.000 --> 00:03:04.140]  在四福音裡面
[00:03:04.140 --> 00:03:08.700]  有時候主耶穌都有很強的一面
[00:03:08.700 --> 00:03:10.280]  很強的一面
[00:03:10.280 --> 00:03:12.080]  正如很多時候我們用
[00:03:12.080 --> 00:03:14.580]  耶穌潔淨聖殿
[00:03:14.580 --> 00:03:16.060]  你以為是小事嗎
[00:03:16.060 --> 00:03:17.560]  在那個地方裡面
[00:03:17.560 --> 00:03:18.480]  推倒別人
[00:03:18.480 --> 00:03:22.420]  當這個就是兌換銀錢的
[00:03:22.420 --> 00:03:25.560]  人們放人民幣 港幣在這裡兌換
[00:03:25.560 --> 00:03:26.560]  他走過來就想
[00:03:26.560 --> 00:03:28.760]  怎麼搞的 搞這些東西
[00:03:28.760 --> 00:03:30.040]  那些人怎麼來祈禱
[00:03:30.040 --> 00:03:31.740]  這個是祈禱的地方
[00:03:31.740 --> 00:03:33.360]  是祈禱的殿
[00:03:33.360 --> 00:03:36.020]  安靜的 讚美敬拜神
[00:03:36.020 --> 00:03:38.020]  在這裡搞這些東西
[00:03:38.020 --> 00:03:39.900]  推翻他 厲害嗎
[00:03:39.900 --> 00:03:42.500]  那些牛 羊在那裡買賣
[00:03:42.500 --> 00:03:44.300]  他直接用繩子做一條鞭
[00:03:44.300 --> 00:03:45.940]  鞭斗趕走他們
[00:03:45.940 --> 00:03:48.620]  你說他是不是meek and mild
[00:03:48.620 --> 00:03:51.580]  當然整體來說
[00:03:51.580 --> 00:03:54.840]  主耶穌真是meek and mild
[00:03:54.840 --> 00:03:57.900]  甚至一個被人捉姦在床的女人
[00:03:57.900 --> 00:03:58.780]  來到他面前
[00:03:58.780 --> 00:04:01.360]  他不是看著就罵他
[00:04:01.360 --> 00:04:02.660]  那個女人肯定是錯的
[00:04:02.660 --> 00:04:04.500]  對不對
[00:04:04.500 --> 00:04:06.000]  肯定是錯的
[00:04:06.000 --> 00:04:08.900]  但是主耶穌基督不是馬上就罵他
[00:04:08.900 --> 00:04:12.160]  只要看到他是有一個悔改的心
[00:04:12.160 --> 00:04:16.160]  主耶穌基督都願意去接受 饒恕他
[00:04:16.160 --> 00:04:19.360]  不過當然叫他不要再犯罪
[00:04:19.360 --> 00:04:20.900]  所以主耶穌就是一個
[00:04:20.900 --> 00:04:24.460]  你可以說 我不用兩極
[00:04:24.460 --> 00:04:26.100]  在地上的主耶穌基督
[00:04:26.100 --> 00:04:29.660]  是有兩方面的性情表現出來的
[00:04:29.660 --> 00:04:31.380]  這個是神的性情
[00:04:31.380 --> 00:04:33.180]  我們不要以為神是可以
[00:04:33.180 --> 00:04:35.980]  有時候我們很容易
[00:04:35.980 --> 00:04:39.220]  將天賦神做到好像聖誕老人那樣
[00:04:39.220 --> 00:04:43.140]  騎騎騎在那裡笑 派禮物
[00:04:43.140 --> 00:04:44.820]  我們有時候都要
[00:04:44.820 --> 00:04:47.700]  特別由小朋友到大教導他們
