
[00:00:00.000 --> 00:00:08.400]  哥羅西書到第三章這一段的話就講到我們要遇到的問題
[00:00:08.400 --> 00:00:14.560]  可以說基督徒信了主以後所遇到的最大的問題
[00:00:14.560 --> 00:00:20.640]  就是怎樣在生命、在生活中間能夠活出新的生命
[00:00:20.640 --> 00:00:25.020]  活出一生命我們叫做他基督化的生活
[00:00:25.020 --> 00:00:30.040]  就在我們生活裡頭有基督來做守衛
[00:00:30.040 --> 00:00:34.240]  把基督放在第一位
[00:00:34.240 --> 00:00:36.520]  我們有了新的生命
[00:00:36.520 --> 00:00:44.340]  那我們就不能像過去像世上的人那麼樣生活了
[00:00:44.340 --> 00:00:45.960]  我們沒有信主以前
[00:00:45.960 --> 00:00:51.200]  我們是隨著自己的意識跟從著世界來生活
[00:00:51.200 --> 00:00:53.000]  但是我們信了主以後
[00:00:53.000 --> 00:00:54.840]  我們有了新生命
[00:00:54.840 --> 00:00:59.600]  我們就要有一個新的生活
[00:00:59.600 --> 00:01:07.180]  就是把這個新的生命能夠從生活裡頭能活出來
[00:01:07.180 --> 00:01:11.560]  所以這個在前面我們也以前也教通過
[00:01:11.560 --> 00:01:16.380]  就是說脫去舊人、傳承新人
[00:01:16.380 --> 00:01:19.480]  有人說我們信了主就是新人了
[00:01:19.480 --> 00:01:21.400]  舊的都已過去了
[00:01:21.400 --> 00:01:24.040]  一切都變成新了
[00:01:24.040 --> 00:01:26.960]  那為什麼還要脫去舊人呢
[00:01:26.960 --> 00:01:29.940]  這就是說到我們信主的時候
[00:01:29.940 --> 00:01:32.360]  我們得到一個新的生命
[00:01:32.360 --> 00:01:36.880]  從地位上、從生命上我們是新的了
[00:01:36.880 --> 00:01:43.560]  但是在我們這個性情、我們的行為、我們的言語各方面的話
[00:01:43.560 --> 00:01:49.160]  我們還不是馬上就從新的、馬上從舊的
[00:01:49.160 --> 00:01:52.040]  一下子都變成全新的了
[00:01:52.040 --> 00:01:57.860]  所以這個脫去舊人、傳承新人是一個不斷的過程
[00:01:57.860 --> 00:01:59.500]  不斷的重複
[00:01:59.500 --> 00:02:03.720]  脫去一點、傳承一點
[00:02:03.720 --> 00:02:09.400]  那這一生中間就是這個脫去舊人、傳承新人
[00:02:09.400 --> 00:02:11.960]  不管我們的年紀到有多大
[00:02:11.960 --> 00:02:15.160]  不管我們信主的年齡有多少
[00:02:15.160 --> 00:02:22.480]  我們總是有著舊的東西在我們身上殘留下來
[00:02:22.480 --> 00:02:24.880]  有的時候看起來多一些
[00:02:24.880 --> 00:02:26.480]  有的時候少一些
[00:02:26.480 --> 00:02:29.920]  但是總是沒有一個完全的
[00:02:29.920 --> 00:02:38.760]  所以我們就不斷的需要在這方面我們一同來追求
[00:02:38.760 --> 00:02:40.960]  那麼這個地方我們讀了《聖經》
[00:02:40.960 --> 00:02:45.240]  就說到除了我們個人的生活以外
[00:02:45.240 --> 00:02:51.760]  我們在基督化的生活要從家庭開始
[00:02:51.760 --> 00:02:55.080]  這家庭是非常重要的
[00:02:55.080 --> 00:02:59.720]  《聖經》很看重基督徒的家庭
[00:02:59.720 --> 00:03:03.360]  所以在講了很多的真理以後
[00:03:03.360 --> 00:03:07.240]  像以弗所書跟哥勒希書都一樣的
[00:03:07.240 --> 00:03:11.640]  前面是先講到教義、講到真理
[00:03:11.640 --> 00:03:16.480]  然後下面就需要有實行的了
[00:03:16.480 --> 00:03:21.760]  可以說一個人的身體上有很多的細胞
[00:03:21.760 --> 00:03:23.600]  億萬個細胞
[00:03:23.600 --> 00:03:26.080]  那麼如果一個細胞不正常
[00:03:26.080 --> 00:03:28.440]  或者有很多細胞不正常
[00:03:28.440 --> 00:03:32.600]  那這個人的身體的健康就有問題了
[00:03:32.600 --> 00:03:35.200]  家庭也是這樣的
[00:03:35.200 --> 00:03:40.440]  可以說這個社會是由很多的家庭所組成的
[00:03:40.440 --> 00:03:43.640]  家庭就好像社會的細胞
[00:03:43.640 --> 00:03:46.680]  所以一個家庭出了問題
[00:03:46.680 --> 00:03:49.720]  或者有一部分的家庭出了問題
[00:03:49.720 --> 00:03:52.320]  或者有更多的家庭出了問題
[00:03:52.320 --> 00:03:59.160]  你就可以想像這個社會一定是很不正常的了
[00:03:59.160 --> 00:04:02.360]  所以我們可以看到
[00:04:02.360 --> 00:04:05.640]  在北美也好、在世界各地也好
[00:04:05.640 --> 00:04:10.400]  這家庭問題是最最明顯的
[00:04:10.400 --> 00:04:15.360]  可以說這個是很普遍的存在
[00:04:15.360 --> 00:04:17.360]  如果家庭不正常的話
[00:04:17.360 --> 00:04:20.320]  整個社會就動搖了
[00:04:20.320 --> 00:04:26.800]  所以保羅在這一段聖經就講到家庭生活開始
[00:04:26.800 --> 00:04:31.040]  這家庭生活他就從第三章的十八節
[00:04:31.040 --> 00:04:33.920]  一直講到四章的一節
[00:04:33.920 --> 00:04:39.000]  就講到夫妻的關係
[00:04:39.000 --> 00:04:42.120]  講到父母跟兒女的關係
[00:04:42.120 --> 00:04:45.680]  講到主人跟僕人的關係
[00:04:45.680 --> 00:04:50.160]  因為在過去保羅寫羅馬書的時候
[00:04:50.160 --> 00:04:54.680]  這個僕人就是他的奴隸
[00:04:54.680 --> 00:04:58.080]  所以這個奴隸是屬於這個家庭的
[00:04:58.080 --> 00:05:02.960]  雖然他不是父母生的
[00:05:02.960 --> 00:05:04.440]  不是主人生的
[00:05:04.440 --> 00:05:09.480]  可是他在家裡面就等於他一個成員一樣的
[00:05:09.480 --> 00:05:13.360]  所以也把主人跟僕人的關係寫在裡頭
[00:05:13.360 --> 00:05:17.240]  這應用在我們今天主人跟僕人的關係
[00:05:17.240 --> 00:05:20.760]  也可以說是老闆跟僱員的關係
[00:05:20.760 --> 00:05:26.840]  或者是領導跟被領導的關係
[00:05:26.840 --> 00:05:31.640]  所以這個也是適用在我們今天的社會
[00:05:31.640 --> 00:05:34.040]  可以說在今天的家庭
[00:05:34.040 --> 00:05:39.000]  離開神的心意是越來越遠了
[00:05:39.000 --> 00:05:43.880]  這個社會經過這幾千年的動盪的話
[00:05:43.880 --> 00:05:46.600]  可以說到今天很明顯的
[00:05:46.600 --> 00:05:51.000]  很多問題就是存在在家庭當中
[00:05:51.000 --> 00:05:52.320]  有人說的話
[00:05:52.320 --> 00:05:54.840]  像北美的婚姻的話
[00:05:54.840 --> 00:06:00.480]  差不多有一半的話是以離婚作為結束的
[00:06:00.480 --> 00:06:02.960]  這個是非常可怕的數字
[00:06:02.960 --> 00:06:07.280]  就是說有一百對新婚的夫婦
[00:06:07.280 --> 00:06:11.800]  他們最後的結果就是一半離婚了
[00:06:11.800 --> 00:06:13.840]  分開了
[00:06:13.840 --> 00:06:18.560]  這個是非常的可怕的情形
