
[00:00:00.000 --> 00:00:04.000]  今日希望能夠講到祖先的問題
[00:00:04.000 --> 00:00:07.000]  以及喪禮與祖先的關係
[00:00:07.000 --> 00:00:11.000]  我們發覺對祖先的敬拜
[00:00:11.000 --> 00:00:14.000]  或者對祖先的尊崇
[00:00:14.000 --> 00:00:21.000]  那裡又或者好像神主派在那裡上祠堂
[00:00:21.000 --> 00:00:23.000]  那裡有好幾個好重要的涵義
[00:00:23.000 --> 00:00:27.000]  這個是表面的宗教活動以下我們看得到的
[00:00:27.000 --> 00:00:29.000]  第一個好重要的涵義
[00:00:29.000 --> 00:00:32.000]  每一次向祖先敬拜的時候
[00:00:32.000 --> 00:00:35.000]  很多裡面的背後涵義是說到
[00:00:35.000 --> 00:00:38.000]  他再次肯定他的來源
[00:00:38.000 --> 00:00:41.000]  這班人的來源 他的根是哪裡
[00:00:41.000 --> 00:00:45.000]  每一次特別是新年的時候
[00:00:45.000 --> 00:00:47.000]  或者祭堂有大事情的時候
[00:00:47.000 --> 00:00:49.000]  或者每個宗族的事情
[00:00:49.000 --> 00:00:51.000]  甚至是下年三十晚
[00:00:51.000 --> 00:00:55.000]  他都會上香給祖先或者整乾淨神台
[00:00:55.000 --> 00:00:56.000]  整你一身
[00:00:56.000 --> 00:00:58.000]  每次整的時候有一個好大涵義
[00:00:58.000 --> 00:01:01.000]  就是肯定這些人的根在哪裡
[00:01:01.000 --> 00:01:03.000]  不要忘本 根的肯定
[00:01:03.000 --> 00:01:06.000]  而這個根的肯定其實在人裡面很多時候
[00:01:06.000 --> 00:01:09.000]  探求一個宗教問題就是我的來源在哪裡
[00:01:09.000 --> 00:01:11.000]  我從哪裡來的
[00:01:11.000 --> 00:01:13.000]  所以祖宗很重要
[00:01:13.000 --> 00:01:15.000]  搬家的時候有一個神位
[00:01:15.000 --> 00:01:18.000]  再次肯定在他家中心裡面
[00:01:18.000 --> 00:01:20.000]  代表他家族的來源
[00:01:20.000 --> 00:01:21.000]  我從哪裡來的
[00:01:21.000 --> 00:01:23.000]  我們屬於哪裡來的
[00:01:23.000 --> 00:01:24.000]  所以我覺得很重要
[00:01:24.000 --> 00:01:29.000]  而我那個神派 神主派或者神位
[00:01:29.000 --> 00:01:32.000]  就是我家的正中心的地方
[00:01:32.000 --> 00:01:34.000]  我在哪裡來的
[00:01:34.000 --> 00:01:35.000]  這個根的問題
[00:01:35.000 --> 00:01:38.000]  這個很榮幸的問題
[00:01:38.000 --> 00:01:39.000]  另外一個問題
[00:01:39.000 --> 00:01:41.000]  當他們上香的時候
[00:01:41.000 --> 00:01:42.000]  當他們這樣做的時候
[00:01:42.000 --> 00:01:44.000]  帶出一個很深的意味
[00:01:44.000 --> 00:01:48.000]  就是一個叫做不滅的觀念
[00:01:48.000 --> 00:01:50.000]  即是immortality的觀念
[00:01:50.000 --> 00:01:52.000]  這個不滅的觀念就是
[00:01:52.000 --> 00:01:54.000]  說得到
[00:01:54.000 --> 00:01:56.000]  我的祖先不是死了
[00:01:56.000 --> 00:01:59.000]  他們的靈魂是永遠活著的
