
[00:00:00.000 --> 00:00:01.720]  為何我會說這個題目呢?
[00:00:01.720 --> 00:00:05.000]  因為再過十五天,新的一年
[00:00:05.000 --> 00:00:08.640]  即是今年由它過去,新的一年將會來到
[00:00:08.640 --> 00:00:11.920]  中國人的文化就是年廿八就要「洗邋遢」
[00:00:11.920 --> 00:00:14.400]  下一個星期我們是福音處日
[00:00:14.400 --> 00:00:16.840]  所以我想在這一篇訊息裏面
[00:00:16.840 --> 00:00:18.840]  和大家有一個連結
[00:00:18.840 --> 00:00:22.840]  在法國有一個童話故事
[00:00:22.840 --> 00:00:25.600]  就是有一個商人衝去經商的時候
[00:00:25.600 --> 00:00:27.000]  做完一切的交易
[00:00:27.000 --> 00:00:29.880]  要趕回家的途中,又是深夜
[00:00:29.880 --> 00:00:33.000]  要找地方住
[00:00:33.000 --> 00:00:36.040]  見到一個豪宅,很漂亮
[00:00:36.040 --> 00:00:38.600]  打算去借宿一宵的時候
[00:00:38.600 --> 00:00:40.040]  為何要出來開門呢?
[00:00:40.040 --> 00:00:43.000]  一個人是一個衣冠楚楚的野獸
[00:00:43.000 --> 00:00:45.000]  被他嚇了一跳
[00:00:45.000 --> 00:00:47.440]  撿得好似隻靚蛋的野獸
[00:00:47.440 --> 00:00:51.120]  走的時候,這個野獸很有禮貌地邀請住他
[00:00:51.120 --> 00:00:55.720]  你不要走,因為我這裏是可以邀請你
[00:00:55.720 --> 00:00:58.680]  歡迎你臨近我來當中,在這裏借宿一宵
[00:00:58.680 --> 00:01:02.000]  你出去之後,可能會遇到很多野獸,很危險
[00:01:02.000 --> 00:01:05.280]  商人見到這個衣冠楚楚的野獸
[00:01:05.280 --> 00:01:08.160]  這麼有禮貌,又這麼有誠意
[00:01:08.160 --> 00:01:10.160]  被他吸引住留下
[00:01:10.160 --> 00:01:13.000]  進去之後,在進晚餐的時候
[00:01:13.000 --> 00:01:19.200]  這個衣冠楚楚的野獸就講他的故事
[00:01:19.200 --> 00:01:23.280]  他原來是一個王子
[00:01:23.280 --> 00:01:25.280]  因為中了魔咒
[00:01:25.280 --> 00:01:28.200]  於是乎人的思想就是人
[00:01:28.200 --> 00:01:32.560]  但是他的外形就變成了一個野獸
[00:01:32.560 --> 00:01:34.560]  商人聽到之後就很難過
[00:01:34.560 --> 00:01:37.840]  他好像與人世間隔絕了一樣
[00:01:37.840 --> 00:01:40.400]  自己一個人住在一個很漂亮的別墅
[00:01:40.400 --> 00:01:43.600]  但是好像不能夠與別人溝通
[00:01:43.600 --> 00:01:45.920]  不能夠被別人理解
[00:01:45.920 --> 00:01:47.600]  於是商人就問他
[00:01:47.600 --> 00:01:51.400]  有什麼可以破解的方法?
[00:01:51.400 --> 00:01:55.680]  這個王子野獸就說
[00:01:55.680 --> 00:01:59.360]  有的,不過我相信很難破解
[00:01:59.360 --> 00:02:01.360]  就是有一個願意
[00:02:01.360 --> 00:02:04.200]  真心又善良的女生肯嫁給我
[00:02:04.200 --> 00:02:07.120]  你的魔法才可以解
[00:02:07.120 --> 00:02:09.120]  商人一聽到之後
[00:02:09.120 --> 00:02:11.120]  看到他的樣子都害怕
[00:02:11.120 --> 00:02:15.120]  怎麼會找到一個善良又真心嫁給你的女生呢?
[00:02:15.120 --> 00:02:17.600]  於是乎他就很無奈地
[00:02:17.600 --> 00:02:19.600]  第二天就離開
[00:02:19.600 --> 00:02:22.600]  跟他幾個女兒講這個故事
[00:02:22.600 --> 00:02:25.760]  三個女兒一聽到之後大女兒就說
[00:02:25.760 --> 00:02:27.760]  王子也是這麼說的,野獸來的
[00:02:27.760 --> 00:02:29.760]  怎麼會嫁給他呢?
[00:02:29.760 --> 00:02:34.760]  三女心裡面就沉思
[00:02:34.760 --> 00:02:38.760]  在盤算到底我是否願意呢?
[00:02:38.760 --> 00:02:43.040]  到最後三女主動的
[00:02:43.040 --> 00:02:45.440]  透過爸爸去聯絡這個野獸
[00:02:45.440 --> 00:02:47.440]  跟他說願意嫁給他
[00:02:47.440 --> 00:02:49.440]  在嫁給他的時候
[00:02:49.440 --> 00:02:51.440]  在行婚禮那一天
[00:02:51.440 --> 00:02:53.440]  魔咒就馬上解開
[00:02:53.440 --> 00:02:57.440]  變回一個人形的王子
[00:02:57.440 --> 00:03:01.440]  當然這個童話故事背後有些寓意
[00:03:01.440 --> 00:03:03.440]  到第二個真實的例子
[00:03:03.440 --> 00:03:06.440]  就不是童話故事
[00:03:06.440 --> 00:03:08.440]  在去年的六月
[00:03:08.440 --> 00:03:11.440]  在美國的特拉華州
[00:03:11.440 --> 00:03:13.440]  有一個兒科醫生
[00:03:13.440 --> 00:03:15.440]  58歲
[00:03:15.440 --> 00:03:18.440]  他被控告在12年裡面
[00:03:18.440 --> 00:03:20.440]  侵犯了86個小朋友
