
[00:00:00.000 --> 00:00:01.680]  今天是專題的主人
[00:00:01.680 --> 00:00:03.440]  其實講專題是比較困難的
[00:00:03.440 --> 00:00:04.960]  特別是教會很大
[00:00:04.960 --> 00:00:06.960]  年齡層也很多
[00:00:06.960 --> 00:00:08.560]  特別這次是講婚姻
[00:00:08.560 --> 00:00:13.040]  「愛你一生一世」是童工幫我定出來的
[00:00:13.040 --> 00:00:14.800]  先調查一下
[00:00:14.800 --> 00:00:18.080]  究竟我們當中現在有多少人
[00:00:18.080 --> 00:00:21.040]  其實有一個伴侶在你身邊
[00:00:21.040 --> 00:00:22.440]  先舉起你的手 好嗎
[00:00:22.440 --> 00:00:22.960]  是
[00:00:22.960 --> 00:00:25.120]  給點掌聲 恭喜他們
[00:00:25.120 --> 00:00:25.880]  人生很有趣的
[00:00:25.880 --> 00:00:27.080]  有些人是未找到
[00:00:27.080 --> 00:00:28.400]  有些人是曾經找到的
[00:00:28.400 --> 00:00:30.480]  但是我們都上了年紀
[00:00:30.480 --> 00:00:31.440]  我們都要預備
[00:00:31.440 --> 00:00:33.720]  我們另一半可能都會離開自己
[00:00:33.720 --> 00:00:35.640]  所以今天就不知道怎麼開始
[00:00:35.640 --> 00:00:39.400]  這一段所謂專題的主日
[00:00:39.400 --> 00:00:40.840]  很多人在家裏喫飯
[00:00:40.840 --> 00:00:42.440]  有些人就聊着聊着就說
[00:00:42.440 --> 00:00:43.640]  其實師母和牧師
[00:00:43.640 --> 00:00:45.400]  我們都沒有聽過你這些戀愛故事
[00:00:45.400 --> 00:00:47.400]  不如你講給我們聽
[00:00:47.400 --> 00:00:50.760]  今天不是我們結婚的一年紀念
[00:00:50.760 --> 00:00:52.160]  不過Facebook很流行
[00:00:52.160 --> 00:00:54.320]  所以也回應一下大家 好嗎
[00:00:54.320 --> 00:00:56.120]  這張紙是我們結婚照片
[00:00:56.120 --> 00:00:58.560]  其實很多人都沒有拍過
[00:00:58.560 --> 00:01:00.480]  我和牧師其實都蠻可怕的
[00:01:00.480 --> 00:01:03.280]  我們在1975年已經相識了
[00:01:03.280 --> 00:01:05.080]  我們在1980年拍拖
[00:01:05.080 --> 00:01:09.680]  拍拖七年才結婚的
[00:01:09.680 --> 00:01:12.600]  少少的數字 少少的資料給大家
[00:01:12.600 --> 00:01:13.600]  有些人就會問
[00:01:13.600 --> 00:01:15.560]  爲什麼你會嫁給牧師呢
[00:01:15.560 --> 00:01:17.560]  很簡單的
[00:01:17.560 --> 00:01:20.800]  是因爲我想叫林師母
[00:01:20.800 --> 00:01:21.640]  開玩笑的
[00:01:21.640 --> 00:01:23.440]  我小時候在受浸的時候
[00:01:23.440 --> 00:01:24.880]  我有一個許願
[00:01:24.880 --> 00:01:26.120]  我就和上帝說
[00:01:26.120 --> 00:01:28.240]  上帝 我很想嫁一個牧師
[00:01:28.240 --> 00:01:28.880]  爲什麼呢
[00:01:28.880 --> 00:01:31.400]  因爲當時教會里面
[00:01:31.400 --> 00:01:34.600]  都是比較古老一點的傳統
[00:01:34.600 --> 00:01:37.840]  我覺得我在教會侍奉很老土
[00:01:37.840 --> 00:01:39.320]  而且很煩的
[00:01:39.320 --> 00:01:41.760]  我又很想經常在教會里侍奉主
[00:01:41.760 --> 00:01:43.320]  但我又不想做傳道人
[00:01:43.320 --> 00:01:44.640]  因爲我不想做姑娘
[00:01:44.640 --> 00:01:45.440]  你明白嗎
[00:01:45.440 --> 00:01:48.120]  姑娘會穿長衣服
[00:01:48.120 --> 00:01:50.720]  腋下會放一條手巾
[00:01:50.720 --> 00:01:53.800]  然後掛着白蘭花那些款式
[00:01:53.800 --> 00:01:55.400]  拿着藤籃那些款式
[00:01:55.400 --> 00:01:56.560]  我不想這樣
[00:01:56.560 --> 00:01:57.560]  我不想做姑娘
[00:01:57.560 --> 00:01:59.120]  但我又很想侍奉主
[00:01:59.120 --> 00:01:59.920]  我說最好了
[00:01:59.920 --> 00:02:01.720]  我嫁一個牧師就好了
[00:02:01.720 --> 00:02:04.080]  所以小時候就很想嫁一個牧師
[00:02:04.080 --> 00:02:07.760]  當然了 你知道我那麼多時間拍拖
[00:02:07.760 --> 00:02:10.000]  其實林以諾還不是牧師
[00:02:10.000 --> 00:02:11.000]  但上帝很好
[00:02:11.000 --> 00:02:12.400]  他都聽了我的祈禱
[00:02:12.400 --> 00:02:14.280]  我記得在Facebook有人都問過
[00:02:14.280 --> 00:02:16.240]  其實怎麼稱呼你的呢
[00:02:16.240 --> 00:02:16.880]  很坦白
[00:02:16.880 --> 00:02:19.440]  其實師母這個名字是和太太一樣的
[00:02:19.440 --> 00:02:20.600]  我是林以諾太太
[00:02:20.600 --> 00:02:22.600]  所以我是林以諾師母
[00:02:22.600 --> 00:02:24.920]  這個中文我們真的要搞清楚
[00:02:24.920 --> 00:02:26.240]  我知道我會麻煩一點
[00:02:26.240 --> 00:02:28.400]  因爲我本身只是一個牧師
[00:02:28.400 --> 00:02:31.000]  所以如果你稱呼我爲牧師
[00:02:31.000 --> 00:02:33.040]  你可以稱呼我爲羅牧師
[00:02:33.040 --> 00:02:34.600]  爲什麼我要跟主人談一談呢
[00:02:34.600 --> 00:02:36.000]  因爲我發現我們的教會很大
[00:02:36.000 --> 00:02:37.360]  我們很自然
[00:02:37.360 --> 00:02:40.000]  但是令到有些新朋友和小朋友
[00:02:40.000 --> 00:02:41.720]  其實原來誤會了
[00:02:41.720 --> 00:02:45.040]  他們以爲女的牧師就叫師母
[00:02:45.040 --> 00:02:47.680]  男的牧師就叫牧師
[00:02:47.680 --> 00:02:49.200]  我那羣小朋友更可愛
[00:02:49.200 --> 00:02:50.440]  有一天在外面美景
[00:02:50.440 --> 00:02:52.600]  我看到他們和媽媽牽手走路
[00:02:52.600 --> 00:02:54.080]  看到我們兩個的時候
[00:02:54.080 --> 00:02:56.560]  她指着我老公說
[00:02:56.560 --> 00:02:58.880]  那個不就是藍師母嗎
[00:02:58.880 --> 00:02:59.800]  我說死了
[00:02:59.800 --> 00:03:02.640]  原來我的小朋友有這麼多的誤會嗎
[00:03:02.640 --> 00:03:04.680]  而且我們教會在20週年
[00:03:04.680 --> 00:03:07.080]  都已經有一位新的牧師
[00:03:07.080 --> 00:03:08.040]  黃牧師
[00:03:08.040 --> 00:03:10.560]  所以他太太也是師母
[00:03:10.560 --> 00:03:12.960]  所以弟兄姊妹請你搞好一點中文
[00:03:12.960 --> 00:03:15.000]  清楚我們應該怎麼稱呼
[00:03:15.000 --> 00:03:18.440]  大家很想找一個愛你一生一世的人
[00:03:18.440 --> 00:03:22.600]  我想某程度來說我們只是很想找一個伴
[00:03:22.600 --> 00:03:23.280]  是不是
[00:03:23.280 --> 00:03:25.800]  祖堂有很多公公婆婆我都明白
[00:03:25.800 --> 00:03:28.520]  其實我們人生裏真的很想找一個伴
[00:03:28.520 --> 00:03:30.640]  可以陪着我們
[00:03:30.640 --> 00:03:33.440]  所以很自然我們就會想起結婚
[00:03:33.440 --> 00:03:35.000]  但是現在現代人
[00:03:35.000 --> 00:03:38.240]  他們對於一生一世的概念其實轉變了很多
[00:03:38.240 --> 00:03:41.680]  所以有時候你不明白年輕人究竟在想什麼
[00:03:41.680 --> 00:03:43.120]  在這部電影裏
[00:03:43.120 --> 00:03:44.440]  我聽到他最後有一句
[00:03:44.440 --> 00:03:45.520]  只是輕輕地說
[00:03:45.520 --> 00:03:47.560]  但是對我來說是很隱祕的
[00:03:47.560 --> 00:03:50.040]  他說原來我們曾經相愛過
[00:03:50.040 --> 00:03:52.080]  就算是一生一世了
[00:03:52.080 --> 00:03:53.640]  哇 年輕的弟兄姊妹
[00:03:53.640 --> 00:03:55.640]  那你有多少生有多少世
[00:03:55.640 --> 00:03:58.680]  因爲我相信你們不會只是拍一次拖
[00:03:58.680 --> 00:04:01.000]  而往往現在這羣年輕人
[00:04:01.000 --> 00:04:02.760]  他們看電影裏面
[00:04:02.760 --> 00:04:06.920]  都反映了很多他們在婚姻或者愛情裏面的一些現況
[00:04:06.920 --> 00:04:09.000]  他們的選擇恐懼症
[00:04:09.000 --> 00:04:12.560]  是延伸到其實他們都不知道怎麼去選女朋友
[00:04:12.560 --> 00:04:15.480]  也都不知道選哪一個是自己喜歡的
[00:04:15.480 --> 00:04:16.880]  所以這部電影就說了
[00:04:16.880 --> 00:04:19.680]  如果我在一個女孩的髮尾
[00:04:19.680 --> 00:04:22.000]  可以拔出一條香腸
[00:04:22.000 --> 00:04:24.880]  那我就知道我是愛她的了
[00:04:24.880 --> 00:04:27.320]  自己喜歡不喜歡那個人呢
[00:04:27.320 --> 00:04:29.840]  現在這一代的人都已經有困難
[00:04:29.840 --> 00:04:32.760]  所以究竟對方喜不喜歡你呢
[00:04:32.760 --> 00:04:34.040]  怎麼辦呢
[00:04:34.040 --> 00:04:35.440]  那電影又教
[00:04:35.440 --> 00:04:40.080]  如果你看到對方頭上有碗豆腐花呢
[00:04:40.080 --> 00:04:42.120]  那就知道他喜歡你了
[00:04:42.120 --> 00:04:43.920]  那你看看你老婆和你老公
[00:04:43.920 --> 00:04:45.600]  他頭上有沒有一碗豆腐花
[00:04:45.600 --> 00:04:47.200]  是不是真的喜歡你呢
[00:04:47.200 --> 00:04:50.080]  怪不得那些片全部都要扎馬尾
[00:04:50.080 --> 00:04:54.040]  扎一條馬尾怎麼拿得起一個豆腐花呢
[00:04:54.040 --> 00:04:59.480]  電影的確是令我們有很多錯誤的觀念
[00:04:59.480 --> 00:05:01.240]  以前娶妻就求什麼呢
[00:05:01.240 --> 00:05:02.440]  淑女
[00:05:02.440 --> 00:05:03.480]  現在男士
[00:05:03.480 --> 00:05:04.160]  大兄
[00:05:04.160 --> 00:05:06.280]  你女朋友是看什麼的
[00:05:06.280 --> 00:05:07.480]  是看外貌的
[00:05:07.480 --> 00:05:08.720]  最重要是外貌漂亮
[00:05:08.720 --> 00:05:09.600]  是不是
[00:05:09.600 --> 00:05:12.000]  就算她在地鐵站兜巴掌摑你
[00:05:12.000 --> 00:05:15.120]  你也是死心塌地地喜歡她的
[00:05:15.120 --> 00:05:16.840]  女孩是重大一件事
[00:05:16.840 --> 00:05:19.200]  女孩無論你自己什麼品德
[00:05:19.200 --> 00:05:20.040]  什麼樣式
[00:05:20.040 --> 00:05:21.600]  什麼才華都好
[00:05:21.600 --> 00:05:24.520]  你總是覺得在這個宇宙裏面
[00:05:24.520 --> 00:05:29.400]  永遠有一顆星星在愛着你和等着你
[00:05:29.400 --> 00:05:30.760]  我們的姐妹們
[00:05:30.760 --> 00:05:31.720]  這麼難找對象
[00:05:31.720 --> 00:05:33.520]  因爲她經常要找一個男人
[00:05:33.520 --> 00:05:35.600]  他除了有錢
[00:05:35.600 --> 00:05:37.160]  還要有才華
[00:05:37.160 --> 00:05:40.000]  還要專一愛你
[00:05:40.000 --> 00:05:41.200]  跟旁邊的姐妹說
[00:05:41.200 --> 00:05:44.560]  你想多了
[00:05:44.560 --> 00:05:48.720]  電影的確令我們這一代的愛情觀和婚姻觀
[00:05:48.720 --> 00:05:50.600]  出現了很大的誤差
[00:05:50.600 --> 00:05:53.760]  起碼我這些60後和現在的70 80後
[00:05:53.760 --> 00:05:55.520]  都已經覺得有很多分別
[00:05:55.520 --> 00:05:57.920]  其實因爲他們看電影太多了
[00:05:57.920 --> 00:05:59.520]  以前我們小時候
[00:05:59.520 --> 00:06:00.560]  我們什麼叫婚姻
