
[00:00:00.000 --> 00:00:05.000]  今天的題目叫「別的福音」
[00:00:05.000 --> 00:00:13.000]  這是一個很嚴肅的題目
[00:00:13.000 --> 00:00:15.000]  儘管聽我講下去吧
[00:00:15.000 --> 00:00:19.000]  有很多聖經我會引用的
[00:00:19.000 --> 00:00:22.000]  如果你喜歡的話就打開聖經
[00:00:22.000 --> 00:00:24.000]  又或者聽我一邊講就可以了
[00:00:28.000 --> 00:00:31.000]  有一個要看的
[00:00:31.000 --> 00:00:34.000]  聖經裡一些事情發生了
[00:00:34.000 --> 00:00:36.000]  成為一些背景
[00:00:36.000 --> 00:00:38.000]  一些基礎
[00:00:38.000 --> 00:00:42.000]  一些背景
[00:00:42.000 --> 00:00:44.000]  一些基礎
[00:00:44.000 --> 00:00:49.000]  幫助我們繼續理解
[00:00:49.000 --> 00:00:52.000]  我們首先看出哀及記二十章
[00:00:58.000 --> 00:01:08.000]  出哀及記二十章
[00:01:08.000 --> 00:01:11.000]  如果大家有看聖經舊約
[00:01:11.000 --> 00:01:13.000]  有看過出哀及記
[00:01:13.000 --> 00:01:16.000]  你會發覺出哀及記其實很好看
[00:01:16.000 --> 00:01:19.000]  很精彩的故事
[00:01:19.000 --> 00:01:21.000]  很生動的描寫
[00:01:21.000 --> 00:01:24.000]  二十章如果大家翻開聖經
[00:01:24.000 --> 00:01:27.000]  一看下去就有個題目寫著十誡
[00:01:27.000 --> 00:01:29.000]  大家都知道
[00:01:29.000 --> 00:01:33.000]  以色列人蒙神頒佈了十誡給他們
[00:01:33.000 --> 00:01:35.000]  你一邊翻開聖經
[00:01:35.000 --> 00:01:37.000]  二十章就講十誡
[00:01:37.000 --> 00:01:39.000]  你翻開二十章
[00:01:39.000 --> 00:01:43.000]  就寫著對奴僕的條例
[00:01:43.000 --> 00:01:48.000]  然後就懲罰那些暴行的條例
[00:01:48.000 --> 00:01:50.000]  然後物主的責任
[00:01:50.000 --> 00:01:53.000]  很多這些條例都是神頒佈下來
[00:01:53.000 --> 00:01:57.000]  十誡之後還有很多條例
[00:01:57.000 --> 00:02:02.000]  告訴他們要遵守這些
[00:02:02.000 --> 00:02:07.000]  這裡揭到二十四章
[00:02:07.000 --> 00:02:12.000]  二十四章第三節
[00:02:12.000 --> 00:02:15.000]  神頒佈了很多條例
[00:02:15.000 --> 00:02:17.000]  二十四章第三節寫什麼呢?
[00:02:17.000 --> 00:02:19.000]  我一邊讀一邊看
[00:02:19.000 --> 00:02:23.000]  摩西下山將耶和華的命令典章
[00:02:23.000 --> 00:02:26.000]  都述說予百姓聽
[00:02:26.000 --> 00:02:28.000]  眾百姓齊聲說
[00:02:28.000 --> 00:02:30.000]  耶和華所吩咐的
[00:02:30.000 --> 00:02:33.000]  我們都必遵行
[00:02:33.000 --> 00:02:35.000]  這幅圖畫是不是很美麗?
[00:02:35.000 --> 00:02:38.000]  神頒佈了這麼多十誡、律例
[00:02:38.000 --> 00:02:40.000]  你們要怎麼遵守?
[00:02:40.000 --> 00:02:41.000]  摩西告訴他們
[00:02:41.000 --> 00:02:44.000]  眾百姓說耶和華所吩咐的
[00:02:44.000 --> 00:02:46.000]  我們都必定遵行
[00:02:46.000 --> 00:02:48.000]  完美圖畫
[00:02:48.000 --> 00:02:51.000]  如果在這裡停止就非常好
[00:02:51.000 --> 00:02:54.000]  不過還有後面一路發展下去
[00:02:54.000 --> 00:02:56.000]  後面一路發展下去
[00:02:56.000 --> 00:02:59.000]  到十二節那一刻
[00:02:59.000 --> 00:03:02.000]  原來摩西下山
[00:03:02.000 --> 00:03:04.000]  將神的命令典章
[00:03:04.000 --> 00:03:07.000]  全部講解給他們聽之後
[00:03:07.000 --> 00:03:08.000]  十二節那一刻
[00:03:08.000 --> 00:03:10.000]  耶和華對摩西說
[00:03:10.000 --> 00:03:13.000]  你上山到我這裡來
[00:03:13.000 --> 00:03:15.000]  住在這裡
[00:03:15.000 --> 00:03:19.000]  我要將石板並我所寫的律法和誡命
[00:03:19.000 --> 00:03:21.000]  賜給你
[00:03:21.000 --> 00:03:23.000]  使你可以教訓百姓
[00:03:23.000 --> 00:03:26.000]  好像上下集一樣
