
[00:00:00.000 --> 00:00:02.960]  我們今天會去探討
[00:00:02.960 --> 00:00:07.760]  蘇羅比一些邪靈惡魔附著在身上
[00:00:07.760 --> 00:00:10.500]  要靠大衛彈琴
[00:00:10.500 --> 00:00:14.380]  將那些惡魔暫時趕走
[00:00:14.380 --> 00:00:17.940]  我們先看這一段經文
[00:00:17.940 --> 00:00:21.760]  就是撒姆爾基上第16章14到23節
[00:00:21.760 --> 00:00:25.280]  這次我們會先讀一次
[00:00:25.280 --> 00:00:26.440]  我們有印象
[00:00:26.440 --> 00:00:28.440]  然後再慢慢分析
[00:00:28.440 --> 00:00:30.440]  多謝二汪幫我們讀出來
[00:00:30.440 --> 00:00:33.320]  耶和華的靈離開蘇羅
[00:00:33.320 --> 00:00:36.620]  有惡魔從耶和華那裡來擾亂他
[00:00:36.620 --> 00:00:38.620]  蘇羅的神僕對他說
[00:00:38.620 --> 00:00:41.800]  現在有惡魔從神那裡來擾亂你
[00:00:41.800 --> 00:00:44.920]  我們的主可以吩咐面前的神僕
[00:00:44.920 --> 00:00:47.080]  找一個勝於彈琴的來
[00:00:47.080 --> 00:00:49.360]  等神那裡來的惡魔
[00:00:49.360 --> 00:00:51.100]  臨到你身上的時候
[00:00:51.100 --> 00:00:52.680]  使他用手彈琴
[00:00:52.680 --> 00:00:54.680]  你就好了
[00:00:54.680 --> 00:00:56.460]  蘇羅對神僕說
[00:00:56.460 --> 00:00:59.540]  你們可以為我找一個勝於彈琴的
[00:00:59.540 --> 00:01:01.200]  帶到我這裡來
[00:01:01.200 --> 00:01:03.200]  其中有一個少年人說
[00:01:03.200 --> 00:01:04.920]  我曾見百里行人
[00:01:04.920 --> 00:01:07.480]  耶穌的一個兒子勝於彈琴
[00:01:07.480 --> 00:01:10.680]  四大有勇敢的戰士說話合二
[00:01:10.680 --> 00:01:11.880]  容貌俊美
[00:01:11.880 --> 00:01:15.100]  耶和華也與他同在
[00:01:15.100 --> 00:01:17.960]  於是蘇羅差遣使者去見耶穌
[00:01:17.960 --> 00:01:22.360]  說請你打發你放羊的兒子帶位到我這裡來
[00:01:22.360 --> 00:01:25.760]  耶穌就把幾個餅和一皮帶走
[00:01:25.760 --> 00:01:28.840]  並一隻山羊羔都伏在路上
[00:01:28.840 --> 00:01:31.760]  交給他兒子帶位送予蘇羅
[00:01:31.760 --> 00:01:33.860]  大衛到了蘇羅那裡
[00:01:33.860 --> 00:01:35.860]  就示立在蘇羅面前
[00:01:35.860 --> 00:01:37.540]  蘇羅甚喜愛他
[00:01:37.540 --> 00:01:41.360]  他就作了蘇羅拿兵器的人
[00:01:41.360 --> 00:01:43.880]  蘇羅差遣人去見耶穌說
[00:01:43.880 --> 00:01:47.560]  求你容大衛示立在我面前
[00:01:47.560 --> 00:01:50.020]  因為他在我眼前蒙了因
[00:01:50.020 --> 00:01:51.720]  從神那裡來的惡魔
[00:01:51.720 --> 00:01:53.720]  臨到蘇羅身上的時候
[00:01:53.720 --> 00:01:56.460]  大衛就拿琴用手而彈
[00:01:56.460 --> 00:01:58.700]  蘇羅便舒暢爽快
[00:01:58.700 --> 00:02:00.700]  惡魔來了他
[00:02:00.700 --> 00:02:02.280]  很簡單的一段經文就是
[00:02:02.280 --> 00:02:05.560]  蘇羅被惡魔邪靈搞擾
[00:02:05.560 --> 00:02:08.480]  後來有人推介做中間人
[00:02:08.480 --> 00:02:11.160]  吸納專才吸納了大衛
[00:02:11.160 --> 00:02:13.960]  去為蘇羅彈琴
[00:02:13.960 --> 00:02:16.200]  當大衛彈琴的時候
[00:02:16.200 --> 00:02:19.920]  惡魔就會離開了蘇羅身上
[00:02:19.920 --> 00:02:21.320]  就是這麼簡單
[00:02:21.320 --> 00:02:26.980]  這段經文是第一次大衛和蘇羅去會面
[00:02:26.980 --> 00:02:29.980]  但是這兩個人在這一刻裡面
[00:02:29.980 --> 00:02:33.040]  已經有一個很大很大的對比
[00:02:33.040 --> 00:02:36.360]  蘇羅被神放棄
[00:02:36.360 --> 00:02:40.040]  但是大衛剛剛被神來得很高
[00:02:40.040 --> 00:02:41.620]  蘇羅在這一刻裡面
[00:02:41.620 --> 00:02:44.680]  是甚至有問題有毛病的人
[00:02:44.680 --> 00:02:49.480]  但是大衛卻是清秀出色的少年人
[00:02:49.480 --> 00:02:53.300]  神的靈已經離開了蘇羅
[00:02:53.300 --> 00:02:58.140]  但是神的靈是大大的感動大衛
