
[00:00:00.000 --> 00:00:04.100]  親愛的兄弟姐妹 我們今天又繼續研讀神的話語了
[00:00:04.100 --> 00:00:08.880]  我們特別來探索舊約裡面的禱告
[00:00:08.880 --> 00:00:13.180]  透過舊約的禱告幫助我們對神的說話
[00:00:13.180 --> 00:00:16.620]  對神的影響有更多的了解和認識
[00:00:16.620 --> 00:00:21.260]  今天跟大家分享的就叫做出奇制勝
[00:00:21.260 --> 00:00:25.060]  這個「奇」你留意到就是祈禱的「奇」
[00:00:25.060 --> 00:00:29.180]  不是突然有些古靈精怪的東西可以得勝對方
[00:00:29.180 --> 00:00:31.940]  所以有時候都是找「食」字的
[00:00:31.940 --> 00:00:37.000]  透過禱告來得到勝利
[00:00:37.000 --> 00:00:41.180]  我們好時都會想著善有善報 惡有惡報
[00:00:41.180 --> 00:00:44.480]  若言未報 時辰未到
[00:00:44.480 --> 00:00:47.300]  但會不會有時候我們都發現一件事就是
[00:00:47.300 --> 00:00:48.800]  我們做了些好事
[00:00:48.800 --> 00:00:53.600]  但未必即時能夠有一些好的回報
[00:00:53.600 --> 00:00:58.540]  相反地 反而會有一些惡劣的情形產生
[00:00:58.540 --> 00:01:03.780]  我們看過希西嘉曾經來向神呼求
[00:01:03.780 --> 00:01:08.000]  給她多些壽數 醫好她的病
[00:01:08.000 --> 00:01:11.780]  但之前原來發生了什麼事 我們看回這件事
[00:01:11.780 --> 00:01:16.780]  在《聖經歷代之下》第32章第一節是這麼說的
[00:01:16.780 --> 00:01:22.920]  她說 虔誠的事以後 亞述王西拿基納來侵入猶大
[00:01:22.920 --> 00:01:27.680]  圍困一切堅固城 想要攻破佔據
[00:01:27.680 --> 00:01:35.420]  說到虔誠的事以後 他們竟然遭到亞述王來圍攻
[00:01:35.420 --> 00:01:39.240]  這是什麼虔誠的事 我們一定要去探討
[00:01:39.240 --> 00:01:41.640]  希西嘉是一個敬畏神的人
[00:01:41.640 --> 00:01:45.840]  《聖經》甚至形容在猶大國裡面
[00:01:45.840 --> 00:01:50.320]  可以說是空前絕後 沒有一個王像她這樣
[00:01:50.320 --> 00:01:55.240]  我們看看《歷郎記》第18章第5和第6節
[00:01:55.240 --> 00:01:58.320]  希西嘉倚靠耶和華 以色列的臣
[00:01:58.320 --> 00:02:03.480]  在貪前後的猶大獵王中 沒有一個及她的
[00:02:03.480 --> 00:02:07.040]  因為她專靠耶和華 總不離開
[00:02:07.040 --> 00:02:10.480]  謹守耶和華所吩咐摩西的誡命
[00:02:10.480 --> 00:02:13.980]  某個程度她比大衛更加好
[00:02:13.980 --> 00:02:17.080]  究竟她做了些什麼虔誠的事呢
[00:02:17.080 --> 00:02:20.380]  我們很快去看一看
[00:02:20.380 --> 00:02:22.280]  第一是潔淨聖殿
[00:02:22.280 --> 00:02:27.080]  她父親阿哈斯是一個非常非常差的王媒
[00:02:27.080 --> 00:02:32.080]  她毀壞了聖殿 引入了大馬士革的外邦神
[00:02:32.080 --> 00:02:36.080]  用子民去獻祭 敬拜這些假神
[00:02:36.080 --> 00:02:38.880]  但是希西嘉一登基的時候
[00:02:38.880 --> 00:02:41.680]  第一件事就是要潔淨聖殿
[00:02:41.680 --> 00:02:46.380]  將聖殿一切的偶像帶去除去
[00:02:46.380 --> 00:02:49.080]  扔在吸輪谷
[00:02:49.080 --> 00:02:54.080]  動員的人很多 你知不知道用了多久來潔淨聖殿
[00:02:54.080 --> 00:02:55.880]  是16天了
[00:02:55.880 --> 00:03:00.280]  在歷代之下的二十九章 三到十九節裡面就有了
[00:03:00.280 --> 00:03:03.480]  在大家的筆記裡面 大家可以去看看
[00:03:03.480 --> 00:03:06.880]  推翻前朝定下的事是很不容易的
[00:03:06.880 --> 00:03:08.080]  因為為什麼呢
[00:03:08.080 --> 00:03:10.780]  前朝還有很多的神
[00:03:10.780 --> 00:03:15.080]  還有他們拜偶像 有很多的既得利益者
[00:03:15.080 --> 00:03:17.480]  要推翻他們是絕對不容易
[00:03:17.480 --> 00:03:20.280]  但是希西嘉做到了
[00:03:20.280 --> 00:03:22.280]  第二方面就是破除迷信
[00:03:22.280 --> 00:03:23.880]  這件事真的很可怕
[00:03:23.880 --> 00:03:26.880]  很難去做到的 為什麼呢
[00:03:26.880 --> 00:03:32.780]  他竟然打碎了先祖摩西所做的銅蛇
[00:03:32.780 --> 00:03:35.280]  記不記得以色列人來到埋怨神的時候
[00:03:35.280 --> 00:03:37.980]  神就用火蛇來咬他們
[00:03:37.980 --> 00:03:40.080]  後來摩西為他們來禱告
[00:03:40.080 --> 00:03:41.880]  神就說好 你們舉起銅蛇
[00:03:41.880 --> 00:03:43.280]  舉起這條銅蛇
[00:03:43.280 --> 00:03:45.480]  那些人願意望那條銅蛇的時候
[00:03:45.480 --> 00:03:47.080]  就會得到醫治
[00:03:47.080 --> 00:03:49.480]  結果真的有些人得到醫治
[00:03:49.480 --> 00:03:52.880]  甚至這件事在《約翰福音》裡面也記載
[00:03:52.880 --> 00:03:54.780]  摩西怎樣舉銅蛇
[00:03:54.780 --> 00:03:56.680]  人子照樣被舉起
[00:03:56.680 --> 00:03:58.880]  說到耶穌也為我們來死
[00:03:58.880 --> 00:04:00.980]  這是象徵性的行動
[00:04:00.980 --> 00:04:04.580]  所以這條銅蛇是非常有價值的
[00:04:04.580 --> 00:04:06.580]  但是呢
[00:04:06.580 --> 00:04:09.080]  因為人們往往是偶像式敬拜
[00:04:09.080 --> 00:04:12.880]  結果人們就在這條銅蛇尼泰去下拜
[00:04:12.880 --> 00:04:16.480]  結果這個本來是紀念的
[00:04:16.480 --> 00:04:18.080]  就變成為偶像
[00:04:18.080 --> 00:04:19.480]  很有價值
[00:04:19.480 --> 00:04:23.680]  比如摩西一直流到希西加年代
[00:04:23.680 --> 00:04:25.580]  但是希西加竟然做了什麼呢
[00:04:25.580 --> 00:04:27.680]  《獵王記下》第18章第4節
[00:04:27.680 --> 00:04:29.580]  他廢去休談毀壞主張
[00:04:29.580 --> 00:04:30.780]  砍下木偶
[00:04:30.780 --> 00:04:33.680]  打碎摩西所造的銅蛇
[00:04:33.680 --> 00:04:38.280]  因為到那時以色列人仍向銅蛇燒香
[00:04:38.280 --> 00:04:41.580]  希西加叫銅蛇為「銅塊」
[00:04:41.580 --> 00:04:44.180]  所以看到他破除迷信
[00:04:44.180 --> 00:04:45.680]  絕對不容易
[00:04:45.680 --> 00:04:48.980]  還有就是他為人民去贖罪
[00:04:48.980 --> 00:04:50.680]  我們不詳細看了
[00:04:50.680 --> 00:04:53.080]  在歷代之下的第29章第24節
[00:04:53.080 --> 00:04:55.580]  他說祭司就宰了楊津軒
[00:04:55.580 --> 00:04:57.880]  獻在壇上作贖罪祭
[00:04:57.880 --> 00:04:59.680]  為以色列眾人贖罪
[00:04:59.680 --> 00:05:01.280]  因為「武王」
[00:05:01.280 --> 00:05:03.580]  吩咐把繁殖和贖罪祭
[00:05:03.580 --> 00:05:08.180]  為以色列人獻上
[00:05:08.180 --> 00:05:10.580]  希西加不單單自己認罪
[00:05:10.580 --> 00:05:12.580]  他覺得子民有犯錯
[00:05:12.580 --> 00:05:16.480]  於是他求神赦免這幫子民
[00:05:16.480 --> 00:05:20.680]  叫子民在神面前認罪
