
[00:00:00.000 --> 00:00:08.900]  弟兄姊妹啊也晚來也應該先說一下哈呃新年快樂啊這晚來的祝福
[00:00:08.900 --> 00:00:16.660]  嗯2020年自然要問的問題是問你2020年過得如何呢
[00:00:16.660 --> 00:00:23.900]  呃 可能你想起疫情馬上自動說不好不好哎再想一想
[00:00:25.020 --> 00:00:33.340]  其實是好壞參半對嗎啊好的事可能包括做了新手的爸媽啊升職了
[00:00:33.340 --> 00:00:38.820]  嗯 或者起碼保住工作 沒給開除其實也是感恩
[00:00:38.820 --> 00:00:45.900]  還有是讀博的研究 可能有新項目有進展 還有戀愛成功 成家立事
[00:00:45.900 --> 00:00:52.100]  疫情當中仍然健康 這些清單裏面應該有好些項目
[00:00:52.820 --> 00:01:00.020]  呃 難受的事肯定也是有的新手爸媽的話就代表你帶孩子的挑戰很大
[00:01:00.020 --> 00:01:04.380]  另外有些是工作壓力大 有些讀博老闆磕磕
[00:01:04.380 --> 00:01:12.540]  呃 有些職場老給人康啊 還有錢貴則使你很苦惱 還有單身沒找到對象
[00:01:12.540 --> 00:01:16.620]  呃 還有疫情帶來的麻煩 例如需要home office很孤單
[00:01:16.620 --> 00:01:22.660]  還有呢 呃 因爲這個疫情就很難回家跟家人團聚
[00:01:23.020 --> 00:01:28.460]  還有要幫忙孩子網上學習非常折騰的嘛 我聽一些家長說
[00:01:28.460 --> 00:01:34.100]  最後當然就是感染新冠肺炎的一種的長期的憂慮
[00:01:34.100 --> 00:01:39.580]  那麼在這種情況之下 新一年你有什麼展望呢
[00:01:39.580 --> 00:01:46.180]  新手爸媽當然希望你的孩子健康成長 港漂希望工作再上一層樓
[00:01:46.180 --> 00:01:50.300]  呃 博士說是生希望順利畢業啊 我猜
[00:01:51.260 --> 00:01:56.220]  與家人分隔太久的可能就希望回大灣區或者內地工作
[00:01:56.220 --> 00:02:05.940]  有些老香港呢 我也聽到想移民 還有一些失婚年齡的 就希望理想對象快點快點快點出現
[00:02:05.940 --> 00:02:11.260]  這些都是我們生活的很真實的情況 可是
[00:02:11.260 --> 00:02:15.180]  還有另外一項實況
[00:02:16.980 --> 00:02:23.180]  鏡頭一轉 另一個實況來了 我們想想
[00:02:23.180 --> 00:02:25.980]  就是那一天
[00:02:25.980 --> 00:02:33.820]  來了 主耶穌來了 充滿榮光的主坐在審判臺前
[00:02:33.820 --> 00:02:36.660]  想一想臺下的
[00:02:36.660 --> 00:02:43.860]  我們自己再想象一下自己當時的表情 你會跟主說什麼呢
[00:02:44.940 --> 00:02:48.860]  又想想主又會跟您說什麼呢
[00:02:48.860 --> 00:02:58.980]  總有這麼一天的 按聖經所說 我們必須面對這麼一個時刻
[00:02:58.980 --> 00:03:06.820]  沒錯 日常生活的柴米油鹽 我不知道普通話是不是也叫柴米油鹽
[00:03:08.260 --> 00:03:15.220]  病痛艱難還有享受 這是生活的一面
[00:03:15.220 --> 00:03:20.380]  另外一面就是有一天要面對主給我們評價
[00:03:20.380 --> 00:03:23.860]  這兩面都是同樣的真實
[00:03:23.860 --> 00:03:32.860]  我們必須有勇氣面對兩個同樣兩個實況 才能叫真真正正老老實實的活過
[00:03:33.340 --> 00:03:39.460]  才能在人生衆多的選擇當中做出無憾的決決定
[00:03:39.460 --> 00:03:41.580]  有一個弟兄
[00:03:41.580 --> 00:03:48.220]  他生活的一方面挺貼地氣 另一方面他又常常提醒自己
[00:03:48.220 --> 00:03:51.860]  有一天就接受主的審判和評價
[00:03:51.860 --> 00:04:01.220]  當他自己知道時日不多的時候 他就寫信給他的愛徒 他的徒弟 他是這樣說的
[00:04:03.180 --> 00:04:11.300]  徒兒 我的日子差不多了 我的血快要獻祭 像獻祭的電酒一樣下下來
[00:04:11.300 --> 00:04:13.540]  我要離開你了
[00:04:13.540 --> 00:04:21.500]  很多人說我出身高貴 既是羅馬公民 又是得人尊重的經學者
[00:04:21.500 --> 00:04:30.340]  還師從大學者 本來有大好前程 他們說可是我一手好牌就給我打得稀爛了
[00:04:31.260 --> 00:04:38.780]  可我不是這樣想的 我在路上遇見他之後明白自己的無助無助和罪惡
[00:04:38.780 --> 00:04:40.500]  更明白他對我的愛
[00:04:40.500 --> 00:04:43.260]  他甚至爲我沒了生命
[00:04:43.260 --> 00:04:47.580]  從那時候起 我就決定跟定了他 我愛他
[00:04:47.580 --> 00:04:53.420]  爲他爭鬥 爲他跑完了該跑的人生路 也守住了對他的信仰
[00:04:53.420 --> 00:05:00.700]  我現在在坐牢 我等候審訊 我知道我未必會得到公平的審訊
[00:05:01.300 --> 00:05:03.460]  很可能被判處死刑
[00:05:03.460 --> 00:05:07.060]  但是我確定的相信
[00:05:07.060 --> 00:05:11.820]  到那一天 那位按着公義審判的主
[00:05:11.820 --> 00:05:16.260]  當他再來審判我的時候 他會賜給我官免
[00:05:16.260 --> 00:05:25.300]  這官免代表着他已赦免我的罪惡 稱我爲義 而且認可見了我對他的信靠和服飾和忠誠
[00:05:25.300 --> 00:05:26.900]  徒兒
[00:05:27.940 --> 00:05:33.260]  你去世我去世 你難過在所難免 可是
[00:05:33.260 --> 00:05:42.820]  請你仍要堅持以他的視覺來過活 繼續爲他鬥跑守 你要牢牢記住
[00:05:42.820 --> 00:05:48.820]  他也爲你和所有渴望他再來的人預備了官免
[00:05:48.820 --> 00:05:52.980]  弟兄姊妹 這位弟兄是誰呢
[00:05:53.740 --> 00:06:00.500]  對 他就是使徒保羅 我們來看他的遺言記載在提摩太後書第四章
[00:06:00.500 --> 00:06:08.700]  我們選讀六到八節 但是請弟兄姐妹 姊妹有聖經的話就翻開來 我們都會看一些上文下理的
[00:06:08.700 --> 00:06:11.100]  我們看第六到八節
[00:06:11.100 --> 00:06:19.300]  我現在被交電 我離世的時候到了 那美好的賬我已經打過了
[00:06:19.780 --> 00:06:24.700]  剛跑的路我已經跑進了 所信的道我已經守住了
[00:06:24.700 --> 00:06:32.340]  從今以後有公義的冠冕爲我存留 就是按照公義審判的主到了那日要賜給我的
[00:06:32.340 --> 00:06:36.860]  不但賜給我 也賜給凡愛慕他顯現的人
[00:06:36.860 --> 00:06:39.020]  弟兄姊妹
[00:06:39.020 --> 00:06:49.740]  保羅其實沒有自命清高 看他的書信 我們知道生活裏的種種的現實 例如生計問題呀 疾病啊 工作壓力啊 他沒有避而不談
[00:06:50.380 --> 00:06:55.620]  可是這些東西沒有削弱他對神國度完全實現的期盼
[00:06:55.620 --> 00:07:00.140]  八節所述的冠冕代表主對保羅的認可
[00:07:00.140 --> 00:07:08.380]  原本是指運動員呢 當時運動員在比賽勝出之後會戴上的 一般用書頁來編程
[00:07:08.380 --> 00:07:11.100]  這裏我們發現保羅是
[00:07:11.660 --> 00:07:20.260]  啊 以將來主再來的視覺來決定怎樣度過他的此時此刻的 因着這個永恆的事業
[00:07:20.260 --> 00:07:22.860]  他主要的人生目標 如果看
[00:07:22.860 --> 00:07:29.860]  提摩太後書四章的話就是知道是傳道 四章二到二節還有五節講的
[00:07:29.860 --> 00:07:34.980]  弟兄姊妹 你怎樣理解傳道這兩個字呢 可能馬上想到的是
