
[00:00:00.000 --> 00:00:01.960]  2020年
[00:00:01.960 --> 00:00:06.640]  我們「豐盛家」的主題很簡單
[00:00:06.640 --> 00:00:09.440]  先讀一節的金句
[00:00:09.440 --> 00:00:13.400]  已不鎖書四章十一到十三節
[00:00:13.400 --> 00:00:15.520]  會是我們未來幾年
[00:00:15.520 --> 00:00:16.840]  不單是2020年
[00:00:16.840 --> 00:00:18.960]  未來幾年的主題經文
[00:00:18.960 --> 00:00:20.680]  既然是未來幾年
[00:00:20.680 --> 00:00:22.600]  大家怎樣都要讀一讀
[00:00:22.600 --> 00:00:23.320]  試試吧
[00:00:23.320 --> 00:00:25.400]  這個是新標點和合本
[00:00:25.400 --> 00:00:27.320]  不是和修本
[00:00:27.320 --> 00:00:30.760]  如果背金句我喜歡背新標點和合本
[00:00:30.760 --> 00:00:32.960]  有少少文言的味道
[00:00:32.960 --> 00:00:35.120]  眼氣覺得感覺好些
[00:00:35.120 --> 00:00:35.920]  不知為何
[00:00:35.920 --> 00:00:36.800]  試一試
[00:00:36.800 --> 00:00:38.280]  準備起
[00:00:38.280 --> 00:00:39.760]  他所賜的
[00:00:39.760 --> 00:00:40.960]  有使徒
[00:00:40.960 --> 00:00:42.200]  有先知
[00:00:42.200 --> 00:00:43.880]  有傳福音的
[00:00:43.880 --> 00:00:46.080]  有牧師和教師
[00:00:46.080 --> 00:00:48.320]  為要成全聖徒
[00:00:48.320 --> 00:00:49.840]  各盡其職
[00:00:49.840 --> 00:00:52.160]  建立基督的身體
[00:00:52.160 --> 00:00:56.760]  直等到我們眾人在真道上同歸於一
[00:00:56.760 --> 00:00:58.840]  認識神的兒子
[00:00:58.840 --> 00:01:00.800]  得以長大成人
[00:01:00.800 --> 00:01:03.680]  滿有基督長成的新娘
[00:01:03.680 --> 00:01:04.680]  這節經文
[00:01:04.680 --> 00:01:05.560]  很熟悉的了
[00:01:05.560 --> 00:01:07.040]  是嗎
[00:01:07.040 --> 00:01:08.680]  大家都讀過很多次
[00:01:08.680 --> 00:01:10.000]  應該聽到的
[00:01:10.000 --> 00:01:12.560]  風聖家都說過不少
[00:01:12.560 --> 00:01:14.520]  這篇經文主要就是說
[00:01:14.520 --> 00:01:16.360]  教牧
[00:01:16.360 --> 00:01:18.520]  其中一個很重要的職責
[00:01:18.520 --> 00:01:20.160]  是要成全聖徒
[00:01:20.160 --> 00:01:21.320]  各盡其職
[00:01:21.320 --> 00:01:23.800]  建立基督的身體
[00:01:23.800 --> 00:01:27.480]  但這節經文上文說的是甚麼呢
[00:01:27.480 --> 00:01:28.520]  上文很簡單
[00:01:28.520 --> 00:01:29.520]  原來二弗所書
[00:01:29.520 --> 00:01:31.480]  第四章一至六節就是說
[00:01:31.480 --> 00:01:35.720]  如何竭力保持聖靈所賜的合一
[00:01:35.720 --> 00:01:37.720]  所以包括了大家很熟悉的經文
[00:01:37.720 --> 00:01:39.640]  凡事謙虛 溫柔 忍耐
[00:01:39.640 --> 00:01:42.840]  用愛心互相寬容 用和平彼此聯絡
[00:01:42.840 --> 00:01:45.760]  竭力保守聖靈所賜合而為一的心
[00:01:45.760 --> 00:01:47.520]  就是這段經文
[00:01:47.520 --> 00:01:50.240]  說到教會裏面
[00:01:50.240 --> 00:01:52.520]  身體照一個 聖靈照一位
[00:01:52.520 --> 00:01:54.960]  一主一信 一洗一神
[00:01:54.960 --> 00:01:58.360]  原來上文就是說到教會的合一
[00:01:58.360 --> 00:01:59.600]  上文就是說到
[00:01:59.600 --> 00:02:01.160]  教會裏面有不同的弟兄姊妹
[00:02:01.160 --> 00:02:02.280]  來自不同的背景
[00:02:02.280 --> 00:02:03.680]  有不同的觀點
[00:02:03.680 --> 00:02:05.840]  在上帝裏面有不同的經歷
[00:02:05.840 --> 00:02:08.800]  但是我們都能夠合一
[00:02:08.800 --> 00:02:11.000]  以至第七節 第八節
[00:02:11.000 --> 00:02:12.880]  我們每個人都是蒙恩
[00:02:12.880 --> 00:02:17.200]  照著基督所諒解每個人的恩賜
[00:02:17.200 --> 00:02:18.480]  說的是甚麼呢
[00:02:18.480 --> 00:02:21.680]  恩賜兩個字 即是禮物的意思
[00:02:21.680 --> 00:02:26.000]  即是說 我們蒙受上帝的恩典
[00:02:26.000 --> 00:02:28.640]  我們照著主耶穌基督
[00:02:28.640 --> 00:02:30.840]  按著我們每一個人的性情
[00:02:30.840 --> 00:02:31.840]  我們的特性
[00:02:31.840 --> 00:02:34.800]  我們生命的階段
[00:02:34.800 --> 00:02:36.760]  我們跟祂的經歷
[00:02:36.760 --> 00:02:39.080]  祂每個時候
[00:02:39.080 --> 00:02:40.080]  不同的時候
[00:02:40.080 --> 00:02:41.720]  會賜給我們每個人
[00:02:41.720 --> 00:02:46.240]  度身訂做的禮物
[00:02:46.240 --> 00:02:49.040]  這份就是 有些時候我們叫恩賜
[00:02:49.040 --> 00:02:50.400]  上帝所給我們的禮物
[00:02:50.400 --> 00:02:54.080]  當然不單只是我們服侍主的恩賜
[00:02:54.080 --> 00:02:56.800]  但至少我們很肯定一件事
[00:02:56.800 --> 00:02:59.440]  每個人都能夠蒙恩
[00:02:59.440 --> 00:03:02.560]  因為主耶穌基督按著你
[00:03:02.560 --> 00:03:04.120]  你這個獨特的你
[00:03:04.120 --> 00:03:07.400]  給你獨特的禮物
[00:03:07.400 --> 00:03:09.720]  即使我們不需要比較
[00:03:09.720 --> 00:03:11.400]  亦都不能比較
