
[00:00:00.000 --> 00:00:04.680]  剛才我們的經文都已經讀了
[00:00:04.680 --> 00:00:09.280]  我們見到在《新命紀》十四章一至二節
[00:00:09.280 --> 00:00:11.280]  讓我再讀一次
[00:00:11.280 --> 00:00:14.680]  「你們是耶和華你們神的兒女
[00:00:14.680 --> 00:00:17.480]  不可為死人用刀劃身
[00:00:17.480 --> 00:00:19.680]  也不可將額上剃光
[00:00:19.680 --> 00:00:23.680]  因為你歸耶和華你神為聖傑的民
[00:00:23.680 --> 00:00:25.880]  耶和華從地上的萬民中
[00:00:25.880 --> 00:00:32.080]  揀選你特作自己的子民」
[00:00:32.080 --> 00:00:36.680]  你說什麼叫為死人用刀劃身
[00:00:36.680 --> 00:00:41.480]  你說什麼是剃光自己的額頭
[00:00:41.480 --> 00:00:43.080]  你不明白經文
[00:00:43.080 --> 00:00:44.880]  你說不關我事
[00:00:44.880 --> 00:00:49.280]  你蓋上聖經你就說算了
[00:00:49.280 --> 00:00:51.680]  如果你這樣的態度來讀聖經的時候
[00:00:51.680 --> 00:00:53.080]  你會發覺
[00:00:53.080 --> 00:00:55.680]  尤其是讀舊約律例典章的時候
[00:00:55.680 --> 00:00:57.880]  你有很多都不會明白
[00:00:57.880 --> 00:01:00.880]  你就會沒有那麼大的得著
[00:01:00.880 --> 00:01:03.480]  記不記得我上一次和大家說
[00:01:03.480 --> 00:01:06.480]  讀《新命紀》十二章的時候
[00:01:06.480 --> 00:01:09.680]  說我們應該是從舊約的律例典章
[00:01:09.680 --> 00:01:11.080]  舊約的教導
[00:01:11.080 --> 00:01:15.680]  來尋求有我們現代人的應用
[00:01:15.680 --> 00:01:17.080]  我曾經說過
[00:01:17.080 --> 00:01:18.680]  在讀十二章
[00:01:18.680 --> 00:01:21.880]  神要以色列人是求告他的名
[00:01:21.880 --> 00:01:24.480]  不是求告偶像的名
[00:01:24.480 --> 00:01:28.080]  迦南人是求告很多偶像的名
[00:01:28.080 --> 00:01:29.680]  我也說過我們現代人
[00:01:29.680 --> 00:01:32.680]  也有很多很多的偶像在我們的心裡
[00:01:32.680 --> 00:01:34.480]  有很多尋求別的名
[00:01:34.480 --> 00:01:35.480]  有什麼名呢
[00:01:35.480 --> 00:01:37.080]  名利的名
[00:01:37.080 --> 00:01:38.080]  還有什麼名呢
[00:01:38.080 --> 00:01:39.680]  名牌的名
[00:01:39.680 --> 00:01:43.280]  我們尋求很多這些東西
[00:01:43.280 --> 00:01:44.880]  第二點我們又說
[00:01:44.880 --> 00:01:46.480]  神是指示以色列人
[00:01:46.480 --> 00:01:50.080]  要在他指定的地方來敬拜
[00:01:50.080 --> 00:01:54.480]  而迦南人他們就在各地各處來敬拜神
