
[00:00:00.000 --> 00:00:04.460]  這本聖經是分開新約和舊約兩部份
[00:00:04.460 --> 00:00:07.960]  新約頭的四卷書是甚麼?
[00:00:07.960 --> 00:00:10.080]  《馬太福音》
[00:00:10.080 --> 00:00:12.120]  《馬可福音》
[00:00:12.120 --> 00:00:14.460]  《奴家福音》
[00:00:14.460 --> 00:00:16.000]  《約翰福音》
[00:00:16.000 --> 00:00:17.720]  這四本福音書
[00:00:17.720 --> 00:00:20.000]  很多人喜歡看這四本書
[00:00:20.000 --> 00:00:21.760]  因為它講述一個故事
[00:00:21.760 --> 00:00:24.480]  講述耶穌基督的故事
[00:00:24.480 --> 00:00:28.600]  一個故事到了最後就是大結局
[00:00:28.600 --> 00:00:33.400]  大結局通常是整個故事的高潮
[00:00:33.400 --> 00:00:34.720]  我想問問大家
[00:00:34.720 --> 00:00:39.240]  《馬太福音》的大結局是甚麼?
[00:00:39.240 --> 00:00:41.920]  你說我揭開《馬太福音》最後那一章
[00:00:41.920 --> 00:00:43.520]  就應該是了
[00:00:43.520 --> 00:00:44.200]  是呀
[00:00:44.200 --> 00:00:48.960]  你試試揭開《馬太福音》最後那一章是哪一章?
[00:00:48.960 --> 00:00:51.080]  你找不找到哪個大結局?
[00:00:51.080 --> 00:00:53.640]  《馬太福音》最後那一章第28章
[00:00:53.640 --> 00:00:58.640]  大結局在第18至19節我讀給你聽
[00:00:58.640 --> 00:01:04.560]  那時候是耶穌升天之前對門徒所講的最後那幾句話
[00:01:04.560 --> 00:01:10.200]  這就是整本《馬太福音》的高潮
[00:01:10.200 --> 00:01:14.640]  耶穌說:天上地下所有的權柄都賜給我了
[00:01:14.640 --> 00:01:18.040]  所以你們要去使萬民作我的門徒
[00:01:18.040 --> 00:01:22.040]  奉父子聖靈的名給他們施洗
[00:01:22.040 --> 00:01:26.160]  凡我所吩咐你們的都教訓他們遵守
[00:01:26.160 --> 00:01:32.480]  我就常與你們同在直到世界的末了
[00:01:32.480 --> 00:01:33.880]  很多基督徒都知道
[00:01:33.880 --> 00:01:37.200]  其實這就是我們所講的大使命
[00:01:37.200 --> 00:01:39.040]  Great Commission
[00:01:39.040 --> 00:01:41.280]  耶穌基督臨升天之前
[00:01:41.280 --> 00:01:44.360]  頒佈給我們一個使命
[00:01:44.360 --> 00:01:45.320]  一個Mission
[00:01:45.320 --> 00:01:48.520]  一個Marching Order
[00:01:48.520 --> 00:01:51.360]  很多基督徒知道《馬太福音》有個大使命
[00:01:51.360 --> 00:01:55.640]  但是你知不知道《路加福音》也有個大使命?
[00:01:55.640 --> 00:01:57.720]  你知不知道那個大使命在哪裡?
[00:01:57.720 --> 00:02:02.120]  聰明的就去找《路加福音》最後那一章
[00:02:02.120 --> 00:02:05.080]  最後那一章就是《路加福音》第24章
[00:02:05.080 --> 00:02:06.440]  也有個大使命
[00:02:06.440 --> 00:02:09.560]  第46至49節我就讀給你聽
[00:02:09.560 --> 00:02:11.520]  耶穌又對他們說
[00:02:11.520 --> 00:02:13.160]  「照經上所示的
[00:02:13.160 --> 00:02:14.680]  基督必受害
[00:02:14.680 --> 00:02:16.560]  第三日從死裡復活」
[00:02:16.560 --> 00:02:18.960]  那時候耶穌基督已經復活了
[00:02:18.960 --> 00:02:20.840]  在升天之前對他們講
[00:02:20.840 --> 00:02:24.920]  「並且人要奉他的名傳悔改赦罪的道
[00:02:24.920 --> 00:02:28.200]  從耶路撒冷起直傳到萬邦
[00:02:28.200 --> 00:02:31.000]  你們就是這些事的見證
[00:02:31.000 --> 00:02:32.840]  我要將我父所應許的
[00:02:32.840 --> 00:02:34.360]  降在你們身上
[00:02:34.360 --> 00:02:36.320]  你們要在城裡等候
[00:02:36.320 --> 00:02:41.680]  直到你們領受從上頭來的能力」
[00:02:41.680 --> 00:02:43.560]  同一個大使命
[00:02:43.560 --> 00:02:46.440]  有些聖經學者是這樣講的
[00:02:46.440 --> 00:02:49.920]  如果你想精心研究這兩本書
[00:02:49.920 --> 00:02:52.040]  《馬太福音》和《路加福音》
[00:02:52.040 --> 00:02:55.080]  你應該從故事的大結局開始
[00:02:55.080 --> 00:02:56.160]  看回頭
[00:02:56.160 --> 00:02:59.440]  即是說你想精研這兩本書
[00:02:59.440 --> 00:03:03.680]  你要從大使命那裡開始
[00:03:03.680 --> 00:03:04.880]  直到看回頭
[00:03:04.880 --> 00:03:07.880]  你就明白有不同的亮光
[00:03:07.880 --> 00:03:10.600]  為什麼要從大使命開始呢?
[00:03:10.600 --> 00:03:12.280]  有一位神學家是這樣講的
[00:03:12.280 --> 00:03:15.120]  他說舊約聖經和新約聖經
[00:03:15.120 --> 00:03:16.120]  不同在哪裡?
[00:03:16.120 --> 00:03:24.000]  最決定性的分別就是宣教
[00:03:24.000 --> 00:03:28.760]  新約基本上是一本宣教的書
[00:03:28.760 --> 00:03:29.880]  你同不同意嗎?
[00:03:29.880 --> 00:03:32.280]  新約聖經和舊約最大的分別
[00:03:32.280 --> 00:03:35.080]  新約基本上是一本宣教的書
[00:03:35.080 --> 00:03:38.000]  即是說舊約不是一本宣教的書
[00:03:38.000 --> 00:03:42.200]  你試試在舊約裡找不找到一個宣教士
[00:03:42.200 --> 00:03:45.000]  舊約有沒有宣教士?
[00:03:45.000 --> 00:03:46.480]  有沒有使徒?
[00:03:46.480 --> 00:03:47.760]  牧師有
[00:03:47.760 --> 00:03:50.160]  舊約的約拿才知道
[00:03:50.160 --> 00:03:53.160]  記不記得約拿?
[00:03:53.160 --> 00:03:59.200]  約拿在一個大城市叫利利尾傳福音
[00:03:59.200 --> 00:04:00.320]  福音是什麼呢?
[00:04:00.320 --> 00:04:02.120]  福音就是好消息
[00:04:02.120 --> 00:04:05.720]  約拿在利利尾傳什麼福音?
[00:04:05.720 --> 00:04:06.840]  他講了一句話
[00:04:06.840 --> 00:04:09.680]  再過四十天利利尾就要毀滅了
[00:04:09.680 --> 00:04:11.280]  這是不是好消息?
[00:04:11.280 --> 00:04:13.240]  這是壞消息
[00:04:13.240 --> 00:04:16.000]  約拿根本就不想去利利尾
[00:04:16.000 --> 00:04:18.000]  他想去西班牙
[00:04:18.000 --> 00:04:21.600]  但是上帝就找了一條潛水艇
[00:04:21.600 --> 00:04:24.280]  將他運回利利尾
[00:04:24.280 --> 00:04:26.520]  那條大魚吞了約拿
[00:04:26.520 --> 00:04:28.240]  游了三天
[00:04:28.240 --> 00:04:29.920]  套在岸上
[00:04:29.920 --> 00:04:31.920]  他就悔改
[00:04:31.920 --> 00:04:34.000]  就去利利尾那裡
[00:04:34.000 --> 00:04:36.880]  再過四十天這個城市就要毀滅
[00:04:36.880 --> 00:04:40.960]  如果我們開報道會請一個人來
[00:04:40.960 --> 00:04:43.920]  再過四十天太古城堂就要毀滅
[00:04:43.920 --> 00:04:46.440]  牧師有沒有搞錯?請一個這樣的人回來講道
[00:04:46.440 --> 00:04:47.880]  約拿就這樣講
[00:04:47.880 --> 00:04:50.520]  那些人全部信了主
[00:04:50.520 --> 00:04:54.520]  這個大城市不能分辨左右手都有12萬人
[00:04:54.520 --> 00:04:57.800]  即是細蚊仔很小的時候都有12萬人
[00:04:57.800 --> 00:05:00.240]  即是整個城市有100萬人
[00:05:00.240 --> 00:05:01.600]  全部信了主
[00:05:01.600 --> 00:05:03.320]  約拿應該很高興
[00:05:03.320 --> 00:05:05.320]  他不是 他生氣了
[00:05:05.320 --> 00:05:07.120]  還去埋怨神
[00:05:07.120 --> 00:05:09.760]  你無端白事埋怨神已經不對
[00:05:09.760 --> 00:05:12.640]  現在神帶領你去帶了這麼多人信主
[00:05:12.640 --> 00:05:13.560]  你還埋怨神
[00:05:13.560 --> 00:05:17.040]  所以約拿其實就不算是一個宣教士
[00:05:17.040 --> 00:05:19.040]  從任何角度看來都不是
[00:05:19.040 --> 00:05:25.120]  如果你真的要在舊約裏面去找一個宣教士
[00:05:25.120 --> 00:05:26.640]  你只能找到一個
[00:05:26.640 --> 00:05:30.640]  就是上帝自己
[00:05:30.640 --> 00:05:31.760]  新約就不同了
[00:05:31.760 --> 00:05:34.240]  新約聖經由《四封音》一直到《啟示錄》
[00:05:34.240 --> 00:05:36.800]  全部都和宣教有關
[00:05:36.800 --> 00:05:38.800]  所以弟兄姊妹
[00:05:38.800 --> 00:05:42.200]  既然《新約》是一本宣教的書
[00:05:42.200 --> 00:05:44.600]  我鼓勵大家回家
[00:05:44.600 --> 00:05:47.800]  再看《馬太福音》和《路加福音》
[00:05:47.800 --> 00:05:51.800]  從一個宣教的角度來看
[00:05:51.800 --> 00:05:54.320]  從大使命的角度來看
[00:05:54.320 --> 00:05:56.280]  你會有一些不同的亮光
[00:05:56.280 --> 00:05:58.800]  是你以前看不到的
[00:05:58.800 --> 00:06:04.120]  或者你說
[00:06:04.120 --> 00:06:04.880]  牧師
[00:06:04.880 --> 00:06:07.600]  福音書不是講耶穌的嗎?
[00:06:07.600 --> 00:06:09.600]  為什麼會講宣教?
[00:06:09.600 --> 00:06:11.600]  弟兄姊妹
[00:06:11.600 --> 00:06:15.000]  「宣教」的英文名字
[00:06:15.000 --> 00:06:18.000]  翻譯為「mission」
[00:06:18.000 --> 00:06:22.000]  或者可以翻譯成為「使命」
[00:06:22.000 --> 00:06:28.000]  其實這個字本身有段故事
[00:06:28.000 --> 00:06:30.000]  這個「mission」這個字原本
[00:06:30.000 --> 00:06:33.000]  在一千年前是一個專有名詞
[00:06:33.000 --> 00:06:35.000]  只講一件事就是講上帝
[00:06:35.000 --> 00:06:37.000]  講三位一體的上帝
[00:06:37.000 --> 00:06:39.000]  所以一千年前
[00:06:39.000 --> 00:06:40.000]  如果有人說
[00:06:40.000 --> 00:06:41.000]  宣教
[00:06:41.000 --> 00:06:43.000]  如果你是懂事的人
[00:06:43.000 --> 00:06:46.400]  你會知道原來是講上帝的
[00:06:46.400 --> 00:06:49.600]  講三位一體之間的配搭
[00:06:49.600 --> 00:06:50.800]  講什麼呢?
[00:06:50.800 --> 00:06:53.800]  宣教使命
[00:06:53.800 --> 00:06:54.800]  就是「差獻」
[00:06:54.800 --> 00:06:57.200]  宣教原本的字就是「差獻」
[00:06:57.200 --> 00:07:01.800]  是指「聖父差獻聖子」
[00:07:01.800 --> 00:07:04.800]  「聖父」和「聖子差獻聖靈」
[00:07:04.800 --> 00:07:06.000]  就是指這件事
[00:07:06.000 --> 00:07:10.000]  由初期教會一直到十六世紀
[00:07:10.000 --> 00:07:11.000]  一千五百年
[00:07:11.000 --> 00:07:14.000]  人們明白宣教這個字
[00:07:14.000 --> 00:07:17.000]  原來是指三位一體的神
[00:07:17.000 --> 00:07:19.000]  三位之間的配搭
[00:07:19.000 --> 00:07:21.000]  「聖父差獻聖子」
