
[00:00:00.000 --> 00:00:04.000]  我們繼續思想菲律賓書的信息
[00:00:04.000 --> 00:00:06.000]  我們來到第三章
[00:00:06.000 --> 00:00:11.000]  今天我們要看的是12節至第16節
[00:00:11.000 --> 00:00:18.000]  在菲律賓書第三章
[00:00:18.000 --> 00:00:23.000]  保羅跟我們講到他個人的見證
[00:00:23.000 --> 00:00:25.000]  他如何得救
[00:00:25.000 --> 00:00:30.000]  然後他在寫這封信的時候
[00:00:30.000 --> 00:00:33.000]  他如何繼續努力追求
[00:00:33.000 --> 00:00:36.000]  然後講到未來神的救恩
[00:00:36.000 --> 00:00:40.000]  所以我們看到這張聖經保羅見證
[00:00:40.000 --> 00:00:44.000]  講到救恩的三個時間式
[00:00:44.000 --> 00:00:46.000]  就是救恩的過去
[00:00:46.000 --> 00:00:48.000]  第一節到十一節
[00:00:48.000 --> 00:00:50.000]  救恩的現在
[00:00:50.000 --> 00:00:52.000]  十二節到十六節
[00:00:52.000 --> 00:00:55.000]  然後救恩的未來的將來
[00:00:55.000 --> 00:00:58.000]  十七節到二十一節
[00:00:58.000 --> 00:01:03.000]  請我們同聲來讀這一段經文
[00:01:03.000 --> 00:01:08.000]  菲律賓書第三章十二節到十六節
[00:01:08.000 --> 00:01:12.000]  這不是說我已經得着了
[00:01:12.000 --> 00:01:14.000]  已經完全了
[00:01:14.000 --> 00:01:16.000]  我乃是竭力追求
[00:01:16.000 --> 00:01:19.000]  或者可以得着基督耶穌
[00:01:19.000 --> 00:01:21.000]  所以得着我的
[00:01:21.000 --> 00:01:22.000]  弟兄們
[00:01:22.000 --> 00:01:25.000]  我不是以爲自己已經得着了
[00:01:25.000 --> 00:01:27.000]  我只有一件事
[00:01:27.000 --> 00:01:31.000]  就是忘記背後努力面前的
[00:01:31.000 --> 00:01:33.000]  向着標杆直跑
[00:01:33.000 --> 00:01:36.000]  要得神在基督耶穌裏
[00:01:36.000 --> 00:01:39.000]  從上面照我來得的獎賞
[00:01:39.000 --> 00:01:43.000]  所以我們中間若是面前人
[00:01:43.000 --> 00:01:45.000]  總要存這樣的心
[00:01:45.000 --> 00:01:52.000]  神也必於此指示你們
[00:01:52.000 --> 00:01:55.000]  然而我們到了什麼地步
[00:01:55.000 --> 00:01:58.000]  就當照着什麼地步走
[00:01:58.000 --> 00:02:02.000]  第三章保祿
[00:02:02.000 --> 00:02:04.000]  首先上一次我們思想到
[00:02:04.000 --> 00:02:07.000]  他講到他如何得救
[00:02:07.000 --> 00:02:10.000]  他不是靠自己
[00:02:10.000 --> 00:02:12.000]  不是靠自己的努力
[00:02:12.000 --> 00:02:14.000]  去得着救恩
[00:02:14.000 --> 00:02:19.000]  當保祿講到他以前
[00:02:19.000 --> 00:02:22.000]  信耶穌如何得救的時候
[00:02:22.000 --> 00:02:24.000]  他強調神的恩典
[00:02:24.000 --> 00:02:26.000]  一切都是神的恩典
[00:02:26.000 --> 00:02:29.000]  在神的恩典之中
[00:02:29.000 --> 00:02:31.000]  他得到救恩
[00:02:31.000 --> 00:02:33.000]  寶貴的救恩
[00:02:33.000 --> 00:02:35.000]  就是得着耶穌基督
[00:02:35.000 --> 00:02:38.000]  然後他講到
[00:02:38.000 --> 00:02:41.000]  十二節開始
[00:02:41.000 --> 00:02:44.000]  他講到他現在
[00:02:44.000 --> 00:02:46.000]  他已經得救
[00:02:46.000 --> 00:02:49.000]  但現在他仍然繼續靠主
[00:02:49.000 --> 00:02:51.000]  來勝過罪惡
[00:02:51.000 --> 00:02:53.000]  來勝過這個肉體
[00:02:53.000 --> 00:02:56.000]  讓他能夠在他的生活上
[00:02:56.000 --> 00:03:00.000]  俗令生命不斷地長進
[00:03:00.000 --> 00:03:02.000]  不斷地成長
[00:03:02.000 --> 00:03:05.000]  這個就是救恩的現在
[00:03:05.000 --> 00:03:08.000]  因爲救恩不是隻是過去
[00:03:08.000 --> 00:03:12.000]  我們舉手、決志信耶穌
[00:03:12.000 --> 00:03:15.000]  那個是我們得救的時刻
[00:03:15.000 --> 00:03:16.000]  得救之後
[00:03:16.000 --> 00:03:21.000]  神學上我們叫成聖功夫
[00:03:21.000 --> 00:03:24.000]  就是我們如何靠聖靈
[00:03:24.000 --> 00:03:26.000]  在我們心中的工作
[00:03:26.000 --> 00:03:30.000]  讓我們成爲聖潔
[00:03:30.000 --> 00:03:32.000]  我們更能夠被主使用
[00:03:32.000 --> 00:03:34.000]  讓我們在每日的生活中
[00:03:34.000 --> 00:03:38.000]  我們經歷主的同在
[00:03:38.000 --> 00:03:40.000]  所以救恩的現在式
[00:03:40.000 --> 00:03:42.000]  就是保羅這裏所講的
[00:03:42.000 --> 00:03:45.000]  我們剛纔讀的經文
[00:03:45.000 --> 00:03:51.000]  我們要留意的就是
[00:03:51.000 --> 00:03:53.000]  講到保羅
[00:03:53.000 --> 00:03:55.000]  他以前如何得救的時候
[00:03:55.000 --> 00:03:57.000]  他講到恩典
[00:03:57.000 --> 00:03:59.000]  似乎十二節開始
[00:03:59.000 --> 00:04:01.000]  他講到他自己的努力
[00:04:01.000 --> 00:04:06.000]  是否得救的現在式
[00:04:06.000 --> 00:04:09.000]  我們不斷地經歷主
[00:04:09.000 --> 00:04:11.000]  拯救我們脫離罪惡
[00:04:11.000 --> 00:04:13.000]  脫離我們的軟弱
[00:04:13.000 --> 00:04:16.000]  這種不斷地得到聖
[00:04:16.000 --> 00:04:18.000]  在我們心中工作
[00:04:18.000 --> 00:04:20.000]  拯救我們
[00:04:20.000 --> 00:04:23.000]  不是靠恩典嗎?不是
[00:04:23.000 --> 00:04:26.000]  似乎這裏看來是靠自己
[00:04:26.000 --> 00:04:28.000]  這不是說我已經得着了
[00:04:28.000 --> 00:04:31.000]  已經完全蓮花奶舌揭裂追求
[00:04:31.000 --> 00:04:35.000]  得救之後保羅揭裂的追求
[00:04:35.000 --> 00:04:39.000]  這是不是等於保羅
