
[00:00:00.000 --> 00:00:04.420]  今天和大家分享的題目是挺有趣的
[00:00:04.420 --> 00:00:06.420]  叫做「愛不愛由你」
[00:00:06.420 --> 00:00:08.340]  「愛不愛由你」
[00:00:08.340 --> 00:00:11.480]  其實我們中國人或者用廣東話
[00:00:11.480 --> 00:00:13.480]  很多時候說的「愛」字
[00:00:13.480 --> 00:00:17.000]  其實「愛」字有很多的意思在裏面的
[00:00:17.000 --> 00:00:19.000]  「愛」字有很多的意思在裏面的
[00:00:19.000 --> 00:00:22.840]  希臘文有五個字用來形容「愛」的
[00:00:22.840 --> 00:00:24.200]  很厲害
[00:00:24.200 --> 00:00:27.480]  五個不同的希臘文的字去形容「愛」
[00:00:27.480 --> 00:00:30.300]  有「神的愛」
[00:00:30.300 --> 00:00:34.300]  是用意志力的
[00:00:34.300 --> 00:00:37.420]  是有決定性的
[00:00:37.420 --> 00:00:42.800]  另外當然有一個叫做「弟兄姊妹之間」
[00:00:42.800 --> 00:00:44.800]  所以有一個Philadelphia
[00:00:44.800 --> 00:00:48.420]  Philadelphia這個字其實是從希臘文出來的時候
[00:00:48.420 --> 00:00:50.420]  就是brotherly love
[00:00:50.420 --> 00:00:52.420]  兄弟姊妹之間
[00:00:52.420 --> 00:00:55.700]  這個就是和一家人兄弟姊妹
[00:00:55.700 --> 00:00:57.700]  另外是會有
[00:00:57.700 --> 00:00:59.700]  是關於到
[00:00:59.700 --> 00:01:04.840]  我們可以說是男女之間的愛也有
[00:01:04.840 --> 00:01:09.140]  甚至是有一種很有passion的
[00:01:09.140 --> 00:01:10.540]  passion到一個地步
[00:01:10.540 --> 00:01:12.540]  是一種慾望的愛也會有
[00:01:12.540 --> 00:01:15.180]  所以希臘文裏面有五個字是用「愛」
[00:01:15.180 --> 00:01:18.780]  我們中文就不會這樣「愛」
[00:01:18.780 --> 00:01:22.380]  就是溺愛、恆愛、大愛
[00:01:22.380 --> 00:01:24.140]  加多一個形容詞下去
[00:01:24.140 --> 00:01:29.060]  就將這個「愛」字變化到很多很多的變化
[00:01:29.060 --> 00:01:32.700]  但是有一個「愛」字的意思就是
[00:01:32.700 --> 00:01:33.700]  你愛不愛
[00:01:33.700 --> 00:01:35.700]  你愛不愛的意思是什麼
[00:01:35.700 --> 00:01:37.700]  其實是相同於你要不要
[00:01:37.700 --> 00:01:38.700]  是不是
[00:01:38.700 --> 00:01:40.700]  你愛什麼
[00:01:40.700 --> 00:01:42.700]  有時候你要什麼
[00:01:42.700 --> 00:01:43.700]  你要粉還是麵
[00:01:43.700 --> 00:01:45.700]  要A餐B餐還是
[00:01:45.700 --> 00:01:47.700]  或者你愛A餐B餐C餐都可以
[00:01:47.700 --> 00:01:50.700]  所以很多時候這個「愛」字是有
[00:01:50.700 --> 00:01:54.700]  你要不要的意思在裏面
[00:01:54.700 --> 00:01:55.700]  成份在裏面
[00:01:55.700 --> 00:02:00.700]  今天和大家看的經文是約翰福音三章十六節
[00:02:00.700 --> 00:02:03.700]  其實他有上文下理的
[00:02:03.700 --> 00:02:06.700]  所以我今天帶了一本聖經出來
[00:02:06.700 --> 00:02:12.700]  我首先和大家看看這個上文下理
[00:02:12.700 --> 00:02:14.700]  大家如果有聖經可以看
