
[00:00:00.000 --> 00:00:02.840]  今天很高興和你們分享一個題目
[00:00:02.840 --> 00:00:06.700]  題目就是積極幫助人去認識神
[00:00:06.700 --> 00:00:13.260]  或者是如何帶領人去認識這位主耶穌
[00:00:13.260 --> 00:00:18.680]  上個星期就說到
[00:00:18.680 --> 00:00:23.300]  如何成為一個讓神開心的人
[00:00:23.300 --> 00:00:30.280]  這個系列的題目就是讓神開心的人
[00:00:30.280 --> 00:00:33.260]  上一次就說我們一定要有信心
[00:00:33.260 --> 00:00:35.900]  與神同行的時候
[00:00:35.900 --> 00:00:38.280]  我們就可以讓神開心
[00:00:38.280 --> 00:00:39.580]  我們要有信心
[00:00:39.580 --> 00:00:42.400]  上一次就說到以樂
[00:00:42.400 --> 00:00:46.420]  今天我們繼續下去第二講
[00:00:46.420 --> 00:00:49.800]  就是說如何積極幫助人去認識神
[00:00:49.800 --> 00:00:51.080]  當我們這樣做的時候
[00:00:51.080 --> 00:00:54.600]  我們就可以讓神很開心
[00:00:54.600 --> 00:00:59.700]  這一次我們就用施洗約翰作為一個例子
[00:00:59.700 --> 00:01:03.800]  從他的身上我們可以學習一些功課
[00:01:03.800 --> 00:01:08.280]  在《約翰福音》第一章第六至八節和第十五節
[00:01:08.280 --> 00:01:09.280]  他們是這樣說的
[00:01:09.280 --> 00:01:11.480]  有一個人名叫約翰
[00:01:11.480 --> 00:01:13.480]  是上帝所差遣的使者
[00:01:13.480 --> 00:01:15.880]  他來為那光作證
[00:01:15.880 --> 00:01:19.800]  為要使大家聽見他的訊息而信
[00:01:20.120 --> 00:01:22.200]  他本身不是那光
[00:01:22.200 --> 00:01:24.720]  而是要為那光作見證
[00:01:24.720 --> 00:01:28.360]  約翰為他作見證呼喊說
[00:01:28.360 --> 00:01:30.360]  關於他我曾經說過
[00:01:30.360 --> 00:01:33.280]  他在我以後來卻比我偉大
[00:01:33.280 --> 00:01:36.960]  因為我出生以前他已經存在了
