
[00:00:00.000 --> 00:00:02.220]  各位弟兄姊妹 主來平安
[00:00:02.220 --> 00:00:08.580]  很高興今天再一次在網上的崇拜和大家見面
[00:00:08.580 --> 00:00:13.760]  這個新型冠狀的病毒
[00:00:13.760 --> 00:00:17.360]  影響了我們全世界很多個月
[00:00:17.360 --> 00:00:20.780]  特別是我們英國 亦都影響很大
[00:00:20.780 --> 00:00:27.800]  最近發覺案例和死亡率開始下降
[00:00:28.600 --> 00:00:32.220]  主要原因是因為我們坐了監
[00:00:32.220 --> 00:00:36.840]  和坐監沒有分別 坐了監真的有幾個月
[00:00:36.840 --> 00:00:40.620]  從來沒有試過 我們沒有犯事
[00:00:40.620 --> 00:00:43.800]  通常我們犯了罪才會坐監
[00:00:43.800 --> 00:00:48.520]  犯了罪才會唱一首歌 無自由 失自由
[00:00:48.520 --> 00:00:53.720]  但是政府就抓了我們
[00:00:53.720 --> 00:00:57.720]  把我們關在自己的家 不准我們出街 幾個月
[00:00:58.600 --> 00:01:00.600]  因為這個病毒來勢洶洶
[00:01:00.600 --> 00:01:07.960]  如果我們四處去走 四處去傳染的話
[00:01:07.960 --> 00:01:10.060]  這個病毒很可能會失控
[00:01:10.060 --> 00:01:13.920]  過去幾個月很多人都留在家裡
[00:01:13.920 --> 00:01:17.000]  沒有事做
[00:01:17.000 --> 00:01:21.640]  很多人就悶死了
[00:01:21.640 --> 00:01:28.360]  其實我從來沒聽過醫學上有可以悶死的
[00:01:29.560 --> 00:01:35.060]  但是都無可否認 很多人的情緒是大受影響
[00:01:35.060 --> 00:01:41.360]  因為人是社交動物 即是一個社交動物
[00:01:41.360 --> 00:01:45.840]  我們需要和其他外面的人 人與人有接觸的關係
[00:01:45.840 --> 00:01:50.960]  而突然間悶著 突然在家裡不准出街
[00:01:50.960 --> 00:01:57.960]  幸運而已 幸運有資訊科技發達
[00:01:58.240 --> 00:02:03.640]  有互聯網 我們可以透過即時和世界的地方聯絡
[00:02:03.640 --> 00:02:08.440]  換作幾十年前 可能真的會悶到死
[00:02:08.440 --> 00:02:13.240]  但是可能我們很怕悶
[00:02:13.240 --> 00:02:19.440]  但是很老實說 我們很慶幸我們今天很健康
[00:02:19.440 --> 00:02:23.240]  因為很多人就失去了生命
[00:02:24.360 --> 00:02:30.440]  而也很多人失去了工作 這個新型冠狀肺炎的影響很大
[00:02:30.440 --> 00:02:33.440]  影響到經濟 影響到經濟很大
[00:02:33.440 --> 00:02:37.240]  早幾天英國就出了一些數據
[00:02:37.240 --> 00:02:41.440]  就是這個GDP 本地生產的總值
[00:02:41.440 --> 00:02:45.240]  居然在一個月內是跌了20%
[00:02:45.240 --> 00:02:49.840]  這個是史無前例的 打仗的時候不會跌得這麼厲害
[00:02:50.440 --> 00:02:56.440]  平時我們跌了百分之一、二 已經是經濟衰退了
[00:02:56.440 --> 00:02:59.840]  居然一個月可以跌了百分之二十
[00:02:59.840 --> 00:03:07.040]  就是它的生產總值 回到二十年前那個數字
[00:03:07.040 --> 00:03:12.840]  就是我們過去二十年 英國沒有增長過一樣
[00:03:12.840 --> 00:03:13.840]  可以這麼說
[00:03:13.840 --> 00:03:18.040]  這個真的會帶來將來的經濟有很大的影響
[00:03:18.840 --> 00:03:20.640]  很多人可能會面臨失業
[00:03:20.640 --> 00:03:24.640]  小朋友呢?小朋友沒有上學差不多半年的時間
