
[00:00:00.000 --> 00:00:04.560]  今天我們就會加入新一個系列的講道
[00:00:04.560 --> 00:00:10.700]  因爲過去我們看到香港差不多一整年
[00:00:10.700 --> 00:00:16.360]  我們看到無論是教會或者是信徒都面對很大很大的衝擊
[00:00:16.360 --> 00:00:20.120]  整個世界的大環境也有許多的變化
[00:00:20.120 --> 00:00:24.320]  如何建立信徒成爲僞身跟隨主的門徒
[00:00:24.320 --> 00:00:26.600]  可以說是迫在眉睫
[00:00:26.600 --> 00:00:32.440]  所以從今天開始我和羅慕斯我們就會開始新的系列的講道
[00:00:32.440 --> 00:00:38.360]  我們稱爲真門徒素質的一個講道的系列
[00:00:38.360 --> 00:00:42.400]  那首先我想考考大家
[00:00:42.400 --> 00:00:49.560]  大家知道這個是什麼國家嗎?
[00:00:49.560 --> 00:00:52.600]  有沒有人知道?有點難猜
[00:00:52.600 --> 00:00:55.320]  那這個國家是烏干達
[00:00:55.320 --> 00:00:58.840]  那你聽到烏干達這個國家的時候
[00:00:58.840 --> 00:01:03.160]  不知道你會想到什麼?
[00:01:03.160 --> 00:01:05.640]  二十幾三十年前
[00:01:05.640 --> 00:01:10.680]  你能想到的一些壞事都發生在烏干達
[00:01:10.680 --> 00:01:14.800]  那據說呢在三十多年前的烏干達
[00:01:14.800 --> 00:01:17.320]  有拜巫術的獨裁者
[00:01:17.320 --> 00:01:20.000]  他就拿人來獻祭
[00:01:20.000 --> 00:01:25.080]  而且呢他們還對基督徒有很大的逼迫與殘殺
[00:01:25.080 --> 00:01:28.080]  很多牧師被關在監牢裏
[00:01:28.080 --> 00:01:33.240]  艾滋病的比例呢達到百分之三十四
[00:01:33.240 --> 00:01:36.640]  而基督徒的比例呢是非常非常的少
[00:01:36.640 --> 00:01:38.760]  如果你的教會里面有五個
[00:01:38.760 --> 00:01:42.520]  那已經是一個很很盛況了
[00:01:42.520 --> 00:01:45.000]  很一個很興旺的教會
[00:01:45.000 --> 00:01:46.920]  我們這裏有有幾個人
[00:01:46.920 --> 00:01:51.880]  應該在當時是一個不錯的教會了
[00:01:51.880 --> 00:01:57.280]  可是三十年後你猜猜是怎麼樣的一種情況
[00:01:57.280 --> 00:02:00.720]  三十年後烏干達有百分之九十的基督徒
[00:02:00.720 --> 00:02:04.440]  而回教徒呢只有大概六個百分之六
[00:02:04.440 --> 00:02:08.480]  神蹟騎士異能橫掃全國
