
[00:00:00.000 --> 00:00:02.500]  在基督裏合一
[00:00:02.500 --> 00:00:07.000]  有什麼難阻人與人之間的合一呢?
[00:00:07.000 --> 00:00:12.500]  人與人在社會上、在民族上、在組織上
[00:00:12.500 --> 00:00:18.500]  有什麼鴻溝令到我們不能夠合而為一呢?
[00:00:18.500 --> 00:00:21.500]  當我女兒讀中學的時候
[00:00:21.500 --> 00:00:25.500]  當時很習慣用短訊
[00:00:25.500 --> 00:00:29.000]  我不知道你有沒有收到這些短訊
[00:00:29.000 --> 00:00:31.000]  有沒有收過?
[00:00:31.000 --> 00:00:37.000]  可能香港比較少
[00:00:37.000 --> 00:00:40.000]  那時候我女兒在外國
[00:00:40.000 --> 00:00:44.000]  有時候她習慣用英文
[00:00:44.000 --> 00:00:53.000]  英文有一些當時很流行的符號
[00:00:53.000 --> 00:00:57.000]  這些是短訊的符號
[00:00:57.000 --> 00:01:01.000]  看完這些你都會拗頭去說什麼呢?
[00:01:01.000 --> 00:01:04.000]  所以很多時候傳你的短訊
[00:01:04.000 --> 00:01:07.000]  我看明白一半又看不明白那一半
[00:01:07.000 --> 00:01:12.000]  真的有時候很溝通亦都很困難
[00:01:12.000 --> 00:01:16.000]  我不知道你有沒有看過這些短訊
[00:01:16.000 --> 00:01:17.000]  WhatsApp
[00:01:17.000 --> 00:01:19.000]  LOL是什麼?
[00:01:19.000 --> 00:01:23.000]  我也不知道,最近才知道
[00:01:23.000 --> 00:01:27.000]  你說多麼困難這一堆
[00:01:27.000 --> 00:01:29.000]  你都不知道他在說什麼
[00:01:29.000 --> 00:01:33.000]  如果你看到你都拗頭
[00:01:33.000 --> 00:01:36.000]  究竟他想說什麼呢?
[00:01:36.000 --> 00:01:38.000]  現在如果你用英文短訊
[00:01:38.000 --> 00:01:42.000]  就有很多這些所謂英文的縮寫
[00:01:42.000 --> 00:01:44.000]  這些英文的縮寫
[00:01:44.000 --> 00:01:47.000]  有時候你都不知道他在說什麼
[00:01:47.000 --> 00:01:48.000]  就是這麼奇怪
[00:01:48.000 --> 00:01:52.000]  很多時候溝通有很大的難處
[00:01:52.000 --> 00:01:55.000]  這些大家常常用的
[00:01:55.000 --> 00:02:01.000]  這些表情的符號
[00:02:01.000 --> 00:02:03.000]  你用多少個?
[00:02:03.000 --> 00:02:05.000]  我只用幾個
[00:02:05.000 --> 00:02:06.000]  其他我都不懂得用
[00:02:06.000 --> 00:02:09.000]  因為有時候有些人傳過來的時候
[00:02:09.000 --> 00:02:10.000]  我都不知道
[00:02:10.000 --> 00:02:12.000]  少了很多種
[00:02:12.000 --> 00:02:14.000]  你看一看
[00:02:14.000 --> 00:02:17.000]  真的有時候少了那些樣子
[00:02:17.000 --> 00:02:20.000]  究竟他想告訴我們什麼呢?
[00:02:20.000 --> 00:02:24.000]  你有沒有收到你都不知道他想說什麼
[00:02:24.000 --> 00:02:27.000]  我們說這個有人叫做
[00:02:27.000 --> 00:02:29.000]  數碼的鴻溝
[00:02:29.000 --> 00:02:30.000]  你贊不贊同呢?
[00:02:30.000 --> 00:02:32.000]  什麼叫數碼?
[00:02:32.000 --> 00:02:34.000]  數碼呢
[00:02:34.000 --> 00:02:38.000]  說到這是一個數碼的時代
[00:02:38.000 --> 00:02:42.000]  很多時候我們用很多數碼的產品
[00:02:42.000 --> 00:02:47.000]  這些是年輕人和我們老人家
[00:02:47.000 --> 00:02:48.000]  我自己
[00:02:48.000 --> 00:02:50.000]  真是有很大的鴻溝
[00:02:50.000 --> 00:02:51.000]  他用得很快
[00:02:51.000 --> 00:02:57.000]  我都不知道怎樣來追上這個數碼的年代
[00:02:57.000 --> 00:02:59.000]  有一天我看電視
[00:02:59.000 --> 00:03:02.000]  看到一個新的台
[00:03:02.000 --> 00:03:04.000]  去一個特輯
[00:03:04.000 --> 00:03:06.000]  帶著矛盾去旅行
[00:03:06.000 --> 00:03:08.000]  有幾個看過
[00:03:08.000 --> 00:03:11.000]  那天就剛剛來到去講
[00:03:11.000 --> 00:03:15.000]  林日曦和蔣小姐
[00:03:15.000 --> 00:03:17.000]  一起去旅行
