
[00:00:00.000 --> 00:00:01.640]  各位定智媒晚安
[00:00:01.640 --> 00:00:08.160]  你見到這個頭影
[00:00:08.160 --> 00:00:09.840]  一個手指指着你
[00:00:09.840 --> 00:00:11.720]  問一個問題
[00:00:11.720 --> 00:00:12.800]  或者一個描述
[00:00:12.800 --> 00:00:14.800]  他說耶穌要挑戰你
[00:00:14.800 --> 00:00:16.960]  不知當你見到挑戰這兩個字
[00:00:16.960 --> 00:00:18.240]  你第一時間想起什麼呢
[00:00:18.240 --> 00:00:20.200]  各位定智媒
[00:00:20.200 --> 00:00:21.600]  對上一次
[00:00:21.600 --> 00:00:23.720]  你曾經接受過什麼挑戰
[00:00:23.720 --> 00:00:28.240]  挑戰可能包括你曾經嘗試一些新的事物
[00:00:28.720 --> 00:00:32.120]  或者突破自己的一些關口
[00:00:32.120 --> 00:00:34.480]  突破一些難處
[00:00:34.480 --> 00:00:38.200]  如果叫你回想一下過去最近那一次
[00:00:38.200 --> 00:00:40.320]  你去接受挑戰
[00:00:40.320 --> 00:00:43.240]  能夠挑戰成功或者被突破的
[00:00:43.240 --> 00:00:45.240]  是什麼時間
[00:00:45.240 --> 00:00:47.200]  是什麼事呢
[00:00:47.200 --> 00:00:51.360]  可能你說
[00:00:51.360 --> 00:00:53.160]  很久了
[00:00:53.160 --> 00:00:55.040]  忘記了
[00:00:55.040 --> 00:00:57.360]  我的生活已經很舒服
[00:00:57.760 --> 00:01:00.280]  很平靜
[00:01:00.280 --> 00:01:02.000]  又或者你說
[00:01:02.000 --> 00:01:03.080]  是的
[00:01:03.080 --> 00:01:05.200]  剛剛那個就是很大的挑戰
[00:01:05.200 --> 00:01:08.600]  今天這段聖經
[00:01:08.600 --> 00:01:10.080]  不知道是不是你的挑戰
[00:01:10.080 --> 00:01:11.800]  但是希望我們可以反省
[00:01:11.800 --> 00:01:14.280]  這段聖經在《路加福音》十八章
[00:01:14.280 --> 00:01:15.000]  剛纔我們讀過的
[00:01:15.000 --> 00:01:16.480]  我想大家先做一次
[00:01:16.480 --> 00:01:19.240]  一起去慢慢讀一段這段聖經
[00:01:19.240 --> 00:01:21.280]  你可以打開手上的聖經
[00:01:21.280 --> 00:01:23.200]  可以在熒幕上看到的
[00:01:23.200 --> 00:01:24.600]  好,一起來,預備起
[00:01:24.600 --> 00:01:29.160]  耶穌向那些自以爲義而藐視別人的人
[00:01:29.160 --> 00:01:30.720]  講了這比喻
[00:01:30.720 --> 00:01:34.120]  有兩個人上去聖殿去禱告
[00:01:34.120 --> 00:01:35.960]  一個是法利塞人
[00:01:35.960 --> 00:01:37.560]  一個是遂利
[00:01:37.560 --> 00:01:39.800]  法利塞人獨自站着
[00:01:39.800 --> 00:01:42.080]  自言自語地禱告說
[00:01:42.080 --> 00:01:44.440]  上帝啊,我感謝你
[00:01:44.440 --> 00:01:46.480]  我不仗別人勒索
[00:01:46.480 --> 00:01:48.240]  不以姦淫
[00:01:48.240 --> 00:01:50.360]  也不仗這個遂利
[00:01:50.360 --> 00:01:52.760]  我每週禁食兩次
[00:01:52.760 --> 00:01:56.280]  凡我所得的都獻上十分之一
[00:01:56.280 --> 00:01:58.760]  勒索你遠遠地站着
[00:01:58.760 --> 00:02:01.040]  連舉目望天也不敢
[00:02:01.040 --> 00:02:02.960]  只隨着空說
[00:02:02.960 --> 00:02:06.440]  上帝啊,開恩可憐我這個罪人
[00:02:06.440 --> 00:02:07.840]  我告訴你們
[00:02:07.840 --> 00:02:11.560]  這人回家去彼納人倒算爲異了
[00:02:11.560 --> 00:02:14.720]  因爲凡自高的必降爲卑
[00:02:14.720 --> 00:02:17.720]  自至今卑微的必升爲高
[00:02:17.720 --> 00:02:18.720]  好,謝謝
[00:02:18.720 --> 00:02:21.600]  這段聖經裏面有兩個人物出現
[00:02:21.600 --> 00:02:23.640]  一個是法利塞人
[00:02:23.640 --> 00:02:25.920]  一個是遂利
[00:02:25.920 --> 00:02:31.360]  各位聽衆,你熟不熟識這兩類或者這兩羣人物
[00:02:31.360 --> 00:02:34.040]  法利塞人在聖經裏面常常出現
[00:02:34.040 --> 00:02:36.680]  耶穌年代不斷出現法利塞人
[00:02:36.680 --> 00:02:38.760]  每次通常
[00:02:38.760 --> 00:02:40.640]  應該這麼說,大部分時間
[00:02:40.640 --> 00:02:42.640]  通常他扮演什麼角色呢
[00:02:42.640 --> 00:02:44.600]  最後他扮演那個
[00:02:44.600 --> 00:02:47.040]  不好、壞
[00:02:47.040 --> 00:02:50.760]  這些反派的角色
[00:02:50.760 --> 00:02:52.360]  耶穌常常都說法利塞人
[00:02:52.360 --> 00:02:54.880]  法利塞人怎麼怎麼
[00:02:54.880 --> 00:02:55.960]  不過如果你熟悉聖經的話
