
[00:00:00.000 --> 00:00:03.000]  我請您與我們在一起,我們同心再禱告
[00:00:03.000 --> 00:00:13.400]  天上的主,我們同心敬拜你
[00:00:13.400 --> 00:00:16.200]  透過詩歌,透過禱告
[00:00:16.200 --> 00:00:18.900]  主讓我們承認祢的聖名
[00:00:18.900 --> 00:00:22.600]  主讓祢的名超乎萬名之上
[00:00:22.600 --> 00:00:26.400]  也因為祢的聖名,我們領受救恩
[00:00:27.200 --> 00:00:31.200]  今天我們在祢面前再次向祢獻上敬拜
[00:00:31.200 --> 00:00:36.200]  主我們知道,祢每時每刻與祢的子民同在
[00:00:36.200 --> 00:00:41.200]  主祢又賜下祢寶貴的聖靈,永遠與我們同在
[00:00:41.200 --> 00:00:45.200]  因此主我們得著力量,我們得著安慰
[00:00:45.200 --> 00:00:48.200]  我們可以放膽地跟隨祢
[00:00:48.200 --> 00:00:52.200]  今天當我們再次打開聖經,思想祢的話的時候
[00:00:53.200 --> 00:00:57.200]  主求祢的聖靈在我們心中工作
[00:00:57.200 --> 00:01:00.200]  主讓我們明白祢的道
[00:01:00.200 --> 00:01:05.200]  也領受耐心的力量,也去行祢的道
[00:01:05.200 --> 00:01:09.200]  主我們仰望祢自己,當我們行祢的道的時候
[00:01:09.200 --> 00:01:11.200]  祢就賜下祢的恩惠
[00:01:11.200 --> 00:01:17.200]  因為祢自己應許,行祢的道的人必然蒙福
[00:01:17.200 --> 00:01:20.200]  主願祢施恩,帶領我們這一段時間
[00:01:21.200 --> 00:01:24.200]  奉耶穌的聖名祈禱,阿們
[00:01:51.200 --> 00:01:55.200]  這也是我們常常會提及的事情,就是信仰必須有所實踐
[00:01:55.200 --> 00:02:00.200]  但是我們也會想,其實神給我們有新的生命
[00:02:00.200 --> 00:02:05.200]  是應該自然會流露出一種悉切的行為
[00:02:05.200 --> 00:02:08.200]  這是真實的
[00:02:08.200 --> 00:02:12.200]  但另一方面我們也體會到生活上有不少的阻礙
[00:02:12.200 --> 00:02:17.200]  阻礙了我們的生命,不能夠可以活出信仰
[00:02:18.200 --> 00:02:21.200]  好像剛才所說,一棵樹要結果子
[00:02:21.200 --> 00:02:25.200]  有時候可能缺乏了一些水分
[00:02:25.200 --> 00:02:29.200]  不足夠的水分、營養,以致不能夠結果子
[00:02:29.200 --> 00:02:34.200]  或者一棵樹被很多其他的植物擠壓住
[00:02:34.200 --> 00:02:39.200]  它沒有空間,得不到太陽光,所以不能夠結果子
[00:02:39.200 --> 00:02:42.200]  很多原因我們都要去問
[00:02:43.200 --> 00:02:48.200]  是什麼令到我的信仰、我的信心不能夠產生行動?
[00:02:48.200 --> 00:02:51.200]  那個阻礙是什麼?
[00:02:51.200 --> 00:02:57.200]  這段日子我也鼓勵弟兄姊妹,我們為這方面小心地祈禱
[00:02:57.200 --> 00:03:00.200]  求神給我們內心有一種決心
[00:03:00.200 --> 00:03:05.200]  我們真是願意刻意地、留意地去聽從神的話
[00:03:05.200 --> 00:03:11.200]  去突破那些障礙,讓我們的人生可以真的結出果子
[00:03:12.200 --> 00:03:15.200]  也給我們內心有意識的
[00:03:15.200 --> 00:03:22.200]  會去祈禱,會去計劃如何將信仰可以行出來
[00:03:22.200 --> 00:03:27.200]  不是好像自然而然就沒問題,不是
[00:03:27.200 --> 00:03:33.200]  而是刻意地去面對那些阻礙,讓信仰可以行出來
[00:03:33.200 --> 00:03:39.200]  我相信當我們這樣做的時候,當我們持久地實行
[00:03:40.200 --> 00:03:46.200]  那種生命能夠自然流露出那種行動,讓我們心可以滿足
[00:03:46.200 --> 00:03:51.200]  所以今天也是我們一個特別的主日,是社關主日
[00:03:51.200 --> 00:03:54.200]  我們特別關心到社會上的需要
[00:03:54.200 --> 00:03:59.200]  讓信仰都能夠活然在我們所身處的社會環境
[00:03:59.200 --> 00:04:02.200]  所以弟兄姊妹,在這段時間我再一次說
[00:04:02.200 --> 00:04:05.200]  我們大家更多為這方面祈禱
[00:04:06.200 --> 00:04:11.200]  就讓我們成為一個真實的裡外一致的教徒
[00:04:11.200 --> 00:04:15.200]  是能夠真正地行出信仰
[00:04:15.200 --> 00:04:18.200]  這個時候大家一起再見回聖經
[00:04:18.200 --> 00:04:21.200]  我們看看今天我們讀的經文,二創學書第五十八章
[00:04:21.200 --> 00:04:27.200]  特別思想的就是,請提到怎樣是真實的敬虔
[00:04:27.200 --> 00:04:32.200]  二創學書第五十八章
[00:04:33.200 --> 00:04:37.200]  一開始的時候就提及神去責備當時的以色列人
[00:04:37.200 --> 00:04:41.200]  責備他們什麼?第一次這樣說
[00:04:41.200 --> 00:04:45.200]  你要張開喉嚨呼叫,不可停止
