
[00:00:00.000 --> 00:00:01.560]  請姊妹早安
[00:00:01.560 --> 00:00:02.560]  早安
[00:00:02.560 --> 00:00:04.560]  祝大家平安
[00:00:04.560 --> 00:00:10.000]  讓我先講一句廢話
[00:00:10.000 --> 00:00:15.200]  我們只是熟悉我們熟悉的世界
[00:00:15.200 --> 00:00:18.000]  對陌生的世界
[00:00:18.000 --> 00:00:20.000]  我們其實是很陌生的
[00:00:20.000 --> 00:00:22.000]  是不是很廢呢
[00:00:22.000 --> 00:00:28.600]  讓我用另外一句廢話去解釋一下剛才的那句話
[00:00:30.000 --> 00:00:33.000]  我們只能夠想像我們能夠想像到的
[00:00:33.000 --> 00:00:36.000]  對於我們不能夠想像的
[00:00:36.000 --> 00:00:38.000]  我們是不能夠想像的
[00:00:38.000 --> 00:00:42.000]  這些說話講了都等於沒有講
[00:00:42.000 --> 00:00:47.000]  20世紀有個哲學的大師叫做維根斯坦
[00:00:47.000 --> 00:00:51.000]  他說我們能夠講的就是我們能夠講的
[00:00:51.000 --> 00:00:55.000]  對於不能夠講的我們是不能夠講的
[00:00:55.000 --> 00:00:56.000]  講完了
[00:00:56.000 --> 00:00:59.000]  這句說話聽起來都很廢
[00:01:00.000 --> 00:01:03.000]  卻是20世紀哲學思想裡面
[00:01:03.000 --> 00:01:05.000]  其中一個大的智慧
[00:01:05.000 --> 00:01:09.000]  地球人對於外星人
[00:01:09.000 --> 00:01:11.000]  有很多的描述
[00:01:11.000 --> 00:01:13.000]  有很多的故事
[00:01:13.000 --> 00:01:16.000]  其中一個最有趣味的
[00:01:16.000 --> 00:01:18.000]  莫如若干年前
[00:01:18.000 --> 00:01:21.000]  電視播放這個解剖外星人的片段
[00:01:21.000 --> 00:01:25.000]  全港的市民都圍觀這個電視
[00:01:25.000 --> 00:01:28.000]  看看有什麼發生呢
[00:01:29.000 --> 00:01:33.000]  大小的報章都做了各種評論
[00:01:33.000 --> 00:01:36.000]  這些外星人是不是真的呢
[00:01:36.000 --> 00:01:38.000]  現在回想起來
[00:01:38.000 --> 00:01:40.000]  那些外星人的樣子
[00:01:40.000 --> 00:01:43.000]  想起都會在心裡面笑出來
[00:01:43.000 --> 00:01:46.000]  那個外星人的樣子
[00:01:46.000 --> 00:01:48.000]  除了肚子比我們大一些之外
[00:01:48.000 --> 00:01:50.000]  凸一些之外
[00:01:50.000 --> 00:01:53.000]  外觀幾乎和人類沒什麼分別
[00:01:53.000 --> 00:01:58.000]  不單止是解剖外星人的外星人
[00:01:59.000 --> 00:02:02.000]  其他關於外星人的很多描述
[00:02:02.000 --> 00:02:05.000]  那些外星人大部分都是有眼有口
[00:02:05.000 --> 00:02:07.000]  有手有腳
[00:02:07.000 --> 00:02:10.000]  其實非常和我們人類相似
[00:02:10.000 --> 00:02:14.000]  我們對於外星人的想像
[00:02:14.000 --> 00:02:17.000]  很難脫離人類
[00:02:17.000 --> 00:02:20.000]  這個我們熟悉的想像的框架
[00:02:20.000 --> 00:02:23.000]  我們只熟悉我們很熟悉的世界
[00:02:23.000 --> 00:02:25.000]  對於陌生的世界
[00:02:25.000 --> 00:02:27.000]  其實我們真的很陌生
[00:02:30.000 --> 00:02:32.000]  有沒有想過
[00:02:32.000 --> 00:02:34.000]  我們信仰的世界
[00:02:34.000 --> 00:02:36.000]  其實對我們來說
[00:02:36.000 --> 00:02:39.000]  其實都可以是一個非常陌生的世界
[00:02:39.000 --> 00:02:42.000]  但是我們很不習慣陌生
[00:02:42.000 --> 00:02:45.000]  很不習慣陌生這句話也是廢話
[00:02:45.000 --> 00:02:47.000]  我們當然不習慣陌生
[00:02:47.000 --> 00:02:50.000]  如果習慣的話就不叫陌生了
[00:02:50.000 --> 00:02:54.000]  我們其實是很不習慣信仰的世界
[00:02:54.000 --> 00:02:56.000]  我們其實很多時候
[00:02:56.000 --> 00:02:58.000]  試圖都是用我們習慣的方式
[00:02:58.000 --> 00:03:02.000]  去構想我們信仰的世界
[00:03:02.000 --> 00:03:04.000]  譬如
[00:03:04.000 --> 00:03:06.000]  有些很好心的基督徒
[00:03:06.000 --> 00:03:08.000]  很心腸的基督徒
[00:03:08.000 --> 00:03:10.000]  為了鼓勵信徒
[00:03:10.000 --> 00:03:12.000]  做多些侍奉
