
[00:00:00.000 --> 00:00:03.440]  我們今次的講道系列很特別
[00:00:03.440 --> 00:00:04.920]  有個LE
[00:00:04.920 --> 00:00:08.060]  讓生活信仰升LE
[00:00:08.060 --> 00:00:10.580]  這是廣東字
[00:00:10.580 --> 00:00:13.080]  我回到香港兩個星期
[00:00:13.080 --> 00:00:17.160]  都學到很多香港特別的廣東字
[00:00:17.160 --> 00:00:18.700]  LE是甚麼呢?
[00:00:18.700 --> 00:00:20.940]  LE是LEVEL的意思
[00:00:20.940 --> 00:00:22.040]  即是升一級
[00:00:22.040 --> 00:00:24.380]  我們上星期都講過了
[00:00:24.380 --> 00:00:28.980]  今次我們講到同化我們周圍的人
[00:00:28.980 --> 00:00:33.500]  即是影響我們周圍的人
[00:00:33.500 --> 00:00:37.840]  我們開始的時候先讀這段經文
[00:00:37.840 --> 00:00:39.720]  我們不知道有沒有印出來
[00:00:39.720 --> 00:00:41.880]  我們一起讀這段經文
[00:00:41.880 --> 00:00:44.040]  這是新譯本的
[00:00:44.040 --> 00:00:47.460]  我們一起開聲讀神的話語
[00:00:47.460 --> 00:00:49.380]  剛才唱詩很好
[00:00:49.380 --> 00:00:52.040]  今晚我們一起開聲讀神的話語
[00:00:52.040 --> 00:00:53.180]  預備起
[00:00:53.180 --> 00:00:55.520]  你們是地上的鹽
[00:00:55.520 --> 00:00:59.840]  如果鹽失了味怎能使它再鹹呢?
[00:00:59.840 --> 00:01:01.920]  結果毫無用處
[00:01:01.920 --> 00:01:04.860]  唯有雕在外面引人踐踏
[00:01:04.860 --> 00:01:07.020]  你們是世上的光
[00:01:07.020 --> 00:01:10.820]  見在山上的城是無法隱藏的
[00:01:10.820 --> 00:01:12.180]  人點了燈
[00:01:12.180 --> 00:01:14.500]  不會放在良器底下
[00:01:14.500 --> 00:01:16.820]  而是放在燈台上
[00:01:16.820 --> 00:01:19.060]  就照亮一家人
[00:01:19.060 --> 00:01:22.920]  照樣你們的光也應當照在人前
[00:01:22.920 --> 00:01:25.880]  讓他們看見你們的好行為
[00:01:25.880 --> 00:01:30.440]  又重讚你們在天上的富
[00:01:30.440 --> 00:01:34.020]  這段經文是在馬達荒記載
[00:01:34.020 --> 00:01:39.240]  耶穌是一個很重要的提醒我們
[00:01:39.240 --> 00:01:42.600]  提醒我們是什麼?
[00:01:42.600 --> 00:01:44.600]  我們看回這個社會
[00:01:44.600 --> 00:01:50.560]  這個社會其實有很多的個人主義
