
[00:00:00.000 --> 00:00:03.400]  很多時候我們基督徒都說要去關心別人
[00:00:03.400 --> 00:00:06.560]  很多時候我們基督徒都說要關心別人
[00:00:06.560 --> 00:00:10.000]  特別是其他人的屬靈的需要
[00:00:10.000 --> 00:00:11.000]  他們的靈魂
[00:00:11.000 --> 00:00:13.000]  特別是他們的屬靈的需要
[00:00:13.000 --> 00:00:16.800]  但是什麼叫做真正關心別人的需要
[00:00:16.800 --> 00:00:18.400]  或者關心別人呢?
[00:00:18.400 --> 00:00:20.600]  什麼是真正的關心別人的需要
[00:00:20.600 --> 00:00:21.400]  關心別人呢?
[00:00:21.400 --> 00:00:24.000]  這個正正就是今天我們要讀的聖經
[00:00:24.000 --> 00:00:26.200]  這段聖經《凱伯太前書》
[00:00:26.200 --> 00:00:27.200]  只有一節而已
[00:00:27.200 --> 00:00:30.600]  五章第23節的主要的精髓
[00:00:30.600 --> 00:00:32.000]  就是今天我們所講的
[00:00:32.000 --> 00:00:35.000]  《凱伯太前書》五章23節主要的精髓
[00:00:35.000 --> 00:00:36.000]  因為只有一節經文
[00:00:36.000 --> 00:00:36.600]  不如這樣吧
[00:00:36.600 --> 00:00:37.400]  讓我們一起打開
[00:00:37.400 --> 00:00:38.800]  我們再一起讀好不好?
[00:00:38.800 --> 00:00:40.000]  因為只有一節經文
[00:00:40.000 --> 00:00:41.000]  讓我們一起來讀
[00:00:41.000 --> 00:00:42.200]  我們讀兩次
[00:00:42.200 --> 00:00:45.000]  希望我們會掌握這段聖經的內容好不好?
[00:00:45.000 --> 00:00:46.800]  讓我們來掌握這個聖經的內容
[00:00:46.800 --> 00:00:49.200]  我們請彭明帶我們先讀普通話
[00:00:49.200 --> 00:00:52.200]  然後我就帶領大家讀廣東話好不好?
[00:00:52.200 --> 00:00:54.000]  以你胃口不清
[00:00:54.000 --> 00:00:55.800]  屢次患病
[00:00:55.800 --> 00:00:58.000]  再不要照常喝水
[00:00:58.000 --> 00:01:00.200]  可以稍微用點酒
[00:01:00.200 --> 00:01:03.000]  因你胃口不清
[00:01:03.000 --> 00:01:04.800]  屢次患病
[00:01:04.800 --> 00:01:07.400]  再不要照常喝水
[00:01:07.400 --> 00:01:10.000]  可以稍微用點酒
[00:01:10.000 --> 00:01:12.800]  如果大家熟悉聖經的話
[00:01:12.800 --> 00:01:14.800]  如果大家熟悉聖經的話
[00:01:14.800 --> 00:01:18.000]  我們就會經常聽到提摩泰這個人物
[00:01:18.000 --> 00:01:19.200]  有很多病痛
[00:01:19.200 --> 00:01:21.000]  我們知道提摩泰這個人物
[00:01:21.000 --> 00:01:22.200]  他有很多病症
[00:01:22.200 --> 00:01:25.200]  甚至可以說他沒有什麼主見的人
[00:01:25.200 --> 00:01:28.200]  甚至可以說他是一個沒有什麼主見的人
[00:01:28.200 --> 00:01:30.600]  很軟弱下的一個牧者
[00:01:30.600 --> 00:01:32.600]  是一個很軟弱的牧者
[00:01:32.600 --> 00:01:35.200]  究竟提摩泰本身是不是真的這樣的人呢?
[00:01:35.200 --> 00:01:38.000]  究竟提摩泰是不是就是這樣的人呢?
[00:01:38.000 --> 00:01:40.800]  我們在聖經知道的不是太多
[00:01:40.800 --> 00:01:43.000]  我們在聖經上看的不是很多
[00:01:43.000 --> 00:01:46.200]  不過反而我們知道提摩泰是一個很信服
[00:01:46.200 --> 00:01:49.600]  特別是他媽媽的教導
[00:01:49.600 --> 00:01:53.000]  提摩泰很信服他媽媽的教導
[00:01:53.000 --> 00:01:56.000]  但我相信聖經也要透過提摩泰
[00:01:56.000 --> 00:01:59.400]  去介紹給我們另一方面的教訓
[00:01:59.400 --> 00:02:02.600]  聖經通過提摩泰來告訴我們另一方面的教訓
[00:02:02.600 --> 00:02:04.200]  聖經通過提摩泰來告訴我們另一方面的教訓
[00:02:04.200 --> 00:02:05.200]  藉著這個人物
[00:02:05.200 --> 00:02:08.800]  他有的情況、背景、特別的身體狀況
[00:02:08.800 --> 00:02:11.400]  他的背景、他的特別身體的狀況
[00:02:11.400 --> 00:02:14.200]  來教導我們怎樣去學會去關懷
[00:02:14.200 --> 00:02:16.600]  來教導我們怎樣學會關懷
[00:02:16.600 --> 00:02:18.800]  關懷我們身邊的弟兄姊妹
[00:02:18.800 --> 00:02:20.400]  關懷我們身邊的弟兄姊妹
[00:02:20.400 --> 00:02:23.400]  也關懷我們身邊的弟兄姊妹
[00:02:23.400 --> 00:02:24.800]  其他未信主的人
[00:02:24.800 --> 00:02:27.000]  也關懷我們身邊的弟兄姊妹
[00:02:27.000 --> 00:02:27.800]  其他人
[00:02:27.800 --> 00:02:31.000]  包括我們讀完提摩泰詞書五章二十三節
[00:02:31.000 --> 00:02:33.800]  剛才我們讀完提摩泰前書五章二十三節
[00:02:33.800 --> 00:02:37.000]  很多時候都被形容為
[00:02:37.000 --> 00:02:40.800]  一段只是作者提醒提摩泰的一個
[00:02:40.800 --> 00:02:42.800]  關於健康問題的考慮
[00:02:42.800 --> 00:02:46.000]  很多時候我們都認為作者是提醒提摩泰
[00:02:46.000 --> 00:02:48.000]  一個健康的考慮
[00:02:48.000 --> 00:02:50.600]  但是會不會覺得這段聖經很奇怪?
[00:02:50.600 --> 00:02:53.400]  但是你不會覺得這段聖經很奇怪嗎?
[00:02:53.400 --> 00:02:56.000]  不單是我們聽了覺得奇怪
[00:02:56.000 --> 00:02:58.200]  不單是我們聽了覺得很奇怪
[00:02:58.200 --> 00:03:00.800]  很多學者都覺得這段聖經很奇怪
[00:03:00.800 --> 00:03:02.800]  很多學者都覺得很奇怪
[00:03:02.800 --> 00:03:04.200]  奇怪在哪裡呢?
[00:03:04.200 --> 00:03:05.800]  如果我們這樣讀的時候
[00:03:05.800 --> 00:03:07.200]  奇怪在哪裡呢?
[00:03:07.200 --> 00:03:12.000]  前文講到的都不是什麼有關於個人的提醒
[00:03:12.000 --> 00:03:15.200]  前文講到的都不是關於個人的提醒
[00:03:15.200 --> 00:03:18.200]  前文最簡單我們去看第二十一節
[00:03:18.200 --> 00:03:20.200]  前文我們看二十一節
[00:03:20.200 --> 00:03:21.600]  第二十二節裏面
[00:03:21.600 --> 00:03:23.000]  一直到二十二節裏面
[00:03:23.000 --> 00:03:25.000]  其實反而是談及到傳道人
[00:03:25.000 --> 00:03:27.200]  怎樣去安納傳道人
[00:03:27.200 --> 00:03:30.600]  是談到傳道人是怎樣按理傳道人
[00:03:30.600 --> 00:03:32.000]  第二十四節
[00:03:32.000 --> 00:03:32.800]  二十四節
[00:03:32.800 --> 00:03:34.200]  我們看到的
[00:03:34.200 --> 00:03:35.000]  我們看到
[00:03:35.000 --> 00:03:36.200]  在裏面又談及到
[00:03:36.200 --> 00:03:38.800]  怎樣去對待一些有罪的人
[00:03:38.800 --> 00:03:41.400]  是怎樣對待一些有罪的人
[00:03:41.400 --> 00:03:44.000]  然後怎樣去處理他們的罪
[00:03:44.000 --> 00:03:46.000]  然後怎樣去處理他們的罪
[00:03:46.000 --> 00:03:47.600]  前文和後裏
[00:03:47.600 --> 00:03:51.000]  前文和後裏都是很突然出現一句
[00:03:51.000 --> 00:03:52.200]  我們今天的二十三節
[00:03:52.200 --> 00:03:56.600]  提醒他要去看醫生
[00:03:56.600 --> 00:03:58.400]  前文和後裏
