
[00:00:00.000 --> 00:00:03.560]  今天我們要繼續來看這個《撒末爾》
[00:00:03.560 --> 00:00:07.860]  我們就用剛才第七章的第二節
[00:00:07.860 --> 00:00:13.820]  "過了二十年 以色列全家都傾向煙花"
[00:00:13.820 --> 00:00:21.560]  就講到這個撒末爾早期的故事
[00:00:21.560 --> 00:00:26.060]  我們從第三章的末了就可以看到
[00:00:26.060 --> 00:00:28.200]  這個撒末爾長大了
[00:00:28.200 --> 00:00:30.200]  審歷他做先知
[00:00:30.200 --> 00:00:36.200]  到了第七章第二節第三節
[00:00:36.200 --> 00:00:38.200]  就再提到撒末爾
[00:00:38.200 --> 00:00:45.200]  這中間從第三章聖經第三章以後
[00:00:45.200 --> 00:00:49.200]  一直到第七章的第三節以前
[00:00:49.200 --> 00:00:51.200]  一直沒有提到撒末爾
[00:00:51.200 --> 00:00:56.200]  因為在中間發生了在以色列歷史上
[00:00:56.200 --> 00:01:00.200]  從來沒有過的一個很大的事件
[00:01:00.200 --> 00:01:07.200]  因為約會 整個約會被北利斯人擄去了
[00:01:07.200 --> 00:01:11.200]  榮耀離開了以色列了
[00:01:11.200 --> 00:01:18.200]  這個約會在曠野摩西建好這個會墓
[00:01:18.200 --> 00:01:20.200]  裡面放了約會
[00:01:20.200 --> 00:01:24.200]  一直等到這個時候被擄去
[00:01:24.200 --> 00:01:27.200]  差不多有四百年的歷史
[00:01:27.200 --> 00:01:30.200]  就是說在四百年當中
[00:01:30.200 --> 00:01:34.200]  從來沒有發生過約會被敵人
[00:01:34.200 --> 00:01:36.200]  被外邦人擄去的歷史
[00:01:36.200 --> 00:01:40.200]  所以這個是一件很大的事情
[00:01:40.200 --> 00:01:44.200]  所以就說榮耀就離開了以色列了
[00:01:44.200 --> 00:01:50.200]  因為約會是象徵了神的榮耀
[00:01:50.200 --> 00:01:55.200]  聖經就沒有說第三章
[00:01:55.200 --> 00:02:00.200]  耶華立撒末爾作先知
[00:02:00.200 --> 00:02:03.200]  一直等到第七章
[00:02:03.200 --> 00:02:06.200]  他出來再來說話
[00:02:06.200 --> 00:02:09.200]  這個到底有多長的時間
[00:02:09.200 --> 00:02:12.200]  聖經就沒有具體的說
[00:02:12.200 --> 00:02:16.200]  但是有一件事情我們可以看到的
[00:02:16.200 --> 00:02:23.200]  就是這段時間就撒末爾就開始早期的胡適
[00:02:23.200 --> 00:02:26.200]  撒末爾活的歲數很大
[00:02:26.200 --> 00:02:29.200]  但這段時間就他早期的胡適
[00:02:29.200 --> 00:02:34.200]  可以從第三章一直到第七章這一段
[00:02:34.200 --> 00:02:36.200]  雖然沒有怎麼記載他
[00:02:36.200 --> 00:02:41.200]  但他在這段時間一定不是說在那邊坐了等的
[00:02:41.200 --> 00:02:43.200]  他一定有很多的胡適
[00:02:43.200 --> 00:02:51.200]  我們就來看看以色列發生這樣大事情的前後
