
[00:00:00.000 --> 00:00:02.180]  耶穌生命傳承
[00:00:02.180 --> 00:00:06.460]  到底是什麼意思呢
[00:00:06.460 --> 00:00:08.480]  最主要就是說
[00:00:08.480 --> 00:00:11.360]  我們要來領受耶穌的生命
[00:00:11.360 --> 00:00:15.100]  因為我們明年的意向是
[00:00:15.100 --> 00:00:16.600]  生命傳承
[00:00:16.600 --> 00:00:19.960]  生命傳承的意思就是說
[00:00:19.960 --> 00:00:21.980]  把屬天的生命
[00:00:21.980 --> 00:00:25.620]  福氣 還有永生
[00:00:25.620 --> 00:00:28.820]  給人家
[00:00:29.400 --> 00:00:32.280]  讓人家也得到 傳下去
[00:00:32.280 --> 00:00:34.200]  一代接一代
[00:00:34.200 --> 00:00:37.780]  當然這是一個很不容易的
[00:00:37.780 --> 00:00:39.780]  一個工作
[00:00:39.780 --> 00:00:41.240]  是
[00:00:41.240 --> 00:00:43.500]  我在有的時候在想
[00:00:43.500 --> 00:00:45.380]  我們像現代
[00:00:45.380 --> 00:00:47.380]  真的是很幸福
[00:00:47.380 --> 00:00:49.920]  以前在
[00:00:49.920 --> 00:00:53.600]  中古世紀還要甚至再早一點的時候
[00:00:53.600 --> 00:00:57.200]  你要是傳耶穌 人家要把你抓起來
[00:00:57.200 --> 00:00:58.900]  釘十字架
[00:00:59.440 --> 00:01:02.160]  你要是傳福音 人家抓起來
[00:01:02.160 --> 00:01:04.920]  丟到獅子籠裡面 餵獅子
[00:01:04.920 --> 00:01:09.560]  那麼今天我們可以自由的傳講
[00:01:09.560 --> 00:01:12.360]  但是很不幸
[00:01:12.360 --> 00:01:14.800]  自由的反而
[00:01:14.800 --> 00:01:17.320]  變成好像
[00:01:17.320 --> 00:01:19.240]  不很
[00:01:19.240 --> 00:01:20.620]  不很
[00:01:20.620 --> 00:01:23.460]  不很認真了 是不是
[00:01:23.460 --> 00:01:26.000]  但是不管怎麼樣
[00:01:26.680 --> 00:01:29.600]  當我們說耶穌生命的傳承
[00:01:29.600 --> 00:01:31.860]  我們主要就是要說
[00:01:31.860 --> 00:01:34.920]  耶穌祂的生命
[00:01:34.920 --> 00:01:38.440]  從幾個方面 是從哪邊來的
[00:01:38.440 --> 00:01:41.820]  那麼耶穌祂的生命
[00:01:41.820 --> 00:01:43.780]  要往哪邊去
[00:01:43.780 --> 00:01:48.140]  我不是說祂在地上活著的生命
[00:01:48.140 --> 00:01:49.420]  我是說祂的
[00:01:49.420 --> 00:01:52.580]  屬靈的生命 祂的精神
[00:01:52.580 --> 00:01:56.340]  祂的靈命 還有祂的影響力
[00:01:56.680 --> 00:02:00.140]  還有祂在我們生命中所造成的一切
[00:02:00.140 --> 00:02:04.740]  那麼我們可以從剛才我們開始
[00:02:04.740 --> 00:02:06.220]  練的耶穌的家譜
[00:02:06.220 --> 00:02:08.900]  我們就可以看出來一個端倪
[00:02:08.900 --> 00:02:10.860]  各位
[00:02:10.860 --> 00:02:13.940]  你知道你的孩子
[00:02:13.940 --> 00:02:16.240]  受
[00:02:16.240 --> 00:02:19.560]  爸爸的影響大還是受媽媽的影響大
[00:02:19.560 --> 00:02:23.340]  受媽媽影響大
[00:02:23.840 --> 00:02:27.120]  很多人都是 很多研究都是證明是
[00:02:27.120 --> 00:02:29.640]  受媽媽的影響比較大
[00:02:29.640 --> 00:02:35.400]  我們看耶穌的家譜呢
[00:02:35.400 --> 00:02:38.500]  祂共有五位女性
[00:02:38.500 --> 00:02:42.420]  也就是說 這五位女性呢
[00:02:42.420 --> 00:02:45.520]  可能就是耶穌生命的傳承
[00:02:45.520 --> 00:02:47.140]  一路傳下來了
[00:02:47.140 --> 00:02:50.580]  祂第一個
[00:02:50.580 --> 00:02:53.040]  是 祂嘛
[00:02:53.540 --> 00:02:56.640]  這是在創世紀
[00:02:56.640 --> 00:02:58.700]  三十八章裡面講
[00:02:58.700 --> 00:03:03.260]  那麼我給祂一個標題是說
[00:03:03.260 --> 00:03:06.540]  祂是一個堅忍和正義的力量
[00:03:06.540 --> 00:03:09.960]  所以耶穌祂能夠堅忍
[00:03:09.960 --> 00:03:12.920]  祂能夠有正義 有公義
[00:03:12.920 --> 00:03:16.920]  那麼是從 祂嘛那邊過來的
[00:03:16.920 --> 00:03:19.500]  這為什麼這樣子講呢
[00:03:19.500 --> 00:03:22.660]  這個 祂嘛的故事是這樣
[00:03:24.540 --> 00:03:30.240]  祂嘛是嫁給猶大的長子 兒
[00:03:30.240 --> 00:03:34.100]  結果兒過世了
[00:03:34.100 --> 00:03:36.860]  又嫁給祂的次子
[00:03:36.860 --> 00:03:39.860]  次子又過世了
[00:03:39.860 --> 00:03:43.580]  結果還有一個小的叫做薛拉
[00:03:43.580 --> 00:03:47.320]  那麼猶大就心有不甘了
[00:03:47.320 --> 00:03:49.060]  怕了
[00:03:49.060 --> 00:03:50.800]  然後就說 哎呀
[00:03:51.400 --> 00:03:53.960]  等我這個小孩再長大一點再
[00:03:53.960 --> 00:03:57.400]  因為他們以前有兄終弟及
[00:03:57.400 --> 00:03:58.760]  那麼
[00:03:58.760 --> 00:04:00.680]  就是說
[00:04:00.680 --> 00:04:04.520]  哥哥死了弟弟要接哥哥的
[00:04:04.520 --> 00:04:05.820]  太太
[00:04:05.820 --> 00:04:10.020]  那麼祂的產業就可以留到這個家族裡面去
[00:04:10.020 --> 00:04:12.860]  所以連死了兩個
[00:04:12.860 --> 00:04:15.660]  這個猶大心裡面有慌了
[00:04:15.660 --> 00:04:19.920]  祂就說我 等我這個小的再長大一些吧
[00:04:21.620 --> 00:04:23.760]  但是祂嘛 祂
[00:04:23.760 --> 00:04:26.760]  奸人的個性還有正義的力量
[00:04:26.760 --> 00:04:30.320]  祂不願意苟延殘喘
[00:04:30.320 --> 00:04:32.160]  因為祂心裡想
[00:04:32.160 --> 00:04:34.700]  祂說我如果
[00:04:34.700 --> 00:04:37.020]  不能夠為我的
[00:04:37.020 --> 00:04:39.220]  夫家留後
[00:04:39.220 --> 00:04:43.460]  那麼我夫家的產業就流失掉了
[00:04:43.460 --> 00:04:45.360]  所以
[00:04:45.360 --> 00:04:49.300]  祂有一天聽說祂的公公猶大
[00:04:49.980 --> 00:04:53.280]  要到一個地方去 祂就也到那邊去
[00:04:53.280 --> 00:04:55.760]  蒙頭假裝是一個
[00:04:55.760 --> 00:04:57.700]  妓女
[00:04:57.700 --> 00:05:00.800]  結果正好跟猶大
[00:05:00.800 --> 00:05:02.680]  就發生了關係
[00:05:02.680 --> 00:05:05.300]  然後祂跟猶大要一個
[00:05:05.300 --> 00:05:06.640]  當頭
[00:05:06.640 --> 00:05:08.160]  那麼
[00:05:08.160 --> 00:05:15.980]  那麼所以猶大把祂的帳子
[00:05:15.980 --> 00:05:19.160]  把祂的東西都給了祂做了當頭
[00:05:20.480 --> 00:05:22.560]  後來完了事
[00:05:22.560 --> 00:05:24.700]  那麼
