
[00:00:00.000 --> 00:00:03.680]  弟兄姊妹 今天我們思想到羅馬書的最後一章
[00:00:03.680 --> 00:00:05.680]  就是羅馬書第十六章
[00:00:05.680 --> 00:00:07.480]  在羅馬書的第十六章
[00:00:07.480 --> 00:00:11.160]  其實因為這個也不是一個神學的論文
[00:00:11.160 --> 00:00:14.440]  所以它是一封有血有肉的書信
[00:00:14.440 --> 00:00:15.680]  去到最後的時候
[00:00:15.680 --> 00:00:19.680]  保羅也做了一番的問安
[00:00:19.680 --> 00:00:21.840]  也有一些事情
[00:00:21.840 --> 00:00:26.800]  是他和教會當中的弟兄姊妹來打招呼
[00:00:26.800 --> 00:00:30.800]  所以我們也看到最後的時候
[00:00:30.800 --> 00:00:33.520]  其實給我們有一個
[00:00:33.520 --> 00:00:37.520]  好像是打開了一扇門或者一扇窗
[00:00:37.520 --> 00:00:39.680]  給我們去看一看
[00:00:39.680 --> 00:00:41.840]  在早期教會的時候
[00:00:41.840 --> 00:00:44.880]  保羅在羅馬教會的
[00:00:44.880 --> 00:00:48.920]  大家的稱謂 大家的問安當中
[00:00:48.920 --> 00:00:53.640]  知道一點點早期教會的狀況究竟是怎樣的
[00:00:53.640 --> 00:00:55.120]  可能其實你也會問
[00:00:55.640 --> 00:00:58.240]  在差不多二千年前
[00:00:58.240 --> 00:01:00.440]  早期教會到距離現在
[00:01:00.440 --> 00:01:03.720]  那時候的教會和現在的教會當然是很不一樣
[00:01:03.720 --> 00:01:06.280]  那時候的時代社會很多東西都很不一樣
[00:01:06.280 --> 00:01:10.080]  但是究竟那時候教會的面目是怎樣的呢?
[00:01:10.080 --> 00:01:12.640]  我相信在今天這一章我們看到
[00:01:12.640 --> 00:01:19.480]  大家保羅和那些羅馬的基督徒來交流的時候
[00:01:19.480 --> 00:01:21.880]  都讓我們看到一點點
[00:01:21.880 --> 00:01:24.480]  早期教會的生活究竟是怎樣的
[00:01:24.760 --> 00:01:28.720]  其中第一方面正如今天的題目
