
[00:00:00.000 --> 00:00:02.800]  很快我們今天來到第六講
[00:00:02.800 --> 00:00:04.600]  這是基督徒的喜樂
[00:00:04.600 --> 00:00:07.900]  希望我們能夠認識主的真理
[00:00:07.900 --> 00:00:14.100]  在神的救恩和祝福當中
[00:00:14.100 --> 00:00:16.300]  我們能夠充滿喜樂
[00:00:16.300 --> 00:00:18.300]  這是基督徒喜樂之道
[00:00:18.300 --> 00:00:21.800]  今天我們看有三方面的
[00:00:21.800 --> 00:00:22.600]  在聖經裏面
[00:00:22.600 --> 00:00:24.100]  是新約
[00:00:24.100 --> 00:00:26.600]  耶穌基督教導的榜樣
[00:00:26.600 --> 00:00:29.500]  以及保羅的血面
[00:00:29.500 --> 00:00:34.400]  第一段是路加福音第十章
[00:00:34.400 --> 00:00:36.100]  我們讀讀這幾支經文
[00:00:36.100 --> 00:00:41.800]  我們一起來思想當中主的教導
[00:00:41.800 --> 00:00:44.700]  請大家同聲讀出
[00:00:44.700 --> 00:00:48.900]  那七十個人歡歡喜喜地回來
[00:00:48.900 --> 00:00:50.300]  說主啊
[00:00:50.300 --> 00:00:54.600]  祢的又是鬼也服了我們
[00:00:54.600 --> 00:00:56.700]  耶穌對他們說
[00:00:56.700 --> 00:01:00.700]  我曾看見撒旦從天上墜落
[00:01:00.700 --> 00:01:02.900]  像閃電一樣
[00:01:02.900 --> 00:01:06.300]  這個背景當時在第十章開始的時候
[00:01:06.300 --> 00:01:08.000]  耶穌參見七十個人
[00:01:08.000 --> 00:01:10.600]  兩個兩個來傳道
[00:01:10.600 --> 00:01:12.900]  來奉主的名
[00:01:12.900 --> 00:01:14.600]  傳講真理
[00:01:14.600 --> 00:01:17.500]  甚至是趕鬼醫病
[00:01:17.500 --> 00:01:20.100]  所以當他們做完之後回來
[00:01:20.100 --> 00:01:22.000]  他們回來的時候是怎樣的?
[00:01:22.000 --> 00:01:25.600]  是歡歡喜喜地回來
[00:01:25.600 --> 00:01:27.600]  為什麼呢?他說主啊
[00:01:27.600 --> 00:01:29.700]  因祢的名
[00:01:29.700 --> 00:01:32.400]  就是鬼也服了我們
[00:01:32.400 --> 00:01:34.200]  他們開心就是因為
[00:01:34.200 --> 00:01:35.900]  鬼也服了他們
[00:01:35.900 --> 00:01:37.400]  耶穌就跟他們說
[00:01:37.400 --> 00:01:38.900]  要關乎這個真理
[00:01:38.900 --> 00:01:41.700]  我曾見撒旦從天上墜落
[00:01:41.700 --> 00:01:43.600]  第十九節請讀
[00:01:43.600 --> 00:01:46.400]  我已經給你們權柄
[00:01:46.400 --> 00:01:49.400]  可以踐踏邪和潔子
[00:01:49.400 --> 00:01:52.900]  有勝過仇敵一切的能力
[00:01:52.900 --> 00:01:56.400]  願沒有什麼能害你們
[00:01:56.400 --> 00:02:01.200]  然而不要因鬼服了你們就歡喜
[00:02:01.200 --> 00:02:03.300]  要因你們的名
[00:02:03.300 --> 00:02:06.900]  記錄在天上歡喜
[00:02:06.900 --> 00:02:07.900]  門徒很歡喜
[00:02:07.900 --> 00:02:11.400]  但是耶穌糾正他們說
[00:02:11.400 --> 00:02:15.100]  然而不要因鬼服了你們就歡喜
[00:02:15.100 --> 00:02:16.300]  要什麼?
[00:02:16.300 --> 00:02:17.900]  要因你們的名
