
[00:00:00.000 --> 00:00:03.500]  主持人:好,我們今天繼續和大家來思想
[00:00:03.500 --> 00:00:06.500]  這個菲律賓書給我們的教導
[00:00:06.500 --> 00:00:14.000]  這封書信是保羅在羅馬坐牢的時候
[00:00:14.000 --> 00:00:16.000]  他寫給教會的
[00:00:16.000 --> 00:00:22.500]  我們請大家來聽我讀兩節的經文
[00:00:22.500 --> 00:00:25.000]  今天我們要一同來思想的
[00:00:25.000 --> 00:00:28.500]  就是菲律賓書第二章第一和第二兩節
[00:00:28.500 --> 00:00:32.000]  保羅開始在這張聖經裡面
[00:00:32.000 --> 00:00:37.000]  教導他們關於教會和諧合一的真理
[00:00:37.000 --> 00:00:42.000]  教會需要在這個末世混亂黑暗的時代裡面
[00:00:42.000 --> 00:00:47.000]  來顯明
[00:00:47.000 --> 00:00:49.000]  在這個年代裡面顯明
[00:00:49.000 --> 00:00:52.000]  教會那種和諧合一
[00:00:52.000 --> 00:00:55.000]  是整個的社會整個國家
[00:00:55.000 --> 00:01:01.000]  所需要效法和所需要去學習的
[00:01:01.000 --> 00:01:05.000]  所以我們相信這段經文是非常重要
[00:01:05.000 --> 00:01:08.000]  也讓我們在這個地方一同學習
[00:01:08.000 --> 00:01:13.000]  教會的和諧和合一
[00:01:13.000 --> 00:01:15.000]  這裡的經文說第一節
[00:01:15.000 --> 00:01:18.000]  所以在基督裡若有什麼勸勉
[00:01:18.000 --> 00:01:20.000]  愛心有什麼安慰
[00:01:20.000 --> 00:01:22.000]  聖靈有什麼交通
[00:01:22.000 --> 00:01:24.500]  心中有什麼慈悲憐憫
[00:01:24.500 --> 00:01:27.000]  你們就要意念相同
[00:01:27.000 --> 00:01:28.500]  愛心相同
[00:01:28.500 --> 00:01:30.000]  有一樣的心思
[00:01:30.000 --> 00:01:31.500]  有一樣的意念
[00:01:31.500 --> 00:01:39.000]  使我的喜樂可以滿足
[00:01:39.000 --> 00:01:41.500]  保羅在羅馬的時候
[00:01:41.500 --> 00:01:46.000]  他發現羅馬教會有一種情況
[00:01:46.000 --> 00:01:48.000]  就是他們甚至傳福音
[00:01:48.000 --> 00:01:53.000]  都是為了互相的嫉妒來傳福音
[00:01:53.000 --> 00:01:54.500]  教會沒有和諧
[00:01:54.500 --> 00:01:56.000]  教會沒有合一
[00:01:56.000 --> 00:02:00.000]  教會有紛爭
[00:02:00.000 --> 00:02:03.000]  我相信當保羅在羅馬坐牢的時候
[00:02:03.000 --> 00:02:07.000]  他聽到羅馬教會有這樣的情況
[00:02:07.000 --> 00:02:09.000]  一定是很心傷
[00:02:09.000 --> 00:02:10.500]  很難過
[00:02:10.500 --> 00:02:13.000]  但同時他積極樂觀地看到
[00:02:13.000 --> 00:02:15.000]  在這樣的情況裡面
[00:02:15.000 --> 00:02:18.000]  神仍然恩代福音工作
[00:02:18.000 --> 00:02:21.000]  神仍然使用羅馬的教會
[00:02:21.000 --> 00:02:23.500]  所以當他寫信給菲律賓教會的時候
[00:02:23.500 --> 00:02:25.500]  他思想到這個教會
[00:02:25.500 --> 00:02:28.000]  也都有這樣的危機
[00:02:28.000 --> 00:02:30.500]  雖然我們看這封信
[00:02:30.500 --> 00:02:34.500]  表面上菲律賓的教會
[00:02:34.500 --> 00:02:41.000]  未曾有很明顯的紛爭、混亂
[00:02:41.000 --> 00:02:43.500]  但保羅知道人性
[00:02:43.500 --> 00:02:45.000]  這個可能性
[00:02:45.000 --> 00:02:51.500]  隨著時間的過去會越來越明顯
[00:02:51.500 --> 00:02:54.000]  所以保羅是提醒他們
[00:02:54.000 --> 00:02:59.500]  要怎樣追求在教會裡面那種和諧、合一
[00:02:59.500 --> 00:03:01.500]  教會和諧、合一
[00:03:01.500 --> 00:03:02.500]  保羅很著重
[00:03:02.500 --> 00:03:05.500]  就是因為他知道末世的時代
[00:03:05.500 --> 00:03:11.500]  是一個混亂、充滿衝突的一個年代
[00:03:11.500 --> 00:03:16.500]  人際關係崩潰的時代
[00:03:16.500 --> 00:03:18.500]  人需要別人
[00:03:18.500 --> 00:03:22.000]  人需要彼此有好的相處
[00:03:22.000 --> 00:03:23.500]  但末世的時代
[00:03:23.500 --> 00:03:26.500]  只是在這方面撒旦工作
[00:03:26.500 --> 00:03:30.000]  聚在我們的心中來運行作供
[00:03:30.000 --> 00:03:32.500]  以致我們不能夠
[00:03:32.500 --> 00:03:35.000]  懂得和我們周圍的人
[00:03:35.000 --> 00:03:38.000]  有一種和諧、合一的生活
[00:03:38.000 --> 00:03:41.500]  所以保羅特別著重到教會
[00:03:41.500 --> 00:03:44.000]  那種和諧、合一的見證
[00:03:44.000 --> 00:03:46.000]  因為整個混亂的社會
[00:03:46.000 --> 00:03:47.500]  黑暗的時代
[00:03:47.500 --> 00:03:49.000]  他在尋找
[00:03:49.000 --> 00:03:51.000]  在哪裡我們可以找到
[00:03:51.000 --> 00:03:57.000]  一個豐盛、和諧、合一的群體
[00:03:57.000 --> 00:04:00.000]  我們可以參與呢?
[00:04:00.000 --> 00:04:01.500]  所以在末世的時代
[00:04:01.500 --> 00:04:04.000]  我們看到耶穌
[00:04:04.000 --> 00:04:08.000]  特別在《馬太福音》14章
[00:04:08.000 --> 00:04:10.000]  很清楚地讓我們看到
[00:04:10.000 --> 00:04:14.000]  整個社會文化的氣氛
[00:04:14.000 --> 00:04:17.500]  是一片混亂、一片黑暗
[00:04:17.500 --> 00:04:20.500]  人與人之間的關係
[00:04:20.500 --> 00:04:25.500]  是不斷地破裂的
[00:04:25.500 --> 00:04:30.500]  在這個末世的時代
[00:04:30.500 --> 00:04:33.000]  耶穌基督告訴我們
[00:04:33.000 --> 00:04:36.000]  是一個政治黑暗的時代
[00:04:36.000 --> 00:04:37.500]  民要攻打民
[00:04:37.500 --> 00:04:39.500]  國要攻打國
[00:04:39.500 --> 00:04:44.000]  是一個社會黑暗的年代
[00:04:44.000 --> 00:04:46.000]  因為耶穌基督說到
[00:04:46.000 --> 00:04:47.500]  不法的事增多
[00:04:47.500 --> 00:04:50.500]  人要彼此互相譴責
[00:04:50.500 --> 00:04:53.500]  愛心是逐漸地冷淡
[00:04:53.500 --> 00:04:55.500]  社會的黑暗
[00:04:55.500 --> 00:04:58.000]  還有宗教上的黑暗
[00:04:58.000 --> 00:05:01.000]  假基督、假先知的出現
[00:05:01.000 --> 00:05:05.000]  離道、反教的事情
[00:05:05.000 --> 00:05:08.500]  所以耶穌預言末世的年代的時候
[00:05:08.500 --> 00:05:13.000]  是說到社會的崩潰
[00:05:13.000 --> 00:05:17.500]  國家的崩潰
[00:05:17.500 --> 00:05:21.000]  多麼可惜的事情
[00:05:21.000 --> 00:05:22.000]  就算香港
[00:05:22.000 --> 00:05:24.000]  最近我們都經歷到
[00:05:24.000 --> 00:05:29.000]  所謂香港的大撕裂
[00:05:29.000 --> 00:05:32.000]  香港的大撕裂
[00:05:32.000 --> 00:05:33.000]  在家庭裏面
[00:05:33.000 --> 00:05:36.500]  我們發生有爭拗
[00:05:36.500 --> 00:05:38.500]  在我們工作的地方
[00:05:38.500 --> 00:05:41.000]  我們不同政見的人
[00:05:41.000 --> 00:05:45.000]  我們大家互相攻擊
[00:05:45.000 --> 00:05:47.500]  我們看到在這樣的情況裏面
