
[00:00:00.000 --> 00:00:03.000]  請大家有個安靜的時間
[00:00:03.000 --> 00:00:05.000]  即是說大家來到這裏
[00:00:05.000 --> 00:00:07.000]  都是匆匆忙忙
[00:00:07.000 --> 00:00:09.000]  包括我自己在內
[00:00:09.000 --> 00:00:13.000]  你自己也有個舒服的位置
[00:00:13.000 --> 00:00:15.000]  大家坐得舒服一點
[00:00:15.000 --> 00:00:20.000]  請大家聽我讀一段經文
[00:00:20.000 --> 00:00:24.000]  是寶羅這樣寫法的
[00:00:24.000 --> 00:00:28.000]  是給哥倫多的教會
[00:00:28.000 --> 00:00:30.000]  他說我栽種了
[00:00:30.000 --> 00:00:32.000]  阿波羅灌溉了
[00:00:32.000 --> 00:00:34.000]  唯有神叫他生長
[00:00:34.000 --> 00:00:38.000]  可見栽種的算不得什麼
[00:00:38.000 --> 00:00:41.000]  灌溉的也算不得什麼
[00:00:41.000 --> 00:00:44.000]  旨在那叫他生長的神
[00:00:44.000 --> 00:00:48.000]  栽種的和曉灌的都是一樣
[00:00:48.000 --> 00:00:51.000]  但將來各人要照自己的功夫
[00:00:51.000 --> 00:00:54.000]  得自己的賞賜
[00:00:54.000 --> 00:00:57.000]  因為我們是與神同工的
[00:00:57.000 --> 00:01:01.000]  你們是神所耕種的田地
[00:01:01.000 --> 00:01:03.000]  所建造的房屋
[00:01:03.000 --> 00:01:08.000]  我們繼續上一次課程
[00:01:08.000 --> 00:01:18.000]  我們說到屬靈有什麼記號呢
[00:01:18.000 --> 00:01:20.000]  屬靈有什麼記號呢
[00:01:20.000 --> 00:01:22.000]  我們說到第五
[00:01:22.000 --> 00:01:25.000]  第五的記號就是
[00:01:25.000 --> 00:01:29.000]  Life Giving
[00:01:29.000 --> 00:01:39.000]  或者叫做Liberating
[00:01:39.000 --> 00:01:41.000]  這個意思就是說
[00:01:41.000 --> 00:01:48.000]  是可以給予生命的
[00:01:51.000 --> 00:01:55.000]  是可以讓人有自由的
[00:01:55.000 --> 00:01:59.000]  就是說有些記號就是說
[00:01:59.000 --> 00:02:01.000]  人來到那個人當中
[00:02:01.000 --> 00:02:04.000]  和他有同在的時候
[00:02:04.000 --> 00:02:09.000]  他會有一份釋放和自由的感覺
[00:02:09.000 --> 00:02:13.000]  就是說和他相處的裡面
[00:02:13.000 --> 00:02:17.000]  是沒有要求
[00:02:17.000 --> 00:02:21.000]  也沒有壓制
[00:02:21.000 --> 00:02:30.000]  也沒有侵犯
[00:02:30.000 --> 00:02:39.000]  也不會使他有內疚和不好意思的感覺
[00:02:39.000 --> 00:02:44.000]  有很多時候人家送禮物給你
[00:02:44.000 --> 00:02:47.000]  本來是一個很好的表達
[00:02:47.000 --> 00:02:53.000]  你心裡面對他的仰慕和關懷
[00:02:53.000 --> 00:02:55.000]  你送禮物給他
