
[00:00:00.000 --> 00:00:04.100]  我們今天要進到鼠鱗征戰最後一篇
[00:00:04.100 --> 00:00:08.960]  我們先來複習一下
[00:00:08.960 --> 00:00:12.040]  我們先來複習一下
[00:00:12.040 --> 00:00:14.340]  聖經上講到
[00:00:14.340 --> 00:00:18.180]  這個一夫所述第六章提到說我們要穿戴全副的軍裝對不對
[00:00:18.180 --> 00:00:21.500]  檢查一下你的軍裝穿好了沒有第一個
[00:00:21.500 --> 00:00:22.780]  用
[00:00:22.780 --> 00:00:28.160]  從頭來好了
[00:00:28.160 --> 00:00:29.440]  從頭開始來
[00:00:30.980 --> 00:00:35.840]  戴上救恩的頭盔再來呢
[00:00:35.840 --> 00:00:44.800]  用公義做護心具遮胸
[00:00:44.800 --> 00:00:46.340]  再來呢
[00:00:46.340 --> 00:00:50.180]  用真理當作帶子護腰
[00:00:50.180 --> 00:00:51.720]  再過來
[00:00:51.720 --> 00:00:56.060]  要穿起著
[00:00:56.060 --> 00:00:58.380]  以平安的鞋
[00:00:59.400 --> 00:00:59.900]  是不是
[00:00:59.900 --> 00:01:01.700]  再來呢
[00:01:01.700 --> 00:01:07.580]  用信德的藤牌
[00:01:07.580 --> 00:01:10.660]  可以抵擋仇敵一切的火箭是不是
[00:01:10.660 --> 00:01:15.520]  好了那我們上次講到最後就是講到禱告是不是
[00:01:15.520 --> 00:01:17.820]  今天我們回頭來講
[00:01:17.820 --> 00:01:20.640]  講到神的話
[00:01:20.640 --> 00:01:22.940]  要拿起
[00:01:22.940 --> 00:01:24.480]  聖靈的
[00:01:24.480 --> 00:01:25.240]  寶劍
[00:01:25.240 --> 00:01:28.320]  好來請你拿起你的聖靈的寶劍來
[00:01:28.320 --> 00:01:29.340]  有沒有
[00:01:29.600 --> 00:01:30.620]  聖靈的寶劍拿起來
[00:01:30.620 --> 00:01:34.720]  聖靈的寶劍拿起來有聖經拿起來好不好
[00:01:34.720 --> 00:01:36.260]  有沒有
[00:01:36.260 --> 00:01:38.580]  有手機的也可以拿起來
[00:01:38.580 --> 00:01:41.380]  拿起聖靈的寶劍
[00:01:41.380 --> 00:01:42.920]  丟著唄
[00:01:42.920 --> 00:01:51.380]  所以韓國教會有一個很好的傳統就是他們做禮拜的時候兩個東西他一定帶第一個是什麼
[00:01:51.380 --> 00:01:52.900]  聖經第二個呢
[00:01:52.900 --> 00:01:53.940]  詩歌本
[00:01:53.940 --> 00:01:56.500]  什麼
[00:01:56.500 --> 00:01:57.780]  奉獻
[00:02:00.060 --> 00:02:02.880]  所以大家很看重這本聖經
[00:02:02.880 --> 00:02:04.680]  丟著唄
[00:02:04.680 --> 00:02:07.240]  我們所謂的福音派教會
[00:02:07.240 --> 00:02:09.540]  我們非常看重神的話
[00:02:09.540 --> 00:02:11.580]  對不對
[00:02:11.580 --> 00:02:14.920]  但是其實很多時候
[00:02:14.920 --> 00:02:16.720]  我們真的那麼看重嗎
[00:02:16.720 --> 00:02:20.040]  在屬靈征戰裡面
[00:02:20.040 --> 00:02:26.440]  這裡告訴我們說這是我們征戰所有其他的這些的裝備通通都是防守的
[00:02:27.460 --> 00:02:29.500]  只有聖經神話
[00:02:29.500 --> 00:02:31.040]  是攻擊的
[00:02:31.040 --> 00:02:37.960]  也就是說你打這場戰爭如果你所有其他都穿上了但是你只
[00:02:37.960 --> 00:02:38.980]  能夠防守
