
[00:00:00.000 --> 00:00:03.900]  今天我們是每個月的第一個主日
[00:00:03.900 --> 00:00:09.100]  我都要分享叫做教會意象的信息
[00:00:09.100 --> 00:00:12.300]  今天教會的意象是什麼
[00:00:12.300 --> 00:00:14.400]  邁向成熟
[00:00:14.400 --> 00:00:16.800]  所以我每一個Bibing主日
[00:00:16.800 --> 00:00:20.100]  我都要來分享這個年度的意象
[00:00:20.100 --> 00:00:22.400]  邁向成熟
[00:00:22.400 --> 00:00:25.000]  Grow mature
[00:00:25.000 --> 00:00:30.100]  我們幾歲算成熟啊
[00:00:30.100 --> 00:00:32.900]  18歲是法定成熟
[00:00:32.900 --> 00:00:35.200]  有的人80歲還不成熟
[00:00:35.200 --> 00:00:37.800]  尤其我們講的是
[00:00:37.800 --> 00:00:41.700]  儲裡面、靈裡面我們的生命
[00:00:41.700 --> 00:00:44.900]  我看我的小孫女才10多歲
[00:00:44.900 --> 00:00:47.900]  她靈裡面就蠻不錯的
[00:00:47.900 --> 00:00:52.000]  我10多歲的時候還在爬在地上打彈珠
[00:00:52.000 --> 00:00:56.100]  還在打牌的、玩化學的等等
[00:00:56.100 --> 00:00:59.600]  但是我看她因為她的家裡面
[00:00:59.600 --> 00:01:02.200]  她阿公都是多少代的基督徒
[00:01:02.200 --> 00:01:04.200]  我是第一代的基督徒
[00:01:04.200 --> 00:01:06.100]  但是沒有關係
[00:01:06.100 --> 00:01:08.000]  在後的要帶錢
[00:01:08.000 --> 00:01:09.400]  小的要做大
[00:01:09.400 --> 00:01:11.000]  Hallelujah 贊美神
[00:01:11.000 --> 00:01:13.400]  所以今天我要跟各位來分享
[00:01:13.400 --> 00:01:15.400]  是苦盡甘來
[00:01:15.400 --> 00:01:18.600]  邁向成熟
[00:01:18.600 --> 00:01:20.400]  等一下我會稍微講一下
[00:01:20.400 --> 00:01:23.600]  過去我們講過什麼樣的邁向成熟
[00:01:23.600 --> 00:01:26.600]  然後今天我有四個論點
[00:01:26.600 --> 00:01:29.200]  當我們邁向成熟呢
[00:01:29.200 --> 00:01:33.600]  你可能在你的基督徒的生命中間
[00:01:33.600 --> 00:01:38.000]  你想你會不會有困苦患難啊
[00:01:38.000 --> 00:01:40.800]  一定有啊是不是
[00:01:40.800 --> 00:01:43.900]  所以我們不要吝惜
[00:01:43.900 --> 00:01:47.500]  不要認為神你怎麼這樣子
[00:01:47.500 --> 00:01:51.700]  就好像我們以色列的民
[00:01:51.700 --> 00:01:55.100]  在埃及做苦工的四百年
[00:01:55.100 --> 00:01:56.900]  他們苦苦哀求
[00:01:56.900 --> 00:01:59.300]  所以神讓他們經歷神蹟
[00:01:59.300 --> 00:02:02.800]  騎士出埃及過紅海
[00:02:02.800 --> 00:02:04.100]  好嗎
[00:02:04.100 --> 00:02:05.700]  白天跟著神的雲柱
[00:02:05.700 --> 00:02:08.900]  晚上跟著神的火柱
[00:02:08.900 --> 00:02:09.900]  是不是
[00:02:09.900 --> 00:02:13.100]  從此就一帆風順嗎
