
[00:00:00.000 --> 00:00:03.260]  進來後很開心,我第一次來貴教會
[00:00:03.260 --> 00:00:05.260]  這裡好像天堂一樣
[00:00:05.260 --> 00:00:07.280]  外面我不敢說是地獄
[00:00:07.280 --> 00:00:10.820]  我想請問哪位像我一樣第一次來?舉起你的手
[00:00:10.820 --> 00:00:13.760]  我們用掌聲多謝你
[00:00:13.760 --> 00:00:20.480]  我第一次來,很想各位代表我和你隔壁打個招呼
[00:00:20.480 --> 00:00:21.600]  不過先不要做
[00:00:21.600 --> 00:00:23.300]  中國人是很保守的
[00:00:23.300 --> 00:00:25.960]  今天要突破你的性格
[00:00:25.960 --> 00:00:27.800]  你跟他說,你今天很漂亮
[00:00:27.800 --> 00:00:28.840]  很漂亮
[00:00:28.840 --> 00:00:31.360]  先不要做
[00:00:31.360 --> 00:00:32.720]  不要這麼開心
[00:00:32.720 --> 00:00:34.280]  先不要做,聽完再說
[00:00:34.280 --> 00:00:35.480]  或者跟他說,很帥
[00:00:35.480 --> 00:00:37.280]  但你覺得今天實在太漂亮
[00:00:37.280 --> 00:00:38.640]  你怕他驕傲
[00:00:38.640 --> 00:00:40.000]  你跟他說,你很有性格
[00:00:40.000 --> 00:00:42.120]  代表我做一做,跟你隔壁左右做一做
[00:00:42.120 --> 00:00:44.640]  你可以選擇很有性格或者很漂亮
[00:00:44.640 --> 00:00:46.240]  立即做,麻煩你
[00:00:58.840 --> 00:01:00.200]  各位都很有性格
[00:01:00.200 --> 00:01:03.200]  其實在天父家裡面,我們每個都是很漂亮的
[00:01:03.200 --> 00:01:06.760]  我很想今天講我的故事給大家聽
[00:01:06.760 --> 00:01:08.960]  大家有沒有去過大澳買鹹魚?
[00:01:08.960 --> 00:01:09.920]  有
[00:01:09.920 --> 00:01:11.720]  這麼大聲的?
[00:01:11.720 --> 00:01:12.760]  家裡還有很多鹹魚
[00:01:12.760 --> 00:01:13.960]  我在大澳長大的
[00:01:13.960 --> 00:01:16.840]  我小時候爸爸不是賣鹹魚,是賣魚蛋的
[00:01:16.840 --> 00:01:18.960]  那時候很慘,爸爸給我魚蛋什麼?
[00:01:18.960 --> 00:01:21.160]  魚蛋什麼?大聲一點不要緊
[00:01:21.160 --> 00:01:22.360]  魚蛋滷,我媽呢?
[00:01:22.360 --> 00:01:24.200]  我呢?
[00:01:24.200 --> 00:01:28.360]  妹妹更慘
[00:01:29.360 --> 00:01:30.680]  (魚蛋妹)
[00:01:30.680 --> 00:01:31.680]  不用說出來
[00:01:31.680 --> 00:01:34.120]  我妹妹經常罵我
[00:01:34.120 --> 00:01:37.320]  恆哥,你經常在聚會上說自己是魚蛋妹
[00:01:37.320 --> 00:01:38.800]  我有個名字叫魚蛋仔
[00:01:38.800 --> 00:01:40.680]  第二,因為我爸爸賭錢的
[00:01:40.680 --> 00:01:42.960]  他賺錢的那一帶是賭徒
[00:01:42.960 --> 00:01:45.040]  基本上我全香港都住過
[00:01:45.040 --> 00:01:47.440]  我記得我小學四年級的時候就跟他走路
[00:01:47.440 --> 00:01:48.440]  走到上水
[00:01:48.440 --> 00:01:52.840]  讀一間小學叫上水石湖墟田鳥米業商會公立小學
[00:01:52.840 --> 00:01:54.920]  是中文小學
[00:01:54.920 --> 00:01:58.000]  去到中學的時候,讀一間英文中學
[00:01:58.000 --> 00:01:59.720]  第一天老師要我們改名字
[00:01:59.720 --> 00:02:01.240]  改一個英文名字
[00:02:01.240 --> 00:02:04.360]  發財後改了一個名字,很難讀的名字,叫Alastair
[00:02:04.360 --> 00:02:06.200]  中一到中五沒有人叫他起來讀書
[00:02:06.200 --> 00:02:08.200]  他什麼時候不會讀名字的?
[00:02:08.200 --> 00:02:11.040]  那些Mary、Paul、Peter起來讀書
[00:02:11.040 --> 00:02:12.520]  所以我的英文名字叫Alastair
[00:02:12.520 --> 00:02:14.400]  第三個很想介紹給大家
[00:02:14.400 --> 00:02:16.120]  我的中文名字叫吳貴行
[00:02:16.120 --> 00:02:18.680]  口天吳,貴林的貴,行路的行
[00:02:18.680 --> 00:02:20.800]  很想考一下國語
[00:02:20.800 --> 00:02:23.440]  因為97後國語大家都懂的
[00:02:23.440 --> 00:02:25.240]  你試試用1,2,3之後
[00:02:25.240 --> 00:02:26.640]  想一下國語怎麼讀吳貴行
[00:02:26.640 --> 00:02:27.240]  讀一次給我聽聽
[00:02:27.240 --> 00:02:28.400]  1,2,3
[00:02:28.400 --> 00:02:29.840]  (吳貴行)
[00:02:29.840 --> 00:02:30.640]  讀多一次
