
[00:00:00.000 --> 00:00:04.560]  我和大家思想到剛才的第十章23到33節
[00:00:04.560 --> 00:00:07.960]  題目是「凡事都要造就人」
[00:00:07.960 --> 00:00:11.800]  聖經的很大恩典就是神給我們的教導都很正面
[00:00:11.800 --> 00:00:13.400]  很積極性
[00:00:13.400 --> 00:00:16.400]  就算面對很多人際的挑戰
[00:00:16.400 --> 00:00:20.200]  其實本來面對當時時代很多內部的爭拗
[00:00:20.200 --> 00:00:21.400]  很多的爭執
[00:00:21.400 --> 00:00:24.000]  但保羅都是常常在困難裏面
[00:00:24.000 --> 00:00:28.200]  他用一個正面良善的心態去面對這個問題
[00:00:28.200 --> 00:00:31.000]  他鼓勵我們凡事都是去建立人
[00:00:31.000 --> 00:00:32.600]  凡事都是祝福人
[00:00:32.600 --> 00:00:34.400]  凡事都要造就人
[00:00:34.400 --> 00:00:37.800]  我們在今天經文多前書第十章23到33節
[00:00:37.800 --> 00:00:40.200]  我先請弟兄讀單數節,姊妹讀雙數節
[00:00:40.200 --> 00:00:41.200]  我們開始
[00:00:41.200 --> 00:00:44.600]  「凡事都可行,但不都有益處」
[00:00:44.600 --> 00:00:48.000]  「凡事都可行,但不都造就人」
[00:00:48.000 --> 00:00:57.200]  「凡市上所賣的,你們只管吃」
[00:00:57.200 --> 00:01:00.200]  「不要為良心的緣故問甚麼話」
[00:01:00.200 --> 00:01:08.800]  「倘有一個不信的人,請你們付席」
[00:01:08.800 --> 00:01:13.600]  「你們若願意去,凡在在你們面前的只管吃」
[00:01:13.600 --> 00:01:16.600]  「不要為良心的緣故問甚麼話」
[00:01:25.600 --> 00:01:31.000]  「我若借因而吃,為甚麼因我借因的物,被人誹謗呢?」
[00:01:31.000 --> 00:01:42.200]  「不拘視猶太人,視希臘人,視神的教會」
[00:01:42.200 --> 00:01:44.800]  「你們都不要視他跌倒」
[00:01:53.800 --> 00:01:55.800]  所以這裡說到一個背景
[00:01:55.800 --> 00:01:59.200]  當時其中一個背景就是基督徒常常面對的就是
[00:01:59.200 --> 00:02:01.800]  我們怎樣與這個世界相處
[00:02:01.800 --> 00:02:03.600]  與這個世界相處的時候
[00:02:03.600 --> 00:02:05.200]  有時候基督徒有兩個立場
[00:02:05.200 --> 00:02:08.400]  一個立場就是覺得可以做的就做
[00:02:08.400 --> 00:02:11.600]  有些人就覺得凡事都非常謹慎
[00:02:11.600 --> 00:02:13.400]  即他來這裡說食祭物的東西
[00:02:13.400 --> 00:02:15.200]  有些人就碰都不碰
[00:02:15.200 --> 00:02:17.000]  有些人就覺得可以做
[00:02:17.000 --> 00:02:19.800]  所以在碰都不碰,還是可以做當中
[00:02:19.800 --> 00:02:21.200]  就有很多爭拗
[00:02:21.200 --> 00:02:24.600]  上一代有些很敬虔很謹慎的人
[00:02:24.600 --> 00:02:26.800]  就不會進戲院看電影
[00:02:26.800 --> 00:02:31.400]  上一代還有一個年長一點的教務同工
[00:02:31.400 --> 00:02:34.000]  他現在都在家裡看很多電影
[00:02:34.000 --> 00:02:37.400]  有時候去聊天,看不看電影
[00:02:37.400 --> 00:02:40.600]  「我這麼大個都沒進過戲院,還是不要破戒」
[00:02:40.600 --> 00:02:42.800]  「在家裡看就行了」
[00:02:42.800 --> 00:02:45.000]  所以有些人都有這些題目
[00:02:45.000 --> 00:02:46.800]  在現代來說這個可能不是一個題目
[00:02:46.800 --> 00:02:48.800]  所以到世界相處
[00:02:48.800 --> 00:02:50.800]  基督徒正常世界相處
[00:02:50.800 --> 00:02:53.600]  在相處當中基督徒有不同立場的時候
[00:02:53.600 --> 00:02:57.000]  又產生基督徒之間因為不同立場的紛爭
[00:02:57.000 --> 00:02:59.400]  所以聖經裡面有一個很特別的提醒
[00:02:59.400 --> 00:03:01.600]  原來基督徒相處裡面
[00:03:01.600 --> 00:03:05.000]  聖經可以成為商人的武器
[00:03:05.000 --> 00:03:07.000]  有時候我們基督徒其中一個危機就是
[00:03:07.000 --> 00:03:09.600]  原來在教會內大家沒有智慧
[00:03:09.600 --> 00:03:11.200]  沒有一個造就的心
[00:03:11.200 --> 00:03:12.400]  沒有一個愛心
[00:03:12.400 --> 00:03:15.200]  沒有一個良善正直的心的時候
[00:03:15.200 --> 00:03:18.400]  有時候教會可以用聖經互相的傷害
[00:03:18.400 --> 00:03:22.200]  互相的批判、互相的論斷
[00:03:22.200 --> 00:03:26.200]  今天經文第23節
[00:03:26.200 --> 00:03:30.200]  「凡事都可行,但不都有益處」
[00:03:30.200 --> 00:03:33.400]  「凡事都可行,但不都造就人」
[00:03:33.400 --> 00:03:37.600]  他說樣樣事情都是有律法的
[00:03:37.600 --> 00:03:38.800]  是可行的
[00:03:38.800 --> 00:03:41.400]  當然不是說所有事情都是
[00:03:41.400 --> 00:03:43.800]  意思是按律法去做
[00:03:43.800 --> 00:03:45.800]  其實很多事情都可以做
[00:03:45.800 --> 00:03:48.800]  但是如果你做得動機不好
[00:03:48.800 --> 00:03:51.000]  或者你的心態不好
[00:03:51.000 --> 00:03:53.600]  你借的令箭是傷害人的時候
[00:03:53.600 --> 00:03:56.800]  這些好像按律法的行為或者表達
[00:03:56.800 --> 00:03:58.600]  可以沒有益處
[00:03:58.600 --> 00:04:00.600]  可以不是幫到人
[00:04:00.600 --> 00:04:02.600]  可以是傷害人
[00:04:02.600 --> 00:04:04.800]  所以很多時候基督徒裡面
[00:04:04.800 --> 00:04:07.800]  有很多方法可以成為彼此的傷害
[00:04:07.800 --> 00:04:10.400]  有些任性的、有些不同的風格
[00:04:10.400 --> 00:04:13.400]  很深刻的一個例子就是當施布真
[00:04:13.400 --> 00:04:17.200]  在倫敦年輕就成為一個神重要的僕人
[00:04:17.200 --> 00:04:19.600]  十九歲傳道去倫敦廣道
[00:04:19.600 --> 00:04:21.400]  後來教會發展到幾千人
[00:04:21.400 --> 00:04:23.000]  教會不夠地方的時候
[00:04:23.000 --> 00:04:27.600]  他去到一個七千人的皇家音樂院裡面聚會
[00:04:27.600 --> 00:04:29.200]  第一天聚會
[00:04:29.200 --> 00:04:31.800]  當天有一群人作弄他
[00:04:31.800 --> 00:04:34.200]  大叫、亂叫
[00:04:34.200 --> 00:04:36.000]  結果那些人以為是火災
[00:04:36.000 --> 00:04:39.800]  結果七千人瘋狂地走出去
[00:04:39.800 --> 00:04:43.800]  結果那天在1856年那次的主日
[00:04:43.800 --> 00:04:48.800]  那時剛好他大概是二十二歲的時候
[00:04:48.800 --> 00:04:52.600]  那次的暴亂或者混亂當中有七個人死了
[00:04:52.600 --> 00:04:57.000]  二十八個人傷亡、受傷
